date,CMCSA stock
2017-01-19,23
2017-01-20,46
2017-01-21,13
2017-01-22,13
2017-01-23,22
2017-01-24,0
2017-01-25,46
2017-01-26,34
2017-01-27,35
2017-01-28,0
2017-01-29,13
2017-01-30,22
2017-01-31,11
2017-02-01,22
2017-02-02,23
2017-02-03,23
2017-02-04,0
2017-02-05,0
2017-02-06,11
2017-02-07,11
2017-02-08,44
2017-02-09,67
2017-02-10,82
2017-02-11,0
2017-02-12,0
2017-02-13,11
2017-02-14,22
2017-02-15,45
2017-02-16,22
2017-02-17,33
2017-02-18,77
2017-02-19,13
2017-02-20,11
2017-02-21,100
2017-02-22,100
2017-02-23,56
2017-02-24,23
2017-02-25,13
2017-02-26,13
2017-02-27,22
2017-02-28,55
2017-03-01,32
2017-03-02,43
2017-03-03,23
2017-03-04,25
2017-03-05,0
2017-03-06,42
2017-03-07,32
2017-03-08,0
2017-03-09,11
2017-03-10,34
2017-03-11,13
2017-03-12,12
2017-03-13,0
2017-03-14,0
2017-03-15,11
2017-03-16,33
2017-03-17,23
2017-03-18,0
2017-03-19,12
2017-03-20,44
2017-03-21,33
2017-03-22,22
2017-03-23,34
2017-03-24,57
2017-03-25,0
2017-03-26,0
2017-03-27,22
2017-03-28,56
2017-03-29,11
2017-03-30,45
2017-03-31,70
2017-04-01,13
2017-04-02,13
2017-04-03,11
2017-04-04,78
2017-04-05,22
2017-04-06,33
2017-04-07,23
2017-04-08,0
2017-04-09,13
2017-04-10,45
2017-04-11,33
2017-04-12,11
2017-04-13,24
2017-04-14,13
2017-04-15,13
2017-04-16,27
2017-04-17,23
2017-04-18,22
2017-04-19,22
2017-04-20,22
2017-04-21,47
2017-04-22,13
2017-04-23,12
2017-04-24,33
2017-04-25,44
2017-04-26,55
2017-04-27,78
2017-04-28,35
2017-04-29,0
2017-04-30,13
2017-05-01,24
2017-05-02,11
2017-05-03,44
2017-05-04,22
2017-05-05,23
2017-05-06,0
2017-05-07,13
2017-05-08,11
2017-05-09,11
2017-05-10,11
2017-05-11,0
2017-05-12,46
2017-05-13,13
2017-05-14,0
2017-05-15,12
2017-05-16,47
2017-05-17,12
2017-05-18,24
2017-05-19,62
2017-05-20,0
2017-05-21,0
2017-05-22,12
2017-05-23,35
2017-05-24,12
2017-05-25,24
2017-05-26,26
2017-05-27,0
2017-05-28,0
2017-05-29,12
2017-05-30,70
2017-05-31,35
2017-06-01,24
2017-06-02,62
2017-06-03,14
2017-06-04,14
2017-06-05,47
2017-06-06,46
2017-06-07,23
2017-06-08,34
2017-06-09,73
2017-06-10,0
2017-06-11,14
2017-06-12,46
2017-06-13,34
2017-06-14,23
2017-06-15,36
2017-06-16,37
2017-06-17,0
2017-06-18,0
2017-06-19,23
2017-06-20,0
2017-06-21,23
2017-06-22,46
2017-06-23,48
2017-06-24,14
2017-06-25,14
2017-06-26,12
2017-06-27,48
2017-06-28,61
2017-06-29,24
2017-06-30,51
2017-07-01,14
2017-07-02,0
2017-07-03,12
2017-07-04,25
2017-07-05,49
2017-07-06,12
2017-07-07,13
2017-07-08,14
2017-07-09,0
2017-07-10,12
2017-07-11,12
2017-07-12,35
2017-07-13,0
2017-07-14,25
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,48
2017-07-19,0
2017-07-20,24
2017-07-21,50
2017-07-22,0
2017-07-23,14
2017-07-24,12
2017-07-25,24
2017-07-26,12
2017-07-27,71
2017-07-28,37
2017-07-29,0
2017-07-30,14
2017-07-31,35
2017-08-01,34
2017-08-02,44
2017-08-03,35
2017-08-04,36
2017-08-05,0
2017-08-06,0
2017-08-07,23
2017-08-08,11
2017-08-09,45
2017-08-10,12
2017-08-11,48
2017-08-12,13
2017-08-13,0
2017-08-14,35
2017-08-15,48
2017-08-16,35
2017-08-17,82
2017-08-18,48
2017-08-19,0
2017-08-20,27
2017-08-21,11
2017-08-22,45
2017-08-23,0
2017-08-24,12
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,12
2017-08-29,23
2017-08-30,35
2017-08-31,12
2017-09-01,24
2017-09-02,14
2017-09-03,13
2017-09-04,0
2017-09-05,11
2017-09-06,22
2017-09-07,81
2017-09-08,24
2017-09-09,13
2017-09-10,0
2017-09-11,68
2017-09-12,56
2017-09-13,11
2017-09-14,11
2017-09-15,35
2017-09-16,13
2017-09-17,0
2017-09-18,57
2017-09-19,34
2017-09-20,11
2017-09-21,11
2017-09-22,72
2017-09-23,0
2017-09-24,13
2017-09-25,11
2017-09-26,22
2017-09-27,45
2017-09-28,11
2017-09-29,36
2017-09-30,13
2017-10-01,0
2017-10-02,22
2017-10-03,0
2017-10-04,23
2017-10-05,45
2017-10-06,12
