date,CMCSA stock
2017-05-29,11
2017-05-30,91
2017-05-31,30
2017-06-01,42
2017-06-02,22
2017-06-03,0
2017-06-04,12
2017-06-05,41
2017-06-06,40
2017-06-07,20
2017-06-08,50
2017-06-09,42
2017-06-10,0
2017-06-11,0
2017-06-12,30
2017-06-13,70
2017-06-14,31
2017-06-15,31
2017-06-16,42
2017-06-17,0
2017-06-18,0
2017-06-19,30
2017-06-20,0
2017-06-21,49
2017-06-22,59
2017-06-23,21
2017-06-24,0
2017-06-25,24
2017-06-26,10
2017-06-27,21
2017-06-28,53
2017-06-29,11
2017-06-30,33
2017-07-01,12
2017-07-02,0
2017-07-03,11
2017-07-04,11
2017-07-05,32
2017-07-06,0
2017-07-07,22
2017-07-08,12
2017-07-09,0
2017-07-10,0
2017-07-11,21
2017-07-12,21
2017-07-13,11
2017-07-14,33
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,32
2017-07-19,10
2017-07-20,0
2017-07-21,54
2017-07-22,0
2017-07-23,12
2017-07-24,10
2017-07-25,41
2017-07-26,10
2017-07-27,21
2017-07-28,21
2017-07-29,0
2017-07-30,12
2017-07-31,10
2017-08-01,29
2017-08-02,29
2017-08-03,20
2017-08-04,0
2017-08-05,12
2017-08-06,12
2017-08-07,10
2017-08-08,10
2017-08-09,20
2017-08-10,21
2017-08-11,21
2017-08-12,23
2017-08-13,0
2017-08-14,31
2017-08-15,31
2017-08-16,30
2017-08-17,51
2017-08-18,10
2017-08-19,0
2017-08-20,23
2017-08-21,30
2017-08-22,40
2017-08-23,10
2017-08-24,51
2017-08-25,11
2017-08-26,12
2017-08-27,0
2017-08-28,0
2017-08-29,30
2017-08-30,10
2017-08-31,20
2017-09-01,11
2017-09-02,12
2017-09-03,12
2017-09-04,0
2017-09-05,20
2017-09-06,10
2017-09-07,41
2017-09-08,31
2017-09-09,11
2017-09-10,0
2017-09-11,49
2017-09-12,59
2017-09-13,39
2017-09-14,30
2017-09-15,10
2017-09-16,34
2017-09-17,11
2017-09-18,39
2017-09-19,49
2017-09-20,0
2017-09-21,30
2017-09-22,31
2017-09-23,0
2017-09-24,0
2017-09-25,10
2017-09-26,29
2017-09-27,39
2017-09-28,40
2017-09-29,31
2017-09-30,0
2017-10-01,0
2017-10-02,10
2017-10-03,10
2017-10-04,10
2017-10-05,39
2017-10-06,20
2017-10-07,11
2017-10-08,0
2017-10-09,10
2017-10-10,19
2017-10-11,10
2017-10-12,30
2017-10-13,71
2017-10-14,11
2017-10-15,0
2017-10-16,10
2017-10-17,29
2017-10-18,58
2017-10-19,30
2017-10-20,41
2017-10-21,11
2017-10-22,11
2017-10-23,48
2017-10-24,19
2017-10-25,38
2017-10-26,30
2017-10-27,41
2017-10-28,0
2017-10-29,11
2017-10-30,39
2017-10-31,39
2017-11-01,40
2017-11-02,49
2017-11-03,59
2017-11-04,11
2017-11-05,0
2017-11-06,47
2017-11-07,38
2017-11-08,38
2017-11-09,29
2017-11-10,0
2017-11-11,0
2017-11-12,11
2017-11-13,66
2017-11-14,28
2017-11-15,19
2017-11-16,9
2017-11-17,10
2017-11-18,0
2017-11-19,11
2017-11-20,9
2017-11-21,19
2017-11-22,57
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,19
2017-11-28,37
2017-11-29,66
2017-11-30,19
2017-12-01,30
2017-12-02,33
2017-12-03,0
2017-12-04,37
2017-12-05,56
2017-12-06,38
2017-12-07,67
2017-12-08,30
2017-12-09,11
2017-12-10,0
2017-12-11,18
2017-12-12,28
2017-12-13,66
2017-12-14,39
2017-12-15,20
2017-12-16,11
2017-12-17,11
2017-12-18,0
2017-12-19,20
2017-12-20,39
2017-12-21,41
2017-12-22,54
2017-12-23,12
2017-12-24,0
2017-12-25,0
2017-12-26,32
2017-12-27,21
2017-12-28,0
2017-12-29,11
2017-12-30,11
2017-12-31,0
2018-01-01,23
2018-01-02,30
2018-01-03,38
2018-01-04,58
2018-01-05,20
2018-01-06,11
2018-01-07,11
2018-01-08,56
2018-01-09,65
2018-01-10,37
2018-01-11,38
2018-01-12,68
2018-01-13,0
2018-01-14,11
2018-01-15,9
2018-01-16,37
2018-01-17,64
2018-01-18,18
2018-01-19,10
2018-01-20,21
2018-01-21,0
2018-01-22,9
2018-01-23,37
2018-01-24,100
2018-01-25,46
2018-01-26,38
2018-01-27,0
2018-01-28,0
2018-01-29,36
2018-01-30,18
2018-01-31,28
2018-02-01,18
2018-02-02,19
2018-02-03,11
2018-02-04,0
2018-02-05,18
2018-02-06,18
2018-02-07,36
2018-02-08,9
2018-02-09,28
2018-02-10,11
2018-02-11,0
2018-02-12,19
2018-02-13,9
