date,CMCSA stock
2018-02-13,18
2018-02-14,27
2018-02-15,18
2018-02-16,9
2018-02-17,10
2018-02-18,0
2018-02-19,53
2018-02-20,18
2018-02-21,9
2018-02-22,18
2018-02-23,19
2018-02-24,21
2018-02-25,10
2018-02-26,52
2018-02-27,97
2018-02-28,88
2018-03-01,35
2018-03-02,37
2018-03-03,10
2018-03-04,0
2018-03-05,61
2018-03-06,53
2018-03-07,36
2018-03-08,18
2018-03-09,9
2018-03-10,10
2018-03-11,10
2018-03-12,9
2018-03-13,35
2018-03-14,0
2018-03-15,9
2018-03-16,46
2018-03-17,21
2018-03-18,10
2018-03-19,27
2018-03-20,9
2018-03-21,53
2018-03-22,100
2018-03-23,65
2018-03-24,0
2018-03-25,0
2018-03-26,18
2018-03-27,27
2018-03-28,28
2018-03-29,38
2018-03-30,10
2018-03-31,21
2018-04-01,0
2018-04-02,28
2018-04-03,45
2018-04-04,63
2018-04-05,37
2018-04-06,28
2018-04-07,0
2018-04-08,0
2018-04-09,9
