date,CMCSA stock
2013-06-29,0
2013-06-30,16
2013-07-01,13
2013-07-02,27
2013-07-03,14
2013-07-04,0
2013-07-05,22
2013-07-06,0
2013-07-07,0
2013-07-08,20
2013-07-09,20
2013-07-10,14
2013-07-11,14
2013-07-12,14
2013-07-13,17
2013-07-14,17
2013-07-15,14
2013-07-16,0
2013-07-17,14
2013-07-18,14
2013-07-19,14
2013-07-20,0
2013-07-21,0
2013-07-22,14
2013-07-23,13
2013-07-24,27
2013-07-25,28
2013-07-26,14
2013-07-27,0
2013-07-28,17
2013-07-29,0
2013-07-30,13
2013-07-31,27
2013-08-01,14
2013-08-02,14
2013-08-03,17
2013-08-04,0
2013-08-05,14
2013-08-06,14
2013-08-07,0
2013-08-08,14
2013-08-09,15
2013-08-10,0
2013-08-11,0
2013-08-12,14
2013-08-13,41
2013-08-14,0
2013-08-15,29
2013-08-16,14
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,13
2013-08-21,13
2013-08-22,20
2013-08-23,14
2013-08-24,16
2013-08-25,0
2013-08-26,13
2013-08-27,0
2013-08-28,13
2013-08-29,13
2013-08-30,14
2013-08-31,0
2013-09-01,16
2013-09-02,0
2013-09-03,13
2013-09-04,13
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,13
2013-09-10,25
2013-09-11,13
2013-09-12,0
2013-09-13,0
2013-09-14,15
2013-09-15,15
2013-09-16,26
2013-09-17,26
2013-09-18,0
2013-09-19,19
2013-09-20,27
2013-09-21,15
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,26
2013-09-26,39
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,19
2013-10-01,13
2013-10-02,13
2013-10-03,13
2013-10-04,20
2013-10-05,15
2013-10-06,15
2013-10-07,0
2013-10-08,13
2013-10-09,13
2013-10-10,26
2013-10-11,0
2013-10-12,16
2013-10-13,0
2013-10-14,26
2013-10-15,13
2013-10-16,26
2013-10-17,39
2013-10-18,13
2013-10-19,0
2013-10-20,0
2013-10-21,12
2013-10-22,12
2013-10-23,19
2013-10-24,0
2013-10-25,20
2013-10-26,15
2013-10-27,0
2013-10-28,12
2013-10-29,25
2013-10-30,38
2013-10-31,13
2013-11-01,27
2013-11-02,0
2013-11-03,0
2013-11-04,13
2013-11-05,19
2013-11-06,18
2013-11-07,13
2013-11-08,13
2013-11-09,0
2013-11-10,14
2013-11-11,12
2013-11-12,25
2013-11-13,0
2013-11-14,13
2013-11-15,0
2013-11-16,0
2013-11-17,0
2013-11-18,12
2013-11-19,0
2013-11-20,12
2013-11-21,25
2013-11-22,26
2013-11-23,0
2013-11-24,0
2013-11-25,18
2013-11-26,12
2013-11-27,50
2013-11-28,13
2013-11-29,13
2013-11-30,15
2013-12-01,14
2013-12-02,12
2013-12-03,24
2013-12-04,0
2013-12-05,12
2013-12-06,0
2013-12-07,15
2013-12-08,0
2013-12-09,12
2013-12-10,0
2013-12-11,18
2013-12-12,13
2013-12-13,13
2013-12-14,15
2013-12-15,0
2013-12-16,19
2013-12-17,13
2013-12-18,26
2013-12-19,13
2013-12-20,28
2013-12-21,0
2013-12-22,0
2013-12-23,27
2013-12-24,15
2013-12-25,0
2013-12-26,14
2013-12-27,0
2013-12-28,15
2013-12-29,0
2013-12-30,13
2013-12-31,30
2014-01-01,0
2014-01-02,0
2014-01-03,13
2014-01-04,14
2014-01-05,14
2014-01-06,24
2014-01-07,12
2014-01-08,12
2014-01-09,0
2014-01-10,13
2014-01-11,21
2014-01-12,14
2014-01-13,12
2014-01-14,24
2014-01-15,24
2014-01-16,0
2014-01-17,19
2014-01-18,0
2014-01-19,14
2014-01-20,0
2014-01-21,18
2014-01-22,23
2014-01-23,0
2014-01-24,12
2014-01-25,0
2014-01-26,0
2014-01-27,23
2014-01-28,18
2014-01-29,24
2014-01-30,30
2014-01-31,25
2014-02-01,14
2014-02-02,14
2014-02-03,18
2014-02-04,12
2014-02-05,12
2014-02-06,0
2014-02-07,27
2014-02-08,20
2014-02-09,13
2014-02-10,12
2014-02-11,17
2014-02-12,12
2014-02-13,100
2014-02-14,43
2014-02-15,14
2014-02-16,0
2014-02-17,12
2014-02-18,35
2014-02-19,24
2014-02-20,18
2014-02-21,0
2014-02-22,14
2014-02-23,14
2014-02-24,12
2014-02-25,17
2014-02-26,35
2014-02-27,30
2014-02-28,19
2014-03-01,21
2014-03-02,0
2014-03-03,12
2014-03-04,12
2014-03-05,12
2014-03-06,18
2014-03-07,19
2014-03-08,28
2014-03-09,0
2014-03-10,12
2014-03-11,0
2014-03-12,12
2014-03-13,24
2014-03-14,12
2014-03-15,14
2014-03-16,14
