date,CMCSA stock
2016-05-04,0
2016-05-05,17
2016-05-06,17
2016-05-07,19
2016-05-08,0
2016-05-09,0
2016-05-10,16
2016-05-11,48
2016-05-12,16
2016-05-13,17
2016-05-14,0
2016-05-15,0
2016-05-16,16
2016-05-17,16
2016-05-18,32
2016-05-19,65
2016-05-20,34
2016-05-21,0
2016-05-22,0
2016-05-23,16
2016-05-24,49
2016-05-25,49
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,32
2016-06-01,33
2016-06-02,33
2016-06-03,17
2016-06-04,19
2016-06-05,0
2016-06-06,16
2016-06-07,33
2016-06-08,0
2016-06-09,0
2016-06-10,17
2016-06-11,0
2016-06-12,0
2016-06-13,16
2016-06-14,0
2016-06-15,33
2016-06-16,33
2016-06-17,17
2016-06-18,0
2016-06-19,0
2016-06-20,49
2016-06-21,0
2016-06-22,16
2016-06-23,0
2016-06-24,17
2016-06-25,0
2016-06-26,19
2016-06-27,16
2016-06-28,0
2016-06-29,100
2016-06-30,0
2016-07-01,35
2016-07-02,20
2016-07-03,0
2016-07-04,0
2016-07-05,35
2016-07-06,53
2016-07-07,0
2016-07-08,18
2016-07-09,0
2016-07-10,0
2016-07-11,17
2016-07-12,51
2016-07-13,17
2016-07-14,17
2016-07-15,72
2016-07-16,20
2016-07-17,0
2016-07-18,17
2016-07-19,17
2016-07-20,0
2016-07-21,53
2016-07-22,18
2016-07-23,0
2016-07-24,20
2016-07-25,17
2016-07-26,51
2016-07-27,34
2016-07-28,18
2016-07-29,55
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,34
2016-08-03,17
2016-08-04,0
2016-08-05,55
2016-08-06,0
2016-08-07,0
2016-08-08,36
2016-08-09,0
2016-08-10,54
2016-08-11,18
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,38
2016-08-16,18
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,18
2016-08-23,0
2016-08-24,54
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,17
2016-08-30,50
2016-08-31,0
2016-09-01,17
2016-09-02,18
2016-09-03,0
2016-09-04,19
2016-09-05,0
2016-09-06,33
2016-09-07,17
2016-09-08,0
2016-09-09,18
2016-09-10,0
2016-09-11,0
2016-09-12,0
2016-09-13,34
2016-09-14,34
2016-09-15,34
2016-09-16,17
2016-09-17,38
2016-09-18,0
2016-09-19,0
2016-09-20,50
2016-09-21,17
2016-09-22,34
2016-09-23,53
2016-09-24,19
2016-09-25,0
2016-09-26,16
2016-09-27,33
2016-09-28,33
2016-09-29,17
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,33
2016-10-04,0
2016-10-05,49
2016-10-06,66
2016-10-07,17
2016-10-08,38
2016-10-09,0
2016-10-10,0
2016-10-11,49
2016-10-12,17
2016-10-13,17
2016-10-14,0
2016-10-15,38
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,16
2016-10-21,0
2016-10-22,19
2016-10-23,0
2016-10-24,48
2016-10-25,0
2016-10-26,16
2016-10-27,17
2016-10-28,35
2016-10-29,0
2016-10-30,19
2016-10-31,51
2016-11-01,0
2016-11-02,17
2016-11-03,33
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,48
2016-11-09,45
2016-11-10,0
2016-11-11,51
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,49
2016-11-16,48
2016-11-17,33
2016-11-18,34
2016-11-19,0
2016-11-20,0
2016-11-21,32
2016-11-22,48
2016-11-23,32
2016-11-24,0
2016-11-25,0
2016-11-26,18
2016-11-27,0
2016-11-28,15
2016-11-29,0
2016-11-30,78
2016-12-01,0
2016-12-02,16
2016-12-03,18
2016-12-04,0
2016-12-05,14
2016-12-06,0
2016-12-07,63
2016-12-08,47
2016-12-09,33
2016-12-10,0
2016-12-11,17
2016-12-12,15
2016-12-13,46
2016-12-14,47
2016-12-15,81
2016-12-16,84
2016-12-17,0
2016-12-18,0
2016-12-19,16
2016-12-20,17
2016-12-21,33
2016-12-22,0
2016-12-23,18
2016-12-24,0
2016-12-25,21
2016-12-26,0
2016-12-27,67
2016-12-28,17
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,48
2017-01-05,16
2017-01-06,17
2017-01-07,18
2017-01-08,18
2017-01-09,0
2017-01-10,46
2017-01-11,15
2017-01-12,0
2017-01-13,63
2017-01-14,35
2017-01-15,0
2017-01-16,15
2017-01-17,30
2017-01-18,0
2017-01-19,30
