date,CMCSA stock
2017-10-06,11
2017-10-07,0
2017-10-08,0
2017-10-09,43
2017-10-10,11
2017-10-11,11
2017-10-12,56
2017-10-13,57
2017-10-14,0
2017-10-15,0
2017-10-16,33
2017-10-17,21
2017-10-18,32
2017-10-19,44
2017-10-20,34
2017-10-21,0
2017-10-22,0
2017-10-23,42
2017-10-24,21
2017-10-25,11
2017-10-26,77
2017-10-27,68
2017-10-28,0
2017-10-29,12
2017-10-30,21
2017-10-31,55
2017-11-01,11
2017-11-02,55
2017-11-03,44
2017-11-04,12
2017-11-05,0
2017-11-06,31
2017-11-07,21
2017-11-08,42
2017-11-09,21
2017-11-10,11
2017-11-11,0
2017-11-12,0
2017-11-13,53
2017-11-14,11
2017-11-15,21
2017-11-16,11
2017-11-17,0
2017-11-18,12
2017-11-19,0
2017-11-20,21
2017-11-21,0
2017-11-22,63
2017-11-23,11
2017-11-24,11
2017-11-25,12
2017-11-26,0
2017-11-27,10
2017-11-28,31
2017-11-29,63
2017-11-30,54
2017-12-01,89
2017-12-02,12
2017-12-03,0
2017-12-04,31
2017-12-05,63
2017-12-06,42
2017-12-07,96
2017-12-08,34
2017-12-09,0
2017-12-10,12
2017-12-11,21
2017-12-12,52
2017-12-13,42
2017-12-14,43
2017-12-15,22
2017-12-16,12
2017-12-17,12
2017-12-18,11
2017-12-19,22
2017-12-20,55
2017-12-21,57
2017-12-22,35
2017-12-23,13
2017-12-24,0
2017-12-25,0
2017-12-26,36
2017-12-27,23
2017-12-28,23
2017-12-29,12
2017-12-30,25
2017-12-31,0
2018-01-01,26
2018-01-02,11
2018-01-03,42
2018-01-04,64
2018-01-05,11
2018-01-06,12
2018-01-07,0
2018-01-08,51
2018-01-09,72
2018-01-10,42
2018-01-11,52
2018-01-12,43
2018-01-13,0
2018-01-14,12
2018-01-15,10
2018-01-16,41
2018-01-17,61
2018-01-18,31
2018-01-19,0
2018-01-20,35
2018-01-21,0
2018-01-22,0
2018-01-23,41
2018-01-24,81
2018-01-25,41
2018-01-26,11
2018-01-27,0
2018-01-28,0
2018-01-29,61
2018-01-30,10
2018-01-31,31
2018-02-01,10
2018-02-02,21
2018-02-03,23
2018-02-04,0
2018-02-05,20
2018-02-06,20
2018-02-07,50
2018-02-08,51
2018-02-09,32
2018-02-10,12
2018-02-11,0
2018-02-12,31
2018-02-13,21
2018-02-14,10
2018-02-15,21
2018-02-16,21
2018-02-17,0
2018-02-18,0
2018-02-19,21
2018-02-20,30
2018-02-21,10
2018-02-22,20
2018-02-23,42
2018-02-24,35
2018-02-25,0
2018-02-26,20
2018-02-27,99
2018-02-28,100
2018-03-01,40
2018-03-02,42
2018-03-03,12
2018-03-04,11
2018-03-05,50
2018-03-06,20
2018-03-07,30
2018-03-08,31
2018-03-09,11
2018-03-10,12
2018-03-11,11
2018-03-12,10
2018-03-13,30
2018-03-14,10
2018-03-15,20
2018-03-16,32
2018-03-17,0
2018-03-18,11
2018-03-19,20
2018-03-20,20
2018-03-21,71
2018-03-22,92
2018-03-23,74
2018-03-24,12
2018-03-25,23
2018-03-26,31
2018-03-27,31
2018-03-28,63
2018-03-29,22
2018-03-30,23
2018-03-31,24
2018-04-01,25
2018-04-02,32
2018-04-03,41
2018-04-04,21
2018-04-05,31
2018-04-06,43
2018-04-07,0
2018-04-08,23
2018-04-09,30
