date,CMCSA stock
2014-07-24,39
2014-07-25,0
2014-07-26,24
2014-07-27,0
2014-07-28,0
2014-07-29,19
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,19
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,19
2014-08-13,19
2014-08-14,0
2014-08-15,83
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,38
2014-08-20,19
2014-08-21,0
2014-08-22,20
2014-08-23,0
2014-08-24,0
2014-08-25,19
2014-08-26,19
2014-08-27,19
2014-08-28,19
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,18
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,22
2014-09-08,37
2014-09-09,0
2014-09-10,36
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,22
2014-09-15,36
2014-09-16,36
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,22
2014-09-21,0
2014-09-22,36
2014-09-23,18
2014-09-24,73
2014-09-25,18
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,19
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,18
2014-10-08,18
2014-10-09,0
2014-10-10,38
2014-10-11,22
2014-10-12,0
2014-10-13,18
2014-10-14,0
2014-10-15,0
2014-10-16,18
2014-10-17,19
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,17
2014-10-22,18
2014-10-23,36
2014-10-24,37
2014-10-25,0
2014-10-26,0
2014-10-27,18
2014-10-28,0
2014-10-29,0
2014-10-30,18
2014-10-31,38
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,0
2014-11-05,17
2014-11-06,18
2014-11-07,37
2014-11-08,0
2014-11-09,0
2014-11-10,35
2014-11-11,53
2014-11-12,18
2014-11-13,0
2014-11-14,36
2014-11-15,0
2014-11-16,0
2014-11-17,17
2014-11-18,19
2014-11-19,54
2014-11-20,36
2014-11-21,36
2014-11-22,0
2014-11-23,0
2014-11-24,0
2014-11-25,0
2014-11-26,35
2014-11-27,0
2014-11-28,0
2014-11-29,0
2014-11-30,0
2014-12-01,34
2014-12-02,51
2014-12-03,0
2014-12-04,17
2014-12-05,37
2014-12-06,0
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,70
2014-12-11,0
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,17
2014-12-16,18
2014-12-17,0
2014-12-18,18
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,19
2014-12-23,19
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,42
2014-12-28,0
2014-12-29,37
2014-12-30,0
2014-12-31,0
2015-01-01,22
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,17
2015-01-06,0
2015-01-07,51
2015-01-08,17
2015-01-09,0
2015-01-10,20
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,17
2015-01-15,17
2015-01-16,0
2015-01-17,20
2015-01-18,0
2015-01-19,17
2015-01-20,17
2015-01-21,0
2015-01-22,17
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,0
2015-01-28,17
2015-01-29,67
2015-01-30,17
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,100
2015-02-06,52
2015-02-07,0
2015-02-08,19
2015-02-09,0
2015-02-10,0
2015-02-11,33
2015-02-12,17
2015-02-13,35
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,17
2015-02-19,0
2015-02-20,35
2015-02-21,0
2015-02-22,0
2015-02-23,32
2015-02-24,16
2015-02-25,81
2015-02-26,17
2015-02-27,17
2015-02-28,19
2015-03-01,19
2015-03-02,0
2015-03-03,66
2015-03-04,16
2015-03-05,33
2015-03-06,52
2015-03-07,20
2015-03-08,0
2015-03-09,0
2015-03-10,32
2015-03-11,49
2015-03-12,33
2015-03-13,17
2015-03-14,0
2015-03-15,0
2015-03-16,33
2015-03-17,0
2015-03-18,33
2015-03-19,16
2015-03-20,17
2015-03-21,0
2015-03-22,0
2015-03-23,16
2015-03-24,16
2015-03-25,0
2015-03-26,38
2015-03-27,34
2015-03-28,0
2015-03-29,0
2015-03-30,82
2015-03-31,0
2015-04-01,0
2015-04-02,52
2015-04-03,0
2015-04-04,20
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,16
2015-04-09,0
2015-04-10,0
