date,DISH Network,isPartial
2012-10-12,61,False
2012-10-13,79,False
2012-10-14,100,False
2012-10-15,87,False
2012-10-16,65,False
2012-10-17,53,False
2012-10-18,63,False
2012-10-19,58,False
2012-10-20,74,False
2012-10-21,74,False
2012-10-22,92,False
2012-10-23,61,False
2012-10-24,51,False
2012-10-25,50,False
2012-10-26,53,False
2012-10-27,76,False
2012-10-28,61,False
2012-10-29,62,False
2012-10-30,56,False
2012-10-31,54,False
2012-11-01,67,False
2012-11-02,65,False
2012-11-03,73,False
2012-11-04,73,False
2012-11-05,60,False
2012-11-06,63,False
2012-11-07,53,False
2012-11-08,56,False
2012-11-09,58,False
2012-11-10,60,False
2012-11-11,64,False
2012-11-12,57,False
2012-11-13,54,False
2012-11-14,52,False
2012-11-15,53,False
2012-11-16,56,False
2012-11-17,75,False
2012-11-18,72,False
2012-11-19,61,False
2012-11-20,57,False
2012-11-21,58,False
2012-11-22,51,False
2012-11-23,68,False
2012-11-24,89,False
2012-11-25,71,False
2012-11-26,60,False
2012-11-27,56,False
2012-11-28,55,False
2012-11-29,57,False
2012-11-30,57,False
2012-12-01,69,False
2012-12-02,65,False
2012-12-03,62,False
2012-12-04,56,False
2012-12-05,62,False
2012-12-06,57,False
2012-12-07,56,False
2012-12-08,73,False
2012-12-09,70,False
2012-12-10,53,False
2012-12-11,48,False
2012-12-12,57,False
2012-12-13,50,False
2012-12-14,55,False
2012-12-15,60,False
2012-12-16,55,False
2012-12-17,55,False
2012-12-18,51,False
2012-12-19,50,False
2012-12-20,51,False
2012-12-21,53,False
2012-12-22,59,False
2012-12-23,60,False
2012-12-24,50,False
2012-12-25,56,False
2012-12-26,68,False
2012-12-27,70,False
2012-12-28,72,False
2012-12-29,73,False
2012-12-30,69,False
2012-12-31,75,False
2013-01-01,70,False
2013-01-02,70,False
2013-01-03,76,False
2013-01-04,72,False
2013-01-05,79,False
2013-01-06,78,False
2013-01-07,71,False
2013-01-08,62,False
2013-01-09,57,False
2013-01-10,55,False
2013-01-11,55,False
2013-01-12,70,False
2013-01-13,69,False
2013-01-14,59,False
2013-01-15,66,False
2013-01-16,55,False
2013-01-17,63,False
2013-01-18,62,False
2013-01-19,68,False
2013-01-20,69,False
2013-01-21,52,False
2013-01-22,61,False
2013-01-23,62,False
2013-01-24,57,False
2013-01-25,54,False
2013-01-26,59,False
2013-01-27,60,False
2013-01-28,53,False
2013-01-29,54,False
2013-01-30,50,False
2013-01-31,57,False
2013-02-01,55,False
2013-02-02,66,False
2013-02-03,76,False
2013-02-04,53,False
2013-02-05,57,False
2013-02-06,53,False
2013-02-07,48,False
2013-02-08,51,False
2013-02-09,61,False
2013-02-10,64,False
2013-02-11,59,False
2013-02-12,49,False
2013-02-13,54,False
2013-02-14,48,False
2013-02-15,52,False
2013-02-16,68,False
2013-02-17,66,False
2013-02-18,53,False
2013-02-19,52,False
2013-02-20,56,False
2013-02-21,53,False
2013-02-22,58,False
2013-02-23,58,False
2013-02-24,61,False
2013-02-25,57,False
2013-02-26,57,False
2013-02-27,55,False
2013-02-28,56,False
2013-03-01,58,False
2013-03-02,64,False
2013-03-03,67,False
2013-03-04,61,False
2013-03-05,54,False
2013-03-06,53,False
2013-03-07,54,False
2013-03-08,51,False
2013-03-09,60,False
2013-03-10,55,False
2013-03-11,61,False
2013-03-12,50,False
2013-03-13,51,False
2013-03-14,54,False
2013-03-15,53,False
2013-03-16,59,False
2013-03-17,59,False
2013-03-18,51,False
2013-03-19,49,False
2013-03-20,52,False
2013-03-21,54,False
2013-03-22,57,False
2013-03-23,59,False
2013-03-24,56,False
2013-03-25,58,False
2013-03-26,49,False
2013-03-27,48,False
2013-03-28,48,False
2013-03-29,54,False
2013-03-30,55,False
2013-03-31,49,False
2013-04-01,62,False
2013-04-02,56,False
2013-04-03,53,False
2013-04-04,51,False
2013-04-05,52,False
2013-04-06,52,False
2013-04-07,63,False
2013-04-08,50,False
2013-04-09,51,False
2013-04-10,52,False
2013-04-11,54,False
2013-04-12,52,False
2013-04-13,55,False
2013-04-14,54,False
2013-04-15,62,False
2013-04-16,57,False
2013-04-17,52,False
2013-04-18,49,False
2013-04-19,54,False
2013-04-20,62,False
2013-04-21,60,False
2013-04-22,52,False
2013-04-23,50,False
2013-04-24,49,False
2013-04-25,50,False
2013-04-26,51,False
2013-04-27,49,False
2013-04-28,51,False
2013-04-29,56,False
2013-04-30,54,False
2013-05-01,62,False
2013-05-02,49,False
2013-05-03,57,False
2013-05-04,63,False
2013-05-05,60,False
2013-05-06,48,False
2013-05-07,49,False
2013-05-08,47,False
2013-05-09,48,False
2013-05-10,49,False
2013-05-11,54,False
2013-05-12,52,False
2013-05-13,49,False
2013-05-14,48,False
2013-05-15,51,False
2013-05-16,54,False
2013-05-17,48,False
2013-05-18,54,False
2013-05-19,58,False
2013-05-20,54,False
2013-05-21,46,False
2013-05-22,49,False
2013-05-23,56,False
2013-05-24,58,False
2013-05-25,58,False
2013-05-26,51,False
2013-05-27,53,False
2013-05-28,56,False
2013-05-29,54,False
2013-05-30,61,False
2013-05-31,57,False
2013-06-01,62,False
2013-06-02,56,False
2013-06-03,64,False
2013-06-04,61,False
2013-06-05,57,False
2013-06-06,59,False
2013-06-07,61,False
2013-06-08,60,False
2013-06-09,56,False
2013-06-10,58,False
2013-06-11,55,False
2013-06-12,52,False
2013-06-13,53,False
2013-06-14,55,False
2013-06-15,56,False
2013-06-16,63,False
2013-06-17,60,False
2013-06-18,58,False
2013-06-19,52,False
2013-06-20,48,False
2013-06-21,57,False
2013-06-22,51,False
2013-06-23,56,False
2013-06-24,61,False
2013-06-25,58,False
2013-06-26,50,False
2013-06-27,56,False
2013-06-28,56,False
2013-06-29,57,False
