date,TXN stock
2011-01-01,0
2011-01-02,69
2011-01-03,0
2011-01-04,0
2011-01-05,27
2011-01-06,55
2011-01-07,56
2011-01-08,33
2011-01-09,0
2011-01-10,0
2011-01-11,51
2011-01-12,26
2011-01-13,26
2011-01-14,27
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,25
2011-01-21,26
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,25
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,24
2011-02-01,0
2011-02-02,0
2011-02-03,25
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,24
2011-02-08,0
2011-02-09,49
2011-02-10,25
2011-02-11,0
2011-02-12,31
2011-02-13,0
2011-02-14,74
2011-02-15,24
2011-02-16,0
2011-02-17,50
2011-02-18,26
2011-02-19,0
2011-02-20,0
2011-02-21,49
2011-02-22,0
2011-02-23,25
2011-02-24,50
2011-02-25,26
2011-02-26,0
2011-02-27,0
2011-02-28,24
2011-03-01,0
2011-03-02,25
2011-03-03,25
2011-03-04,26
2011-03-05,0
2011-03-06,0
2011-03-07,0
2011-03-08,50
2011-03-09,24
2011-03-10,0
2011-03-11,25
2011-03-12,0
2011-03-13,0
2011-03-14,26
2011-03-15,0
2011-03-16,24
2011-03-17,0
2011-03-18,26
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,30
2011-03-28,24
2011-03-29,24
2011-03-30,49
2011-03-31,49
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,73
2011-04-06,0
2011-04-07,25
2011-04-08,0
2011-04-09,0
2011-04-10,0
2011-04-11,24
2011-04-12,24
2011-04-13,0
2011-04-14,25
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,49
2011-04-19,100
2011-04-20,0
2011-04-21,27
2011-04-22,30
2011-04-23,0
2011-04-24,34
2011-04-25,27
2011-04-26,48
2011-04-27,0
2011-04-28,49
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,72
2011-05-04,24
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,31
2011-05-09,24
2011-05-10,0
2011-05-11,24
2011-05-12,0
2011-05-13,26
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,23
2011-05-24,0
2011-05-25,48
2011-05-26,0
2011-05-27,26
2011-05-28,0
2011-05-29,0
2011-05-30,26
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,24
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,24
2011-06-15,48
2011-06-16,24
2011-06-17,26
2011-06-18,31
2011-06-19,0
2011-06-20,0
2011-06-21,24
2011-06-22,24
2011-06-23,50
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,24
2011-06-29,0
2011-06-30,24
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,49
2011-07-07,25
2011-07-08,0
2011-07-09,32
2011-07-10,0
2011-07-11,24
2011-07-12,0
2011-07-13,0
2011-07-14,25
2011-07-15,26
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,24
2011-07-20,24
2011-07-21,0
2011-07-22,0
2011-07-23,30
2011-07-24,0
2011-07-25,0
2011-07-26,24
2011-07-27,24
2011-07-28,0
2011-07-29,51
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,24
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,23
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,24
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,23
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,70
2011-08-30,69
2011-08-31,0
2011-09-01,0
2011-09-02,48
2011-09-03,0
2011-09-04,28
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,22
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,0
2011-09-14,44
2011-09-15,0
2011-09-16,70
2011-09-17,0
2011-09-18,27
