date,TXN stock
2015-08-18,9
2015-08-19,9
2015-08-20,9
2015-08-21,9
2015-08-22,21
2015-08-23,10
2015-08-24,25
2015-08-25,26
2015-08-26,9
2015-08-27,9
2015-08-28,0
2015-08-29,0
2015-08-30,31
2015-08-31,17
2015-09-01,34
2015-09-02,0
2015-09-03,9
2015-09-04,9
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,8
2015-09-09,8
2015-09-10,17
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,8
2015-09-15,0
2015-09-16,8
2015-09-17,17
2015-09-18,18
2015-09-19,0
2015-09-20,0
2015-09-21,8
2015-09-22,8
2015-09-23,17
2015-09-24,9
2015-09-25,9
2015-09-26,0
2015-09-27,0
2015-09-28,25
2015-09-29,8
2015-09-30,25
2015-10-01,0
2015-10-02,0
2015-10-03,10
2015-10-04,0
2015-10-05,17
2015-10-06,0
2015-10-07,33
2015-10-08,17
2015-10-09,9
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,8
2015-10-14,17
2015-10-15,0
2015-10-16,17
2015-10-17,10
2015-10-18,9
2015-10-19,16
2015-10-20,8
2015-10-21,33
2015-10-22,100
2015-10-23,26
2015-10-24,0
2015-10-25,9
2015-10-26,16
2015-10-27,8
2015-10-28,8
2015-10-29,8
2015-10-30,17
2015-10-31,0
2015-11-01,10
2015-11-02,16
2015-11-03,8
2015-11-04,8
2015-11-05,8
2015-11-06,8
2015-11-07,10
2015-11-08,0
2015-11-09,8
2015-11-10,0
2015-11-11,0
2015-11-12,17
2015-11-13,0
2015-11-14,0
2015-11-15,19
2015-11-16,8
2015-11-17,0
2015-11-18,0
2015-11-19,8
2015-11-20,0
2015-11-21,10
2015-11-22,0
2015-11-23,16
2015-11-24,8
2015-11-25,24
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,8
2015-12-01,8
2015-12-02,8
2015-12-03,8
2015-12-04,17
2015-12-05,0
2015-12-06,0
2015-12-07,17
2015-12-08,8
2015-12-09,32
2015-12-10,17
2015-12-11,0
2015-12-12,0
2015-12-13,9
2015-12-14,0
2015-12-15,17
2015-12-16,8
2015-12-17,0
2015-12-18,9
2015-12-19,10
2015-12-20,0
2015-12-21,9
2015-12-22,0
2015-12-23,0
2015-12-24,21
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,9
2015-12-30,9
2015-12-31,10
2016-01-01,0
2016-01-02,0
2016-01-03,10
2016-01-04,18
2016-01-05,9
2016-01-06,0
2016-01-07,35
2016-01-08,18
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,9
2016-01-13,17
2016-01-14,17
2016-01-15,9
2016-01-16,20
2016-01-17,0
2016-01-18,9
2016-01-19,17
2016-01-20,0
2016-01-21,18
2016-01-22,9
2016-01-23,0
2016-01-24,0
2016-01-25,9
2016-01-26,26
2016-01-27,35
2016-01-28,35
2016-01-29,27
2016-01-30,10
2016-01-31,0
2016-02-01,26
2016-02-02,17
2016-02-03,9
2016-02-04,0
2016-02-05,18
2016-02-06,0
2016-02-07,0
2016-02-08,9
2016-02-09,9
2016-02-10,34
2016-02-11,0
2016-02-12,9
2016-02-13,0
2016-02-14,0
2016-02-15,9
2016-02-16,34
2016-02-17,34
2016-02-18,17
2016-02-19,9
2016-02-20,10
2016-02-21,0
2016-02-22,25
2016-02-23,0
2016-02-24,17
2016-02-25,17
2016-02-26,9
2016-02-27,0
2016-02-28,10
2016-02-29,17
2016-03-01,25
2016-03-02,0
2016-03-03,26
2016-03-04,9
2016-03-05,10
2016-03-06,10
2016-03-07,8
2016-03-08,0
2016-03-09,0
2016-03-10,9
2016-03-11,9
2016-03-12,0
2016-03-13,0
2016-03-14,8
2016-03-15,0
2016-03-16,9
2016-03-17,9
2016-03-18,9
2016-03-19,0
2016-03-20,19
2016-03-21,9
2016-03-22,9
2016-03-23,0
2016-03-24,0
2016-03-25,10
2016-03-26,10
2016-03-27,0
2016-03-28,0
2016-03-29,17
2016-03-30,9
2016-03-31,17
2016-04-01,0
2016-04-02,20
2016-04-03,0
2016-04-04,17
2016-04-05,17
2016-04-06,17
2016-04-07,17
2016-04-08,0
2016-04-09,10
2016-04-10,0
2016-04-11,34
2016-04-12,25
2016-04-13,9
2016-04-14,35
2016-04-15,36
2016-04-16,0
2016-04-17,0
2016-04-18,17
2016-04-19,9
2016-04-20,26
2016-04-21,18
2016-04-22,18
2016-04-23,10
2016-04-24,10
2016-04-25,17
2016-04-26,17
2016-04-27,34
2016-04-28,88
2016-04-29,18
2016-04-30,10
2016-05-01,0
2016-05-02,9
2016-05-03,9
2016-05-04,26
