date,TXN stock
2015-04-10,41
2015-04-11,23
2015-04-12,0
2015-04-13,19
2015-04-14,10
2015-04-15,10
2015-04-16,0
2015-04-17,10
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,10
2015-04-22,19
2015-04-23,30
2015-04-24,41
2015-04-25,0
2015-04-26,11
2015-04-27,10
2015-04-28,9
2015-04-29,10
2015-04-30,0
2015-05-01,11
2015-05-02,11
2015-05-03,23
2015-05-04,19
2015-05-05,0
2015-05-06,0
2015-05-07,10
2015-05-08,51
2015-05-09,0
2015-05-10,0
2015-05-11,10
2015-05-12,19
2015-05-13,0
2015-05-14,10
2015-05-15,10
2015-05-16,0
2015-05-17,0
2015-05-18,29
2015-05-19,19
2015-05-20,0
2015-05-21,19
2015-05-22,10
2015-05-23,0
2015-05-24,12
2015-05-25,0
2015-05-26,10
2015-05-27,9
2015-05-28,19
2015-05-29,30
2015-05-30,0
2015-05-31,0
2015-06-01,29
2015-06-02,10
2015-06-03,10
2015-06-04,10
2015-06-05,10
2015-06-06,0
2015-06-07,0
2015-06-08,9
2015-06-09,28
2015-06-10,0
2015-06-11,20
2015-06-12,30
2015-06-13,23
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,30
2015-06-20,0
2015-06-21,12
2015-06-22,19
2015-06-23,0
2015-06-24,0
2015-06-25,19
2015-06-26,10
2015-06-27,12
2015-06-28,0
2015-06-29,0
2015-06-30,10
2015-07-01,10
2015-07-02,20
2015-07-03,11
2015-07-04,0
2015-07-05,0
2015-07-06,10
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,12
2015-07-12,12
2015-07-13,19
2015-07-14,10
2015-07-15,48
2015-07-16,0
2015-07-17,10
2015-07-18,12
2015-07-19,0
2015-07-20,10
2015-07-21,19
2015-07-22,29
2015-07-23,30
2015-07-24,30
2015-07-25,12
2015-07-26,0
2015-07-27,10
2015-07-28,19
2015-07-29,38
2015-07-30,10
2015-07-31,20
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,29
2015-08-05,10
2015-08-06,10
2015-08-07,10
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,10
2015-08-13,20
2015-08-14,10
2015-08-15,0
2015-08-16,11
2015-08-17,0
2015-08-18,19
2015-08-19,10
2015-08-20,10
2015-08-21,10
2015-08-22,11
2015-08-23,11
2015-08-24,18
2015-08-25,28
2015-08-26,19
2015-08-27,19
2015-08-28,10
2015-08-29,0
2015-08-30,11
2015-08-31,0
2015-09-01,28
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,37
2015-09-09,9
2015-09-10,9
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,9
2015-09-15,0
2015-09-16,18
2015-09-17,9
2015-09-18,0
2015-09-19,11
2015-09-20,0
2015-09-21,9
2015-09-22,18
2015-09-23,18
2015-09-24,9
2015-09-25,10
2015-09-26,0
2015-09-27,11
2015-09-28,27
2015-09-29,18
2015-09-30,36
2015-10-01,9
2015-10-02,19
2015-10-03,0
2015-10-04,11
2015-10-05,18
2015-10-06,9
2015-10-07,18
2015-10-08,9
2015-10-09,9
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,9
2015-10-14,9
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,9
2015-10-20,18
2015-10-21,18
2015-10-22,100
2015-10-23,9
2015-10-24,0
2015-10-25,10
2015-10-26,18
2015-10-27,36
2015-10-28,9
2015-10-29,27
2015-10-30,19
2015-10-31,0
2015-11-01,11
2015-11-02,18
2015-11-03,18
2015-11-04,9
2015-11-05,27
2015-11-06,19
2015-11-07,11
2015-11-08,0
2015-11-09,18
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,9
2015-11-14,10
2015-11-15,10
2015-11-16,18
2015-11-17,0
2015-11-18,9
2015-11-19,18
2015-11-20,18
2015-11-21,0
2015-11-22,0
2015-11-23,18
2015-11-24,9
2015-11-25,27
2015-11-26,0
2015-11-27,9
2015-11-28,0
2015-11-29,0
2015-11-30,9
2015-12-01,0
2015-12-02,9
2015-12-03,0
2015-12-04,9
2015-12-05,10
2015-12-06,0
2015-12-07,18
2015-12-08,18
2015-12-09,18
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,18
2015-12-16,9
2015-12-17,9
2015-12-18,10
2015-12-19,33
2015-12-20,0
2015-12-21,19
2015-12-22,0
2015-12-23,0
2015-12-24,23
2015-12-25,0
2015-12-26,0
