date,TXN stock
2017-01-19,16
2017-01-20,8
2017-01-21,0
2017-01-22,0
2017-01-23,16
2017-01-24,81
2017-01-25,100
2017-01-26,57
2017-01-27,26
2017-01-28,29
2017-01-29,9
2017-01-30,24
2017-01-31,74
2017-02-01,40
2017-02-02,33
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,56
2017-02-07,16
2017-02-08,16
2017-02-09,25
2017-02-10,17
2017-02-11,19
2017-02-12,0
2017-02-13,49
2017-02-14,32
2017-02-15,33
2017-02-16,40
2017-02-17,16
2017-02-18,37
2017-02-19,0
2017-02-20,16
2017-02-21,32
2017-02-22,24
2017-02-23,25
2017-02-24,17
2017-02-25,0
2017-02-26,9
2017-02-27,47
2017-02-28,8
2017-03-01,46
2017-03-02,31
2017-03-03,17
2017-03-04,0
2017-03-05,0
2017-03-06,8
2017-03-07,54
2017-03-08,64
2017-03-09,16
2017-03-10,41
2017-03-11,18
2017-03-12,0
2017-03-13,30
2017-03-14,40
2017-03-15,32
2017-03-16,65
2017-03-17,25
2017-03-18,0
2017-03-19,0
2017-03-20,16
2017-03-21,56
2017-03-22,81
2017-03-23,33
2017-03-24,8
2017-03-25,19
2017-03-26,0
2017-03-27,24
2017-03-28,8
2017-03-29,8
2017-03-30,8
2017-03-31,34
2017-04-01,0
2017-04-02,0
2017-04-03,56
2017-04-04,24
2017-04-05,32
2017-04-06,33
2017-04-07,42
2017-04-08,9
2017-04-09,0
2017-04-10,25
2017-04-11,24
2017-04-12,33
2017-04-13,17
2017-04-14,9
2017-04-15,0
2017-04-16,0
2017-04-17,34
2017-04-18,24
2017-04-19,24
2017-04-20,41
2017-04-21,26
2017-04-22,19
2017-04-23,0
2017-04-24,40
2017-04-25,24
2017-04-26,72
2017-04-27,49
2017-04-28,8
2017-04-29,19
2017-04-30,19
2017-05-01,26
2017-05-02,40
2017-05-03,32
2017-05-04,16
2017-05-05,51
2017-05-06,9
2017-05-07,9
2017-05-08,24
2017-05-09,16
2017-05-10,8
2017-05-11,8
2017-05-12,25
2017-05-13,19
2017-05-14,10
2017-05-15,26
2017-05-16,52
2017-05-17,26
2017-05-18,52
2017-05-19,27
2017-05-20,20
2017-05-21,0
2017-05-22,35
2017-05-23,0
2017-05-24,44
2017-05-25,9
2017-05-26,37
2017-05-27,0
2017-05-28,0
2017-05-29,9
2017-05-30,17
2017-05-31,26
2017-06-01,27
2017-06-02,9
2017-06-03,41
2017-06-04,0
2017-06-05,9
2017-06-06,8
2017-06-07,34
2017-06-08,34
2017-06-09,62
2017-06-10,31
2017-06-11,0
2017-06-12,25
2017-06-13,25
2017-06-14,52
2017-06-15,18
2017-06-16,18
2017-06-17,0
2017-06-18,10
2017-06-19,17
2017-06-20,58
2017-06-21,33
2017-06-22,34
2017-06-23,17
2017-06-24,10
2017-06-25,0
2017-06-26,18
2017-06-27,53
2017-06-28,36
2017-06-29,18
2017-06-30,55
2017-07-01,0
2017-07-02,0
2017-07-03,27
2017-07-04,9
2017-07-05,27
2017-07-06,36
2017-07-07,0
2017-07-08,10
2017-07-09,31
2017-07-10,17
2017-07-11,26
2017-07-12,17
2017-07-13,27
2017-07-14,64
2017-07-15,31
2017-07-16,0
2017-07-17,62
2017-07-18,62
2017-07-19,35
2017-07-20,26
2017-07-21,27
2017-07-22,31
2017-07-23,0
2017-07-24,44
2017-07-25,86
2017-07-26,35
2017-07-27,61
2017-07-28,36
2017-07-29,10
2017-07-30,10
2017-07-31,17
2017-08-01,25
2017-08-02,49
2017-08-03,25
2017-08-04,44
2017-08-05,0
2017-08-06,20
2017-08-07,33
2017-08-08,40
2017-08-09,41
2017-08-10,34
2017-08-11,44
2017-08-12,20
2017-08-13,10
2017-08-14,43
2017-08-15,26
2017-08-16,43
2017-08-17,9
2017-08-18,9
2017-08-19,10
2017-08-20,0
2017-08-21,8
2017-08-22,33
2017-08-23,17
2017-08-24,8
2017-08-25,18
2017-08-26,0
2017-08-27,10
2017-08-28,34
2017-08-29,42
2017-08-30,51
2017-08-31,8
2017-09-01,27
2017-09-02,0
2017-09-03,0
2017-09-04,9
2017-09-05,8
2017-09-06,25
2017-09-07,25
2017-09-08,17
2017-09-09,0
2017-09-10,0
2017-09-11,25
2017-09-12,16
2017-09-13,57
2017-09-14,0
2017-09-15,34
2017-09-16,29
2017-09-17,0
2017-09-18,50
2017-09-19,16
2017-09-20,75
2017-09-21,25
2017-09-22,35
2017-09-23,19
2017-09-24,9
2017-09-25,33
2017-09-26,49
2017-09-27,49
2017-09-28,66
2017-09-29,35
2017-09-30,29
2017-10-01,9
2017-10-02,33
2017-10-03,25
2017-10-04,33
2017-10-05,74
2017-10-06,51
