date,TXN stock
2017-10-06,19
2017-10-07,4
2017-10-08,3
2017-10-09,12
2017-10-10,6
2017-10-11,18
2017-10-12,9
2017-10-13,22
2017-10-14,4
2017-10-15,7
2017-10-16,25
2017-10-17,9
2017-10-18,21
2017-10-19,22
2017-10-20,13
2017-10-21,14
2017-10-22,0
2017-10-23,18
2017-10-24,45
2017-10-25,36
2017-10-26,34
2017-10-27,16
2017-10-28,11
2017-10-29,3
2017-10-30,15
2017-10-31,34
2017-11-01,28
2017-11-02,19
2017-11-03,19
2017-11-04,7
2017-11-05,3
2017-11-06,12
2017-11-07,24
2017-11-08,21
2017-11-09,24
2017-11-10,37
2017-11-11,10
2017-11-12,7
2017-11-13,3
2017-11-14,15
2017-11-15,9
2017-11-16,18
2017-11-17,18
2017-11-18,3
2017-11-19,0
2017-11-20,3
2017-11-21,15
2017-11-22,12
2017-11-23,9
2017-11-24,18
2017-11-25,0
2017-11-26,0
2017-11-27,14
2017-11-28,20
2017-11-29,38
2017-11-30,24
2017-12-01,28
2017-12-02,10
2017-12-03,7
2017-12-04,20
2017-12-05,12
2017-12-06,18
2017-12-07,15
2017-12-08,9
2017-12-09,0
2017-12-10,0
2017-12-11,6
2017-12-12,12
2017-12-13,27
2017-12-14,15
2017-12-15,16
2017-12-16,3
2017-12-17,0
2017-12-18,24
2017-12-19,36
2017-12-20,31
2017-12-21,13
2017-12-22,10
2017-12-23,4
2017-12-24,4
2017-12-25,4
2017-12-26,13
2017-12-27,32
2017-12-28,29
2017-12-29,17
2017-12-30,4
2017-12-31,7
2018-01-01,7
2018-01-02,6
2018-01-03,18
2018-01-04,36
2018-01-05,15
2018-01-06,0
2018-01-07,10
2018-01-08,17
2018-01-09,17
2018-01-10,9
2018-01-11,24
2018-01-12,27
2018-01-13,0
2018-01-14,3
2018-01-15,12
2018-01-16,20
2018-01-17,49
2018-01-18,31
2018-01-19,6
2018-01-20,16
2018-01-21,7
2018-01-22,25
2018-01-23,100
2018-01-24,89
2018-01-25,61
2018-01-26,60
2018-01-27,17
2018-01-28,7
2018-01-29,23
2018-01-30,32
2018-01-31,40
2018-02-01,26
2018-02-02,39
2018-02-03,16
2018-02-04,3
2018-02-05,17
2018-02-06,43
2018-02-07,37
2018-02-08,32
2018-02-09,33
2018-02-10,7
2018-02-11,0
2018-02-12,29
2018-02-13,17
2018-02-14,20
2018-02-15,17
2018-02-16,24
2018-02-17,3
2018-02-18,0
2018-02-19,12
2018-02-20,23
2018-02-21,31
2018-02-22,23
2018-02-23,30
2018-02-24,0
2018-02-25,10
2018-02-26,20
2018-02-27,19
2018-02-28,34
2018-03-01,31
2018-03-02,29
2018-03-03,3
2018-03-04,0
2018-03-05,20
2018-03-06,14
2018-03-07,23
2018-03-08,26
2018-03-09,33
2018-03-10,23
2018-03-11,3
2018-03-12,14
2018-03-13,34
2018-03-14,25
2018-03-15,20
2018-03-16,6
2018-03-17,10
2018-03-18,6
2018-03-19,17
2018-03-20,23
2018-03-21,14
2018-03-22,14
2018-03-23,30
2018-03-24,10
2018-03-25,3
2018-03-26,14
2018-03-27,26
2018-03-28,18
2018-03-29,25
2018-03-30,0
2018-03-31,3
2018-04-01,0
2018-04-02,15
2018-04-03,20
2018-04-04,15
2018-04-05,12
2018-04-06,6
2018-04-07,3
2018-04-08,3
2018-04-09,26
