date,EBAY stock
2014-07-24,34
2014-07-25,43
2014-07-26,22
2014-07-27,27
2014-07-28,39
2014-07-29,29
2014-07-30,20
2014-07-31,33
2014-08-01,41
2014-08-02,19
2014-08-03,18
2014-08-04,29
2014-08-05,29
2014-08-06,28
2014-08-07,35
2014-08-08,32
2014-08-09,26
2014-08-10,33
2014-08-11,21
2014-08-12,30
2014-08-13,27
2014-08-14,32
2014-08-15,44
2014-08-16,27
2014-08-17,25
2014-08-18,34
2014-08-19,37
2014-08-20,38
2014-08-21,43
2014-08-22,49
2014-08-23,21
2014-08-24,35
2014-08-25,35
2014-08-26,38
2014-08-27,26
2014-08-28,28
2014-08-29,31
2014-08-30,25
2014-08-31,18
2014-09-01,28
2014-09-02,27
2014-09-03,39
2014-09-04,30
2014-09-05,30
2014-09-06,32
2014-09-07,22
2014-09-08,36
2014-09-09,50
2014-09-10,34
2014-09-11,39
2014-09-12,44
2014-09-13,31
2014-09-14,31
2014-09-15,46
2014-09-16,46
2014-09-17,34
2014-09-18,33
2014-09-19,47
2014-09-20,25
2014-09-21,40
2014-09-22,28
2014-09-23,28
2014-09-24,43
2014-09-25,32
2014-09-26,32
2014-09-27,25
2014-09-28,13
2014-09-29,50
2014-09-30,100
2014-10-01,61
2014-10-02,38
2014-10-03,40
2014-10-04,40
2014-10-05,29
2014-10-06,30
2014-10-07,45
2014-10-08,37
2014-10-09,44
2014-10-10,36
2014-10-11,27
2014-10-12,28
2014-10-13,38
2014-10-14,49
2014-10-15,58
2014-10-16,48
2014-10-17,55
2014-10-18,23
2014-10-19,27
2014-10-20,42
2014-10-21,31
2014-10-22,45
2014-10-23,31
2014-10-24,37
2014-10-25,28
2014-10-26,18
2014-10-27,28
2014-10-28,35
2014-10-29,36
2014-10-30,34
2014-10-31,32
2014-11-01,23
2014-11-02,21
2014-11-03,26
2014-11-04,35
2014-11-05,39
2014-11-06,31
2014-11-07,38
2014-11-08,27
2014-11-09,27
2014-11-10,36
2014-11-11,38
2014-11-12,30
2014-11-13,37
2014-11-14,35
2014-11-15,36
2014-11-16,39
2014-11-17,23
2014-11-18,38
2014-11-19,27
2014-11-20,31
2014-11-21,42
2014-11-22,32
2014-11-23,22
2014-11-24,35
2014-11-25,43
2014-11-26,30
2014-11-27,35
2014-11-28,23
2014-11-29,22
2014-11-30,35
2014-12-01,38
2014-12-02,26
2014-12-03,36
2014-12-04,39
2014-12-05,41
2014-12-06,28
2014-12-07,32
2014-12-08,30
2014-12-09,35
2014-12-10,41
2014-12-11,52
2014-12-12,35
2014-12-13,35
2014-12-14,31
2014-12-15,37
2014-12-16,39
2014-12-17,35
2014-12-18,26
2014-12-19,36
2014-12-20,31
2014-12-21,34
2014-12-22,29
2014-12-23,27
2014-12-24,31
2014-12-25,22
2014-12-26,24
2014-12-27,17
2014-12-28,24
2014-12-29,39
2014-12-30,33
2014-12-31,30
2015-01-01,31
2015-01-02,33
2015-01-03,16
2015-01-04,25
2015-01-05,43
2015-01-06,22
2015-01-07,50
2015-01-08,35
2015-01-09,27
2015-01-10,18
2015-01-11,30
2015-01-12,34
2015-01-13,44
2015-01-14,28
2015-01-15,38
2015-01-16,37
2015-01-17,23
2015-01-18,25
2015-01-19,23
2015-01-20,26
2015-01-21,43
2015-01-22,59
2015-01-23,36
2015-01-24,27
2015-01-25,28
2015-01-26,35
2015-01-27,27
2015-01-28,37
2015-01-29,35
2015-01-30,30
2015-01-31,24
2015-02-01,21
2015-02-02,24
2015-02-03,22
2015-02-04,40
2015-02-05,42
2015-02-06,33
2015-02-07,19
2015-02-08,29
2015-02-09,24
2015-02-10,33
2015-02-11,34
2015-02-12,29
2015-02-13,24
2015-02-14,23
2015-02-15,32
2015-02-16,34
2015-02-17,42
2015-02-18,27
2015-02-19,35
2015-02-20,29
2015-02-21,26
2015-02-22,31
2015-02-23,44
2015-02-24,32
2015-02-25,32
2015-02-26,31
2015-02-27,30
2015-02-28,27
2015-03-01,27
2015-03-02,36
2015-03-03,28
2015-03-04,34
2015-03-05,34
2015-03-06,48
2015-03-07,19
2015-03-08,17
2015-03-09,29
2015-03-10,35
2015-03-11,27
2015-03-12,29
2015-03-13,32
2015-03-14,17
2015-03-15,37
2015-03-16,30
2015-03-17,31
2015-03-18,26
2015-03-19,30
2015-03-20,30
2015-03-21,25
2015-03-22,26
2015-03-23,27
2015-03-24,41
2015-03-25,36
2015-03-26,37
2015-03-27,28
2015-03-28,27
2015-03-29,27
2015-03-30,36
2015-03-31,27
2015-04-01,26
2015-04-02,29
2015-04-03,32
2015-04-04,34
2015-04-05,18
2015-04-06,28
2015-04-07,43
2015-04-08,29
2015-04-09,41
2015-04-10,20
