date,SNPS stock
2018-02-13,61
2018-02-14,41
2018-02-15,20
2018-02-16,42
2018-02-17,0
2018-02-18,23
2018-02-19,0
2018-02-20,100
2018-02-21,20
2018-02-22,20
2018-02-23,42
2018-02-24,23
2018-02-25,23
2018-02-26,20
2018-02-27,40
2018-02-28,40
2018-03-01,98
2018-03-02,0
2018-03-03,23
2018-03-04,23
2018-03-05,39
2018-03-06,0
2018-03-07,40
2018-03-08,20
2018-03-09,42
2018-03-10,0
2018-03-11,0
2018-03-12,39
2018-03-13,0
2018-03-14,40
2018-03-15,0
2018-03-16,41
2018-03-17,0
2018-03-18,0
2018-03-19,40
2018-03-20,60
2018-03-21,20
2018-03-22,0
2018-03-23,42
2018-03-24,0
2018-03-25,0
2018-03-26,60
2018-03-27,0
2018-03-28,63
2018-03-29,21
2018-03-30,23
2018-03-31,0
2018-04-01,24
2018-04-02,0
2018-04-03,0
2018-04-04,40
2018-04-05,21
2018-04-06,21
2018-04-07,0
2018-04-08,0
2018-04-09,40
