date,SNPS stock
2017-10-06,27
2017-10-07,15
2017-10-08,0
2017-10-09,0
2017-10-10,25
2017-10-11,0
2017-10-12,39
2017-10-13,27
2017-10-14,0
2017-10-15,0
2017-10-16,26
2017-10-17,13
2017-10-18,0
2017-10-19,13
2017-10-20,0
2017-10-21,0
2017-10-22,14
2017-10-23,0
2017-10-24,25
2017-10-25,13
2017-10-26,13
2017-10-27,26
2017-10-28,29
2017-10-29,0
2017-10-30,13
2017-10-31,0
2017-11-01,39
2017-11-02,26
2017-11-03,13
2017-11-04,0
2017-11-05,0
2017-11-06,12
2017-11-07,25
2017-11-08,25
2017-11-09,12
2017-11-10,13
2017-11-11,14
2017-11-12,0
2017-11-13,12
2017-11-14,25
2017-11-15,37
2017-11-16,25
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,12
2017-11-21,0
2017-11-22,13
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,36
2017-11-28,12
2017-11-29,75
2017-11-30,100
2017-12-01,52
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,25
2017-12-06,50
2017-12-07,51
2017-12-08,0
2017-12-09,0
2017-12-10,14
2017-12-11,0
2017-12-12,25
2017-12-13,12
2017-12-14,26
2017-12-15,66
2017-12-16,0
2017-12-17,0
2017-12-18,13
2017-12-19,0
2017-12-20,13
2017-12-21,27
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,13
2017-12-28,13
2017-12-29,0
2017-12-30,15
2017-12-31,0
2018-01-01,15
2018-01-02,26
2018-01-03,25
2018-01-04,13
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,12
2018-01-09,36
2018-01-10,0
2018-01-11,12
2018-01-12,25
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,12
2018-01-17,60
2018-01-18,12
2018-01-19,13
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,24
2018-01-24,12
2018-01-25,48
2018-01-26,13
2018-01-27,0
2018-01-28,14
2018-01-29,12
2018-01-30,12
2018-01-31,36
2018-02-01,0
2018-02-02,13
2018-02-03,41
2018-02-04,0
2018-02-05,48
2018-02-06,48
2018-02-07,36
2018-02-08,24
2018-02-09,50
2018-02-10,0
2018-02-11,0
2018-02-12,37
2018-02-13,25
2018-02-14,37
2018-02-15,12
2018-02-16,38
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,24
2018-02-21,24
2018-02-22,0
2018-02-23,25
2018-02-24,14
2018-02-25,0
2018-02-26,24
2018-02-27,35
2018-02-28,12
2018-03-01,59
2018-03-02,0
2018-03-03,14
2018-03-04,14
2018-03-05,46
2018-03-06,24
2018-03-07,24
2018-03-08,0
2018-03-09,12
2018-03-10,14
2018-03-11,0
2018-03-12,24
2018-03-13,24
2018-03-14,48
2018-03-15,0
2018-03-16,37
2018-03-17,0
2018-03-18,0
2018-03-19,24
2018-03-20,12
2018-03-21,0
2018-03-22,12
2018-03-23,37
2018-03-24,0
2018-03-25,0
2018-03-26,36
2018-03-27,0
2018-03-28,37
2018-03-29,0
2018-03-30,14
2018-03-31,0
2018-04-01,0
2018-04-02,13
2018-04-03,0
2018-04-04,36
2018-04-05,37
2018-04-06,51
2018-04-07,0
2018-04-08,0
2018-04-09,36
