date,SNPS stock
2016-09-11,0
2016-09-12,0
2016-09-13,0
2016-09-14,18
2016-09-15,0
2016-09-16,55
2016-09-17,0
2016-09-18,0
2016-09-19,34
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,18
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,17
2016-10-04,0
2016-10-05,17
2016-10-06,17
2016-10-07,0
2016-10-08,20
2016-10-09,0
2016-10-10,17
2016-10-11,0
2016-10-12,18
2016-10-13,0
2016-10-14,18
2016-10-15,0
2016-10-16,0
2016-10-17,17
2016-10-18,17
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,20
2016-10-23,0
2016-10-24,34
2016-10-25,17
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,18
2016-11-02,0
2016-11-03,0
2016-11-04,36
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,50
2016-11-09,16
2016-11-10,0
2016-11-11,18
2016-11-12,0
2016-11-13,0
2016-11-14,34
2016-11-15,0
2016-11-16,17
2016-11-17,17
2016-11-18,0
2016-11-19,20
2016-11-20,0
2016-11-21,0
2016-11-22,17
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,18
2016-11-28,0
2016-11-29,32
2016-11-30,33
2016-12-01,17
2016-12-02,35
2016-12-03,0
2016-12-04,18
2016-12-05,15
2016-12-06,16
2016-12-07,32
2016-12-08,0
2016-12-09,17
2016-12-10,0
2016-12-11,0
2016-12-12,16
2016-12-13,0
2016-12-14,0
2016-12-15,33
2016-12-16,35
2016-12-17,20
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,18
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,33
2017-01-05,0
2017-01-06,17
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,32
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,18
2017-01-15,0
2017-01-16,0
2017-01-17,16
2017-01-18,16
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,16
2017-01-25,16
2017-01-26,0
2017-01-27,17
2017-01-28,18
2017-01-29,0
2017-01-30,16
2017-01-31,16
2017-02-01,15
2017-02-02,0
2017-02-03,33
2017-02-04,0
2017-02-05,0
2017-02-06,16
2017-02-07,0
2017-02-08,16
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,31
2017-02-14,16
2017-02-15,47
2017-02-16,78
2017-02-17,47
2017-02-18,18
2017-02-19,0
2017-02-20,16
2017-02-21,31
2017-02-22,16
2017-02-23,16
2017-02-24,65
2017-02-25,0
2017-02-26,0
2017-02-27,46
2017-02-28,0
2017-03-01,45
2017-03-02,30
2017-03-03,48
2017-03-04,0
2017-03-05,0
2017-03-06,15
2017-03-07,29
2017-03-08,15
2017-03-09,16
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,29
2017-03-14,15
2017-03-15,16
2017-03-16,0
2017-03-17,33
2017-03-18,0
2017-03-19,0
2017-03-20,16
2017-03-21,0
2017-03-22,31
2017-03-23,31
2017-03-24,16
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,31
2017-03-29,16
2017-03-30,16
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,47
2017-04-04,16
2017-04-05,31
2017-04-06,16
2017-04-07,48
2017-04-08,0
2017-04-09,18
2017-04-10,0
2017-04-11,48
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,16
2017-04-18,31
2017-04-19,15
2017-04-20,16
2017-04-21,16
2017-04-22,0
2017-04-23,0
2017-04-24,31
2017-04-25,31
2017-04-26,61
2017-04-27,47
2017-04-28,33
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,15
2017-05-03,0
2017-05-04,47
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,16
2017-05-09,0
2017-05-10,15
2017-05-11,16
2017-05-12,49
2017-05-13,0
2017-05-14,18
2017-05-15,16
2017-05-16,17
2017-05-17,17
2017-05-18,100
2017-05-19,70
2017-05-20,39
2017-05-21,0
2017-05-22,50
2017-05-23,49
2017-05-24,68
2017-05-25,34
2017-05-26,36
2017-05-27,0
2017-05-28,0
2017-05-29,17
