date,ADI stock
2015-04-10,54
2015-04-11,0
2015-04-12,41
2015-04-13,0
2015-04-14,0
2015-04-15,34
2015-04-16,68
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,17
2015-04-22,0
2015-04-23,87
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,17
2015-04-28,0
2015-04-29,17
2015-04-30,0
2015-05-01,19
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,17
2015-05-07,17
2015-05-08,18
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,100
2015-05-20,50
2015-05-21,17
2015-05-22,0
2015-05-23,0
2015-05-24,20
2015-05-25,18
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,20
2015-05-31,0
2015-06-01,0
2015-06-02,17
2015-06-03,17
2015-06-04,18
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,17
2015-06-09,17
2015-06-10,34
2015-06-11,17
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,17
2015-06-16,0
2015-06-17,0
2015-06-18,17
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,34
2015-06-23,17
2015-06-24,0
2015-06-25,17
2015-06-26,0
2015-06-27,41
2015-06-28,0
2015-06-29,0
2015-06-30,17
2015-07-01,51
2015-07-02,17
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,50
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,17
2015-07-16,18
2015-07-17,18
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,17
2015-07-23,0
2015-07-24,18
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,17
2015-07-29,0
2015-07-30,17
2015-07-31,18
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,18
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,17
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,20
2015-08-17,33
2015-08-18,67
2015-08-19,34
2015-08-20,0
2015-08-21,0
2015-08-22,20
2015-08-23,0
2015-08-24,32
2015-08-25,0
2015-08-26,17
2015-08-27,0
2015-08-28,35
2015-08-29,0
2015-08-30,0
2015-08-31,16
2015-09-01,16
2015-09-02,0
2015-09-03,16
2015-09-04,17
2015-09-05,0
2015-09-06,19
2015-09-07,17
2015-09-08,32
2015-09-09,0
2015-09-10,33
2015-09-11,17
2015-09-12,37
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,32
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,16
2015-09-24,0
2015-09-25,0
2015-09-26,19
2015-09-27,0
2015-09-28,0
2015-09-29,16
2015-09-30,32
2015-10-01,16
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,16
2015-10-06,0
2015-10-07,16
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,16
2015-10-13,0
2015-10-14,16
2015-10-15,63
2015-10-16,33
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,31
2015-10-21,31
2015-10-22,0
2015-10-23,33
2015-10-24,0
2015-10-25,0
2015-10-26,31
2015-10-27,0
2015-10-28,47
2015-10-29,64
2015-10-30,16
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,16
2015-11-05,16
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,15
2015-11-11,16
2015-11-12,16
2015-11-13,0
2015-11-14,18
2015-11-15,0
2015-11-16,0
2015-11-17,15
2015-11-18,0
2015-11-19,16
2015-11-20,33
2015-11-21,0
2015-11-22,0
2015-11-23,16
2015-11-24,62
2015-11-25,31
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,30
2015-12-01,15
2015-12-02,0
2015-12-03,16
2015-12-04,32
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,16
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,16
2015-12-16,16
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,18
2015-12-24,0
2015-12-25,0
2015-12-26,0
