date,ADI stock
2014-03-16,0
2014-03-17,30
2014-03-18,30
2014-03-19,0
2014-03-20,61
2014-03-21,32
2014-03-22,0
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,30
2014-03-27,30
2014-03-28,31
2014-03-29,35
2014-03-30,35
2014-03-31,0
2014-04-01,60
2014-04-02,60
2014-04-03,30
2014-04-04,31
2014-04-05,36
2014-04-06,0
2014-04-07,30
2014-04-08,0
2014-04-09,0
2014-04-10,0
2014-04-11,0
2014-04-12,0
2014-04-13,0
2014-04-14,30
2014-04-15,0
2014-04-16,31
2014-04-17,0
2014-04-18,0
2014-04-19,0
2014-04-20,0
2014-04-21,66
2014-04-22,30
2014-04-23,30
2014-04-24,60
2014-04-25,0
2014-04-26,0
2014-04-27,0
2014-04-28,45
2014-04-29,30
2014-04-30,0
2014-05-01,0
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,61
2014-05-06,30
2014-05-07,30
2014-05-08,90
2014-05-09,31
2014-05-10,0
2014-05-11,35
2014-05-12,29
2014-05-13,29
2014-05-14,30
2014-05-15,30
2014-05-16,0
2014-05-17,0
2014-05-18,0
2014-05-19,0
2014-05-20,30
2014-05-21,0
2014-05-22,0
2014-05-23,34
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,0
2014-05-28,0
2014-05-29,34
2014-05-30,35
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,33
2014-06-05,0
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,100
2014-06-10,84
2014-06-11,0
2014-06-12,67
2014-06-13,0
2014-06-14,40
2014-06-15,0
2014-06-16,0
2014-06-17,0
2014-06-18,67
2014-06-19,34
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,33
2014-06-24,33
2014-06-25,33
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,34
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,33
2014-07-08,33
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,34
2014-07-15,67
2014-07-16,35
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,41
2014-07-21,34
2014-07-22,34
2014-07-23,69
2014-07-24,35
2014-07-25,36
2014-07-26,0
2014-07-27,42
2014-07-28,69
2014-07-29,51
2014-07-30,34
2014-07-31,52
2014-08-01,36
2014-08-02,0
2014-08-03,0
2014-08-04,34
2014-08-05,34
2014-08-06,34
2014-08-07,0
2014-08-08,72
2014-08-09,0
2014-08-10,0
2014-08-11,67
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,67
2014-08-20,33
2014-08-21,50
2014-08-22,34
2014-08-23,40
2014-08-24,0
2014-08-25,33
2014-08-26,32
2014-08-27,48
2014-08-28,33
2014-08-29,34
2014-08-30,0
2014-08-31,0
2014-09-01,33
2014-09-02,0
2014-09-03,32
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,31
2014-09-10,47
2014-09-11,47
2014-09-12,66
2014-09-13,38
2014-09-14,0
2014-09-15,32
2014-09-16,79
2014-09-17,32
2014-09-18,48
2014-09-19,33
2014-09-20,0
2014-09-21,0
2014-09-22,63
2014-09-23,0
2014-09-24,0
2014-09-25,64
2014-09-26,0
2014-09-27,39
2014-09-28,0
2014-09-29,31
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,33
2014-10-11,0
2014-10-12,0
2014-10-13,31
2014-10-14,31
2014-10-15,0
2014-10-16,0
2014-10-17,32
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,31
2014-10-22,31
2014-10-23,32
2014-10-24,49
2014-10-25,0
2014-10-26,0
2014-10-27,31
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,33
2014-11-01,75
2014-11-02,0
2014-11-03,62
2014-11-04,0
2014-11-05,30
2014-11-06,0
2014-11-07,32
2014-11-08,0
2014-11-09,0
2014-11-10,62
2014-11-11,0
2014-11-12,30
2014-11-13,60
2014-11-14,32
2014-11-15,0
2014-11-16,36
2014-11-17,30
2014-11-18,33
2014-11-19,31
2014-11-20,31
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,30
2014-11-25,0
2014-11-26,31
2014-11-27,0
2014-11-28,32
2014-11-29,0
2014-11-30,0
2014-12-01,30
