date,ADI stock
2014-07-24,21
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,21
2014-07-29,21
2014-07-30,21
2014-07-31,21
2014-08-01,44
2014-08-02,0
2014-08-03,0
2014-08-04,21
2014-08-05,21
2014-08-06,21
2014-08-07,30
2014-08-08,22
2014-08-09,0
2014-08-10,25
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,21
2014-08-15,22
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,21
2014-08-21,62
2014-08-22,21
2014-08-23,25
2014-08-24,0
2014-08-25,20
2014-08-26,20
2014-08-27,100
2014-08-28,20
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,20
2014-09-02,0
2014-09-03,20
2014-09-04,0
2014-09-05,0
2014-09-06,24
2014-09-07,0
2014-09-08,20
2014-09-09,19
2014-09-10,19
2014-09-11,39
2014-09-12,41
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,19
2014-09-17,39
2014-09-18,59
2014-09-19,20
2014-09-20,0
2014-09-21,0
2014-09-22,39
2014-09-23,19
2014-09-24,19
2014-09-25,30
2014-09-26,0
2014-09-27,24
2014-09-28,0
2014-09-29,19
2014-09-30,0
2014-10-01,39
2014-10-02,0
2014-10-03,21
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,19
2014-10-09,0
2014-10-10,20
2014-10-11,23
2014-10-12,0
2014-10-13,0
2014-10-14,19
2014-10-15,19
2014-10-16,0
2014-10-17,20
2014-10-18,23
2014-10-19,0
2014-10-20,19
2014-10-21,19
2014-10-22,19
2014-10-23,29
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,19
2014-10-30,0
2014-10-31,20
2014-11-01,0
2014-11-02,0
2014-11-03,38
2014-11-04,19
2014-11-05,19
2014-11-06,19
2014-11-07,20
2014-11-08,0
2014-11-09,0
2014-11-10,19
2014-11-11,0
2014-11-12,28
2014-11-13,19
2014-11-14,19
2014-11-15,22
2014-11-16,0
2014-11-17,19
2014-11-18,20
2014-11-19,20
2014-11-20,19
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,18
2014-11-25,0
2014-11-26,19
2014-11-27,0
2014-11-28,0
2014-11-29,22
2014-11-30,0
2014-12-01,37
2014-12-02,36
2014-12-03,19
2014-12-04,38
2014-12-05,20
2014-12-06,45
2014-12-07,22
2014-12-08,38
2014-12-09,37
2014-12-10,19
2014-12-11,0
2014-12-12,30
2014-12-13,0
2014-12-14,0
2014-12-15,37
2014-12-16,19
2014-12-17,19
2014-12-18,20
2014-12-19,20
2014-12-20,0
2014-12-21,0
2014-12-22,20
2014-12-23,0
2014-12-24,23
2014-12-25,0
2014-12-26,22
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,20
2014-12-31,23
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,37
2015-01-07,0
2015-01-08,18
2015-01-09,0
2015-01-10,0
2015-01-11,21
2015-01-12,0
2015-01-13,18
2015-01-14,18
2015-01-15,18
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,18
2015-01-21,17
2015-01-22,0
2015-01-23,19
2015-01-24,0
2015-01-25,0
2015-01-26,18
2015-01-27,18
2015-01-28,0
2015-01-29,0
2015-01-30,18
2015-01-31,21
2015-02-01,20
2015-02-02,0
2015-02-03,18
2015-02-04,18
2015-02-05,27
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,35
2015-02-11,0
2015-02-12,18
2015-02-13,37
2015-02-14,0
2015-02-15,42
2015-02-16,18
2015-02-17,37
2015-02-18,18
2015-02-19,18
2015-02-20,28
2015-02-21,0
2015-02-22,0
2015-02-23,18
2015-02-24,18
2015-02-25,26
2015-02-26,0
2015-02-27,36
2015-02-28,20
2015-03-01,21
2015-03-02,0
2015-03-03,35
2015-03-04,18
2015-03-05,18
2015-03-06,18
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,18
2015-03-11,17
2015-03-12,36
2015-03-13,18
2015-03-14,0
2015-03-15,0
2015-03-16,18
2015-03-17,0
2015-03-18,18
2015-03-19,18
2015-03-20,45
2015-03-21,21
2015-03-22,0
2015-03-23,17
2015-03-24,17
2015-03-25,0
2015-03-26,0
2015-03-27,28
2015-03-28,22
2015-03-29,22
2015-03-30,53
2015-03-31,35
2015-04-01,45
2015-04-02,19
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,19
2015-04-07,18
2015-04-08,0
2015-04-09,0
2015-04-10,0
