date,NTES stock
2016-09-11,9
2016-09-12,41
2016-09-13,32
2016-09-14,24
2016-09-15,0
2016-09-16,8
2016-09-17,0
2016-09-18,0
2016-09-19,16
2016-09-20,39
2016-09-21,16
2016-09-22,24
2016-09-23,25
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,8
2016-09-28,8
2016-09-29,0
2016-09-30,8
2016-10-01,0
2016-10-02,0
2016-10-03,23
2016-10-04,31
2016-10-05,8
2016-10-06,40
2016-10-07,8
2016-10-08,9
2016-10-09,0
2016-10-10,31
2016-10-11,31
2016-10-12,24
2016-10-13,16
2016-10-14,8
2016-10-15,0
2016-10-16,9
2016-10-17,0
2016-10-18,39
2016-10-19,23
2016-10-20,15
2016-10-21,0
2016-10-22,0
2016-10-23,9
2016-10-24,15
2016-10-25,8
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,9
2016-10-30,0
2016-10-31,8
2016-11-01,16
2016-11-02,24
2016-11-03,15
2016-11-04,0
2016-11-05,9
2016-11-06,0
2016-11-07,15
2016-11-08,15
2016-11-09,7
2016-11-10,24
2016-11-11,8
2016-11-12,9
2016-11-13,0
2016-11-14,15
2016-11-15,39
2016-11-16,0
2016-11-17,8
2016-11-18,24
2016-11-19,0
2016-11-20,9
2016-11-21,0
2016-11-22,8
2016-11-23,15
2016-11-24,0
2016-11-25,16
2016-11-26,0
2016-11-27,0
2016-11-28,15
2016-11-29,22
2016-11-30,7
2016-12-01,0
2016-12-02,8
2016-12-03,0
2016-12-04,0
2016-12-05,7
2016-12-06,7
2016-12-07,15
2016-12-08,15
2016-12-09,23
2016-12-10,0
2016-12-11,0
2016-12-12,15
2016-12-13,7
2016-12-14,7
2016-12-15,8
2016-12-16,8
2016-12-17,9
2016-12-18,17
2016-12-19,8
2016-12-20,23
2016-12-21,0
2016-12-22,0
2016-12-23,25
2016-12-24,19
2016-12-25,29
2016-12-26,17
2016-12-27,8
2016-12-28,16
2016-12-29,8
2016-12-30,17
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,23
2017-01-05,15
2017-01-06,31
2017-01-07,16
2017-01-08,17
2017-01-09,29
2017-01-10,7
2017-01-11,44
2017-01-12,7
2017-01-13,45
2017-01-14,8
2017-01-15,8
2017-01-16,15
2017-01-17,22
2017-01-18,14
2017-01-19,7
2017-01-20,8
2017-01-21,16
2017-01-22,8
2017-01-23,28
2017-01-24,14
2017-01-25,14
2017-01-26,14
2017-01-27,15
2017-01-28,8
2017-01-29,0
2017-01-30,7
2017-01-31,7
2017-02-01,28
2017-02-02,22
2017-02-03,15
2017-02-04,16
2017-02-05,8
2017-02-06,7
2017-02-07,14
2017-02-08,7
2017-02-09,0
2017-02-10,30
2017-02-11,0
2017-02-12,24
2017-02-13,28
2017-02-14,28
2017-02-15,36
2017-02-16,100
2017-02-17,57
2017-02-18,8
2017-02-19,0
2017-02-20,7
2017-02-21,7
2017-02-22,28
2017-02-23,29
2017-02-24,22
2017-02-25,33
2017-02-26,16
2017-02-27,7
2017-02-28,7
2017-03-01,7
2017-03-02,34
2017-03-03,58
2017-03-04,0
2017-03-05,16
2017-03-06,7
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,15
2017-03-11,8
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,14
2017-03-16,14
2017-03-17,15
2017-03-18,16
2017-03-19,8
2017-03-20,7
2017-03-21,28
2017-03-22,0
2017-03-23,14
2017-03-24,7
2017-03-25,0
2017-03-26,0
2017-03-27,7
2017-03-28,14
2017-03-29,14
2017-03-30,0
2017-03-31,15
2017-04-01,0
2017-04-02,0
2017-04-03,14
2017-04-04,7
2017-04-05,28
2017-04-06,36
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,7
2017-04-11,14
2017-04-12,22
2017-04-13,0
2017-04-14,8
2017-04-15,34
2017-04-16,0
2017-04-17,0
2017-04-18,14
2017-04-19,7
2017-04-20,0
2017-04-21,0
2017-04-22,8
2017-04-23,0
2017-04-24,21
2017-04-25,7
2017-04-26,21
2017-04-27,28
2017-04-28,15
2017-04-29,0
2017-04-30,0
2017-05-01,38
2017-05-02,7
2017-05-03,14
2017-05-04,21
2017-05-05,29
2017-05-06,0
2017-05-07,8
2017-05-08,14
2017-05-09,28
2017-05-10,64
2017-05-11,87
2017-05-12,30
2017-05-13,8
2017-05-14,8
2017-05-15,15
2017-05-16,15
2017-05-17,38
2017-05-18,23
2017-05-19,39
2017-05-20,18
2017-05-21,17
2017-05-22,15
2017-05-23,44
2017-05-24,38
2017-05-25,16
2017-05-26,33
2017-05-27,9
2017-05-28,9
2017-05-29,0
