date,NTES stock
2017-01-19,7
2017-01-20,7
2017-01-21,8
2017-01-22,0
2017-01-23,21
2017-01-24,14
2017-01-25,7
2017-01-26,14
2017-01-27,7
2017-01-28,0
2017-01-29,0
2017-01-30,7
2017-01-31,14
2017-02-01,28
2017-02-02,14
2017-02-03,7
2017-02-04,8
2017-02-05,0
2017-02-06,14
2017-02-07,28
2017-02-08,0
2017-02-09,0
2017-02-10,15
2017-02-11,0
2017-02-12,24
2017-02-13,7
2017-02-14,28
2017-02-15,57
2017-02-16,84
2017-02-17,49
2017-02-18,0
2017-02-19,16
2017-02-20,0
2017-02-21,14
2017-02-22,35
2017-02-23,35
2017-02-24,29
2017-02-25,8
2017-02-26,8
2017-02-27,14
2017-02-28,0
2017-03-01,0
2017-03-02,27
2017-03-03,57
2017-03-04,0
2017-03-05,31
2017-03-06,7
2017-03-07,20
2017-03-08,7
2017-03-09,7
2017-03-10,43
2017-03-11,0
2017-03-12,0
2017-03-13,13
2017-03-14,14
2017-03-15,7
2017-03-16,7
2017-03-17,15
2017-03-18,16
2017-03-19,16
2017-03-20,7
2017-03-21,21
2017-03-22,14
2017-03-23,7
2017-03-24,14
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,14
2017-03-29,14
2017-03-30,0
2017-03-31,7
2017-04-01,8
2017-04-02,8
2017-04-03,14
2017-04-04,14
2017-04-05,14
2017-04-06,28
2017-04-07,7
2017-04-08,0
2017-04-09,8
2017-04-10,7
2017-04-11,0
2017-04-12,21
2017-04-13,0
2017-04-14,8
2017-04-15,25
2017-04-16,0
2017-04-17,0
2017-04-18,7
2017-04-19,7
2017-04-20,0
2017-04-21,7
2017-04-22,0
2017-04-23,0
2017-04-24,21
2017-04-25,0
2017-04-26,21
2017-04-27,28
2017-04-28,29
2017-04-29,8
2017-04-30,0
2017-05-01,45
2017-05-02,21
2017-05-03,21
2017-05-04,28
2017-05-05,22
2017-05-06,8
2017-05-07,8
2017-05-08,14
2017-05-09,35
2017-05-10,70
2017-05-11,43
2017-05-12,29
2017-05-13,16
2017-05-14,17
2017-05-15,30
2017-05-16,22
2017-05-17,45
2017-05-18,15
2017-05-19,23
2017-05-20,26
2017-05-21,35
2017-05-22,37
2017-05-23,29
2017-05-24,23
2017-05-25,15
2017-05-26,40
2017-05-27,27
2017-05-28,18
2017-05-29,15
2017-05-30,15
2017-05-31,7
2017-06-01,23
2017-06-02,39
2017-06-03,17
2017-06-04,9
2017-06-05,15
2017-06-06,7
2017-06-07,15
2017-06-08,22
2017-06-09,23
2017-06-10,9
2017-06-11,9
2017-06-12,29
2017-06-13,7
2017-06-14,22
2017-06-15,15
2017-06-16,8
2017-06-17,9
2017-06-18,27
2017-06-19,22
2017-06-20,50
2017-06-21,28
2017-06-22,22
2017-06-23,22
2017-06-24,17
2017-06-25,26
2017-06-26,23
2017-06-27,53
2017-06-28,38
2017-06-29,38
2017-06-30,24
2017-07-01,9
2017-07-02,9
2017-07-03,38
2017-07-04,15
2017-07-05,23
2017-07-06,23
2017-07-07,24
2017-07-08,9
2017-07-09,27
2017-07-10,53
2017-07-11,30
2017-07-12,30
2017-07-13,39
2017-07-14,24
2017-07-15,18
2017-07-16,27
2017-07-17,45
2017-07-18,30
2017-07-19,52
2017-07-20,23
2017-07-21,32
2017-07-22,0
2017-07-23,17
2017-07-24,15
2017-07-25,0
2017-07-26,22
2017-07-27,30
2017-07-28,31
2017-07-29,0
2017-07-30,9
2017-07-31,15
2017-08-01,21
2017-08-02,21
2017-08-03,22
2017-08-04,23
2017-08-05,26
2017-08-06,0
2017-08-07,14
2017-08-08,7
2017-08-09,100
2017-08-10,88
2017-08-11,31
2017-08-12,25
2017-08-13,8
2017-08-14,22
2017-08-15,22
2017-08-16,59
2017-08-17,30
2017-08-18,15
2017-08-19,8
2017-08-20,8
2017-08-21,14
2017-08-22,21
2017-08-23,15
2017-08-24,29
2017-08-25,31
2017-08-26,34
2017-08-27,0
2017-08-28,44
2017-08-29,22
2017-08-30,29
2017-08-31,36
2017-09-01,15
2017-09-02,26
2017-09-03,17
2017-09-04,0
2017-09-05,43
2017-09-06,35
2017-09-07,22
2017-09-08,52
2017-09-09,33
2017-09-10,0
2017-09-11,14
2017-09-12,28
2017-09-13,7
2017-09-14,21
2017-09-15,22
2017-09-16,58
2017-09-17,8
2017-09-18,21
2017-09-19,35
2017-09-20,7
2017-09-21,29
2017-09-22,30
2017-09-23,16
2017-09-24,0
2017-09-25,21
2017-09-26,28
2017-09-27,21
2017-09-28,36
2017-09-29,23
2017-09-30,25
2017-10-01,33
2017-10-02,35
2017-10-03,14
2017-10-04,35
2017-10-05,21
2017-10-06,7
