date,NTES stock
2018-02-13,94
2018-02-14,38
2018-02-15,38
2018-02-16,88
2018-02-17,54
2018-02-18,75
2018-02-19,47
2018-02-20,56
2018-02-21,55
2018-02-22,47
2018-02-23,77
2018-02-24,85
2018-02-25,52
2018-02-26,46
2018-02-27,46
2018-02-28,73
2018-03-01,27
2018-03-02,38
2018-03-03,64
2018-03-04,63
2018-03-05,27
2018-03-06,55
2018-03-07,37
2018-03-08,66
2018-03-09,88
2018-03-10,42
2018-03-11,42
2018-03-12,100
2018-03-13,55
2018-03-14,73
2018-03-15,65
2018-03-16,48
2018-03-17,43
2018-03-18,41
2018-03-19,37
2018-03-20,37
2018-03-21,37
2018-03-22,37
2018-03-23,39
2018-03-24,54
2018-03-25,43
2018-03-26,47
2018-03-27,75
2018-03-28,48
2018-03-29,40
2018-03-30,53
2018-03-31,33
2018-04-01,34
2018-04-02,0
2018-04-03,19
2018-04-04,37
2018-04-05,76
2018-04-06,79
2018-04-07,22
2018-04-08,21
2018-04-09,37
