date,NTES stock
2017-05-29,8
2017-05-30,22
2017-05-31,14
2017-06-01,45
2017-06-02,8
2017-06-03,9
2017-06-04,0
2017-06-05,37
2017-06-06,7
2017-06-07,43
2017-06-08,22
2017-06-09,30
2017-06-10,26
2017-06-11,9
2017-06-12,36
2017-06-13,21
2017-06-14,29
2017-06-15,22
2017-06-16,31
2017-06-17,9
2017-06-18,9
2017-06-19,51
2017-06-20,0
2017-06-21,7
2017-06-22,7
2017-06-23,15
2017-06-24,0
2017-06-25,17
2017-06-26,22
2017-06-27,60
2017-06-28,23
2017-06-29,30
2017-06-30,47
2017-07-01,17
2017-07-02,9
2017-07-03,30
2017-07-04,23
2017-07-05,15
2017-07-06,15
2017-07-07,16
2017-07-08,17
2017-07-09,9
2017-07-10,22
2017-07-11,22
2017-07-12,29
2017-07-13,8
2017-07-14,46
2017-07-15,26
2017-07-16,17
2017-07-17,22
2017-07-18,15
2017-07-19,30
2017-07-20,15
2017-07-21,15
2017-07-22,0
2017-07-23,0
2017-07-24,29
2017-07-25,36
2017-07-26,7
2017-07-27,30
2017-07-28,0
2017-07-29,17
2017-07-30,9
2017-07-31,22
2017-08-01,21
2017-08-02,14
2017-08-03,21
2017-08-04,45
2017-08-05,17
2017-08-06,25
2017-08-07,35
2017-08-08,7
2017-08-09,100
2017-08-10,96
2017-08-11,46
2017-08-12,17
2017-08-13,8
2017-08-14,22
2017-08-15,45
2017-08-16,14
2017-08-17,22
2017-08-18,0
2017-08-19,0
2017-08-20,8
2017-08-21,28
2017-08-22,0
2017-08-23,14
2017-08-24,0
2017-08-25,15
2017-08-26,17
2017-08-27,16
2017-08-28,29
2017-08-29,21
2017-08-30,29
2017-08-31,14
2017-09-01,30
2017-09-02,0
2017-09-03,17
2017-09-04,7
2017-09-05,14
2017-09-06,7
2017-09-07,7
2017-09-08,22
2017-09-09,16
2017-09-10,16
2017-09-11,35
2017-09-12,14
2017-09-13,28
2017-09-14,49
2017-09-15,22
2017-09-16,16
2017-09-17,8
2017-09-18,14
2017-09-19,28
2017-09-20,14
2017-09-21,14
2017-09-22,37
2017-09-23,8
2017-09-24,0
2017-09-25,42
2017-09-26,28
2017-09-27,21
2017-09-28,14
2017-09-29,22
2017-09-30,25
2017-10-01,8
2017-10-02,7
2017-10-03,14
2017-10-04,28
2017-10-05,21
2017-10-06,7
2017-10-07,8
2017-10-08,8
2017-10-09,7
2017-10-10,21
2017-10-11,21
2017-10-12,21
2017-10-13,22
2017-10-14,32
2017-10-15,8
2017-10-16,21
2017-10-17,34
2017-10-18,0
2017-10-19,7
2017-10-20,29
2017-10-21,24
2017-10-22,23
2017-10-23,20
2017-10-24,54
2017-10-25,48
2017-10-26,21
2017-10-27,35
2017-10-28,32
2017-10-29,31
2017-10-30,62
2017-10-31,7
2017-11-01,36
2017-11-02,14
2017-11-03,7
2017-11-04,8
2017-11-05,15
2017-11-06,13
2017-11-07,54
2017-11-08,14
2017-11-09,7
2017-11-10,28
2017-11-11,47
2017-11-12,8
2017-11-13,20
2017-11-14,13
2017-11-15,60
2017-11-16,74
2017-11-17,63
2017-11-18,31
2017-11-19,30
2017-11-20,20
2017-11-21,54
2017-11-22,34
2017-11-23,14
2017-11-24,14
2017-11-25,0
2017-11-26,15
2017-11-27,20
2017-11-28,53
2017-11-29,13
2017-11-30,20
2017-12-01,42
2017-12-02,8
2017-12-03,8
2017-12-04,27
2017-12-05,13
2017-12-06,20
2017-12-07,0
2017-12-08,7
2017-12-09,16
2017-12-10,15
2017-12-11,46
2017-12-12,40
2017-12-13,13
2017-12-14,28
2017-12-15,21
2017-12-16,32
2017-12-17,23
2017-12-18,34
2017-12-19,0
2017-12-20,7
2017-12-21,44
2017-12-22,8
2017-12-23,8
2017-12-24,0
2017-12-25,9
2017-12-26,8
2017-12-27,14
2017-12-28,22
2017-12-29,15
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,14
2018-01-04,7
2018-01-05,14
2018-01-06,23
2018-01-07,7
2018-01-08,20
2018-01-09,26
2018-01-10,13
2018-01-11,40
2018-01-12,21
2018-01-13,15
2018-01-14,23
2018-01-15,0
2018-01-16,13
2018-01-17,26
2018-01-18,20
2018-01-19,20
2018-01-20,15
2018-01-21,7
2018-01-22,6
2018-01-23,32
2018-01-24,52
2018-01-25,46
2018-01-26,34
2018-01-27,30
2018-01-28,7
2018-01-29,20
2018-01-30,26
2018-01-31,6
2018-02-01,7
2018-02-02,21
2018-02-03,30
2018-02-04,0
2018-02-05,7
2018-02-06,13
2018-02-07,51
2018-02-08,66
2018-02-09,41
2018-02-10,15
2018-02-11,7
2018-02-12,27
2018-02-13,20
