date,NTES stock
2016-05-04,16
2016-05-05,16
2016-05-06,16
2016-05-07,0
2016-05-08,0
2016-05-09,31
2016-05-10,15
2016-05-11,62
2016-05-12,55
2016-05-13,32
2016-05-14,0
2016-05-15,18
2016-05-16,31
2016-05-17,15
2016-05-18,15
2016-05-19,0
2016-05-20,24
2016-05-21,18
2016-05-22,0
2016-05-23,15
2016-05-24,0
2016-05-25,31
2016-05-26,25
2016-05-27,33
2016-05-28,18
2016-05-29,18
2016-05-30,0
2016-05-31,16
2016-06-01,16
2016-06-02,32
2016-06-03,16
2016-06-04,19
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,16
2016-06-10,0
2016-06-11,18
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,31
2016-06-16,0
2016-06-17,17
2016-06-18,19
2016-06-19,0
2016-06-20,24
2016-06-21,16
2016-06-22,0
2016-06-23,0
2016-06-24,50
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,16
2016-06-29,32
2016-06-30,32
2016-07-01,25
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,42
2016-07-06,17
2016-07-07,17
2016-07-08,35
2016-07-09,0
2016-07-10,19
2016-07-11,25
2016-07-12,17
2016-07-13,17
2016-07-14,0
2016-07-15,26
2016-07-16,57
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,34
2016-07-21,17
2016-07-22,17
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,33
2016-07-27,0
2016-07-28,17
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,16
2016-08-02,16
2016-08-03,0
2016-08-04,0
2016-08-05,18
2016-08-06,0
2016-08-07,0
2016-08-08,17
2016-08-09,17
2016-08-10,0
2016-08-11,17
2016-08-12,36
2016-08-13,20
2016-08-14,20
2016-08-15,72
2016-08-16,44
2016-08-17,53
2016-08-18,98
2016-08-19,46
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,34
2016-08-25,100
2016-08-26,34
2016-08-27,19
2016-08-28,0
2016-08-29,32
2016-08-30,49
2016-08-31,16
2016-09-01,41
2016-09-02,34
2016-09-03,29
2016-09-04,18
2016-09-05,0
2016-09-06,16
2016-09-07,16
2016-09-08,0
2016-09-09,0
2016-09-10,29
2016-09-11,19
2016-09-12,33
2016-09-13,97
2016-09-14,73
2016-09-15,16
2016-09-16,42
2016-09-17,0
2016-09-18,0
2016-09-19,48
2016-09-20,47
2016-09-21,56
2016-09-22,41
2016-09-23,51
2016-09-24,38
2016-09-25,37
2016-09-26,48
2016-09-27,39
2016-09-28,0
2016-09-29,32
2016-09-30,33
2016-10-01,0
2016-10-02,0
2016-10-03,16
2016-10-04,39
2016-10-05,48
2016-10-06,64
2016-10-07,0
2016-10-08,37
2016-10-09,0
2016-10-10,32
2016-10-11,32
2016-10-12,40
2016-10-13,47
2016-10-14,33
2016-10-15,0
2016-10-16,18
2016-10-17,15
2016-10-18,39
2016-10-19,31
2016-10-20,39
2016-10-21,49
2016-10-22,0
2016-10-23,18
2016-10-24,39
2016-10-25,23
2016-10-26,31
2016-10-27,16
2016-10-28,17
2016-10-29,0
2016-10-30,18
2016-10-31,16
2016-11-01,24
2016-11-02,16
2016-11-03,16
2016-11-04,33
2016-11-05,18
2016-11-06,35
2016-11-07,31
2016-11-08,23
2016-11-09,28
2016-11-10,64
2016-11-11,49
2016-11-12,18
2016-11-13,0
2016-11-14,39
2016-11-15,31
2016-11-16,31
2016-11-17,31
2016-11-18,49
2016-11-19,18
2016-11-20,17
2016-11-21,15
2016-11-22,15
2016-11-23,23
2016-11-24,16
2016-11-25,16
2016-11-26,0
2016-11-27,0
2016-11-28,29
2016-11-29,15
2016-11-30,52
2016-12-01,15
2016-12-02,39
2016-12-03,0
2016-12-04,0
2016-12-05,14
2016-12-06,29
2016-12-07,22
2016-12-08,23
2016-12-09,47
2016-12-10,17
2016-12-11,0
2016-12-12,44
2016-12-13,30
2016-12-14,30
2016-12-15,15
2016-12-16,32
2016-12-17,18
2016-12-18,35
2016-12-19,31
2016-12-20,39
2016-12-21,32
2016-12-22,16
2016-12-23,42
2016-12-24,29
2016-12-25,0
2016-12-26,17
2016-12-27,16
2016-12-28,24
2016-12-29,24
2016-12-30,34
2016-12-31,19
2017-01-01,19
2017-01-02,47
2017-01-03,15
2017-01-04,30
2017-01-05,31
2017-01-06,71
2017-01-07,25
2017-01-08,17
2017-01-09,59
2017-01-10,22
2017-01-11,44
2017-01-12,45
2017-01-13,15
2017-01-14,34
2017-01-15,33
2017-01-16,59
2017-01-17,15
2017-01-18,22
2017-01-19,44
