date,NTES stock
2017-10-06,23
2017-10-07,34
2017-10-08,13
2017-10-09,22
2017-10-10,11
2017-10-11,15
2017-10-12,23
2017-10-13,8
2017-10-14,17
2017-10-15,8
2017-10-16,7
2017-10-17,18
2017-10-18,18
2017-10-19,22
2017-10-20,23
2017-10-21,25
2017-10-22,49
2017-10-23,29
2017-10-24,43
2017-10-25,37
2017-10-26,15
2017-10-27,27
2017-10-28,34
2017-10-29,25
2017-10-30,26
2017-10-31,37
2017-11-01,19
2017-11-02,7
2017-11-03,30
2017-11-04,8
2017-11-05,0
2017-11-06,18
2017-11-07,36
2017-11-08,18
2017-11-09,14
2017-11-10,30
2017-11-11,45
2017-11-12,28
2017-11-13,39
2017-11-14,39
2017-11-15,64
2017-11-16,100
2017-11-17,100
2017-11-18,57
2017-11-19,24
2017-11-20,35
2017-11-21,54
2017-11-22,47
2017-11-23,15
2017-11-24,33
2017-11-25,24
2017-11-26,16
2017-11-27,28
2017-11-28,32
2017-11-29,32
2017-11-30,44
2017-12-01,22
2017-12-02,12
2017-12-03,8
2017-12-04,39
2017-12-05,21
2017-12-06,18
2017-12-07,14
2017-12-08,15
2017-12-09,13
2017-12-10,8
2017-12-11,28
2017-12-12,39
2017-12-13,18
2017-12-14,29
2017-12-15,30
2017-12-16,33
2017-12-17,29
2017-12-18,29
2017-12-19,18
2017-12-20,11
2017-12-21,31
2017-12-22,16
2017-12-23,9
2017-12-24,18
2017-12-25,0
2017-12-26,16
2017-12-27,15
2017-12-28,8
2017-12-29,20
2017-12-30,9
2017-12-31,0
2018-01-01,0
2018-01-02,19
2018-01-03,14
2018-01-04,25
2018-01-05,15
2018-01-06,12
2018-01-07,16
2018-01-08,28
2018-01-09,35
2018-01-10,28
2018-01-11,39
2018-01-12,11
2018-01-13,16
2018-01-14,24
2018-01-15,14
2018-01-16,17
2018-01-17,17
2018-01-18,24
2018-01-19,33
2018-01-20,20
2018-01-21,8
2018-01-22,27
2018-01-23,14
2018-01-24,21
2018-01-25,17
2018-01-26,33
2018-01-27,16
2018-01-28,8
2018-01-29,14
2018-01-30,24
2018-01-31,31
2018-02-01,17
2018-02-02,32
2018-02-03,16
2018-02-04,20
2018-02-05,14
2018-02-06,38
2018-02-07,55
2018-02-08,56
2018-02-09,36
2018-02-10,20
2018-02-11,12
2018-02-12,7
2018-02-13,25
2018-02-14,14
2018-02-15,28
2018-02-16,15
2018-02-17,24
2018-02-18,20
2018-02-19,10
2018-02-20,34
2018-02-21,17
2018-02-22,10
2018-02-23,25
2018-02-24,20
2018-02-25,12
2018-02-26,20
2018-02-27,20
2018-02-28,24
2018-03-01,17
2018-03-02,18
2018-03-03,20
2018-03-04,19
2018-03-05,23
2018-03-06,27
2018-03-07,24
2018-03-08,24
2018-03-09,32
2018-03-10,16
2018-03-11,31
2018-03-12,30
2018-03-13,31
2018-03-14,41
2018-03-15,28
2018-03-16,29
2018-03-17,16
2018-03-18,12
2018-03-19,21
2018-03-20,21
2018-03-21,27
2018-03-22,14
2018-03-23,14
2018-03-24,32
2018-03-25,8
2018-03-26,17
2018-03-27,42
2018-03-28,11
2018-03-29,7
2018-03-30,32
2018-03-31,17
2018-04-01,8
2018-04-02,15
2018-04-03,0
2018-04-04,7
2018-04-05,11
2018-04-06,15
2018-04-07,16
2018-04-08,8
2018-04-09,7
