date,MCHP stock
2017-10-06,17
2017-10-07,9
2017-10-08,0
2017-10-09,8
2017-10-10,8
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,16
2017-10-17,16
2017-10-18,16
2017-10-19,41
2017-10-20,8
2017-10-21,0
2017-10-22,0
2017-10-23,40
2017-10-24,8
2017-10-25,16
2017-10-26,0
2017-10-27,25
2017-10-28,9
2017-10-29,0
2017-10-30,32
2017-10-31,0
2017-11-01,24
2017-11-02,16
2017-11-03,33
2017-11-04,9
2017-11-05,0
2017-11-06,31
2017-11-07,100
2017-11-08,39
2017-11-09,39
2017-11-10,41
2017-11-11,0
2017-11-12,0
2017-11-13,23
2017-11-14,31
2017-11-15,23
2017-11-16,31
2017-11-17,16
2017-11-18,9
2017-11-19,0
2017-11-20,15
2017-11-21,38
2017-11-22,8
2017-11-23,8
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,15
2017-11-28,31
2017-11-29,15
2017-11-30,8
2017-12-01,32
2017-12-02,0
2017-12-03,0
2017-12-04,8
2017-12-05,62
2017-12-06,15
2017-12-07,31
2017-12-08,17
2017-12-09,0
2017-12-10,9
2017-12-11,8
2017-12-12,8
2017-12-13,8
2017-12-14,0
2017-12-15,8
2017-12-16,9
2017-12-17,0
2017-12-18,24
2017-12-19,40
2017-12-20,0
2017-12-21,8
2017-12-22,9
2017-12-23,0
2017-12-24,0
2017-12-25,30
2017-12-26,9
2017-12-27,8
2017-12-28,25
2017-12-29,9
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,16
2018-01-03,31
2018-01-04,8
2018-01-05,8
2018-01-06,9
2018-01-07,9
2018-01-08,31
2018-01-09,15
2018-01-10,15
2018-01-11,23
2018-01-12,8
2018-01-13,0
2018-01-14,9
2018-01-15,15
2018-01-16,8
2018-01-17,22
2018-01-18,7
2018-01-19,16
2018-01-20,9
2018-01-21,0
2018-01-22,45
2018-01-23,30
2018-01-24,30
2018-01-25,22
2018-01-26,31
2018-01-27,0
2018-01-28,9
2018-01-29,37
2018-01-30,15
2018-01-31,15
2018-02-01,22
2018-02-02,8
2018-02-03,9
2018-02-04,0
2018-02-05,7
2018-02-06,52
2018-02-07,22
2018-02-08,60
2018-02-09,63
2018-02-10,17
2018-02-11,0
2018-02-12,23
2018-02-13,15
2018-02-14,38
2018-02-15,0
2018-02-16,24
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,15
2018-02-21,7
2018-02-22,8
2018-02-23,31
2018-02-24,0
2018-02-25,0
2018-02-26,15
2018-02-27,37
2018-02-28,44
2018-03-01,37
2018-03-02,38
2018-03-03,17
2018-03-04,0
2018-03-05,14
2018-03-06,22
2018-03-07,15
2018-03-08,30
2018-03-09,31
2018-03-10,9
2018-03-11,0
2018-03-12,73
2018-03-13,22
2018-03-14,37
2018-03-15,22
2018-03-16,31
2018-03-17,9
2018-03-18,0
2018-03-19,23
2018-03-20,15
2018-03-21,15
2018-03-22,8
2018-03-23,31
2018-03-24,9
2018-03-25,0
2018-03-26,15
2018-03-27,15
2018-03-28,31
2018-03-29,32
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,16
2018-04-03,15
2018-04-04,15
2018-04-05,31
2018-04-06,16
2018-04-07,17
2018-04-08,9
2018-04-09,0
