date,MCHP stock
2018-02-13,48
2018-02-14,85
2018-02-15,72
2018-02-16,38
2018-02-17,14
2018-02-18,0
2018-02-19,35
2018-02-20,24
2018-02-21,24
2018-02-22,12
2018-02-23,12
2018-02-24,14
2018-02-25,53
2018-02-26,0
2018-02-27,82
2018-02-28,70
2018-03-01,35
2018-03-02,62
2018-03-03,27
2018-03-04,27
2018-03-05,58
2018-03-06,47
2018-03-07,35
2018-03-08,72
2018-03-09,100
2018-03-10,41
2018-03-11,0
2018-03-12,12
2018-03-13,23
2018-03-14,59
2018-03-15,36
2018-03-16,12
2018-03-17,27
2018-03-18,0
2018-03-19,24
2018-03-20,35
2018-03-21,58
2018-03-22,60
2018-03-23,62
2018-03-24,41
2018-03-25,14
2018-03-26,60
2018-03-27,84
2018-03-28,25
2018-03-29,25
2018-03-30,13
2018-03-31,14
2018-04-01,0
2018-04-02,25
2018-04-03,12
2018-04-04,12
2018-04-05,24
2018-04-06,12
2018-04-07,0
2018-04-08,0
2018-04-09,0
