date,Verisk Analytics,isPartial
2017-01-19,18,False
2017-01-20,0,False
2017-01-21,0,False
2017-01-22,0,False
2017-01-23,18,False
2017-01-24,36,False
2017-01-25,36,False
2017-01-26,18,False
2017-01-27,38,False
2017-01-28,21,False
2017-01-29,0,False
2017-01-30,0,False
2017-01-31,0,False
2017-02-01,36,False
2017-02-02,18,False
2017-02-03,38,False
2017-02-04,41,False
2017-02-05,0,False
2017-02-06,36,False
2017-02-07,53,False
2017-02-08,18,False
2017-02-09,55,False
2017-02-10,0,False
2017-02-11,21,False
2017-02-12,21,False
2017-02-13,18,False
2017-02-14,36,False
2017-02-15,18,False
2017-02-16,18,False
2017-02-17,55,False
2017-02-18,21,False
2017-02-19,42,False
2017-02-20,0,False
2017-02-21,35,False
2017-02-22,36,False
2017-02-23,0,False
2017-02-24,19,False
2017-02-25,0,False
2017-02-26,0,False
2017-02-27,53,False
2017-02-28,0,False
2017-03-01,0,False
2017-03-02,18,False
2017-03-03,74,False
2017-03-04,20,False
2017-03-05,0,False
2017-03-06,35,False
2017-03-07,17,False
2017-03-08,36,False
2017-03-09,53,False
2017-03-10,18,False
2017-03-11,21,False
2017-03-12,0,False
2017-03-13,17,False
2017-03-14,0,False
2017-03-15,54,False
2017-03-16,18,False
2017-03-17,38,False
2017-03-18,21,False
2017-03-19,0,False
2017-03-20,18,False
2017-03-21,36,False
2017-03-22,54,False
2017-03-23,36,False
2017-03-24,38,False
2017-03-25,0,False
2017-03-26,0,False
2017-03-27,36,False
2017-03-28,0,False
2017-03-29,36,False
2017-03-30,0,False
2017-03-31,19,False
2017-04-01,21,False
2017-04-02,42,False
2017-04-03,36,False
2017-04-04,36,False
2017-04-05,0,False
2017-04-06,37,False
2017-04-07,0,False
2017-04-08,21,False
2017-04-09,21,False
2017-04-10,18,False
2017-04-11,37,False
2017-04-12,55,False
2017-04-13,57,False
2017-04-14,0,False
2017-04-15,43,False
2017-04-16,0,False
2017-04-17,19,False
2017-04-18,18,False
2017-04-19,18,False
2017-04-20,36,False
2017-04-21,19,False
2017-04-22,21,False
2017-04-23,0,False
