date,Baidu,isPartial
2011-01-01,100,False
2011-01-02,81,False
2011-01-03,61,False
2011-01-04,57,False
2011-01-05,56,False
2011-01-06,56,False
2011-01-07,58,False
2011-01-08,71,False
2011-01-09,64,False
2011-01-10,50,False
2011-01-11,55,False
2011-01-12,55,False
2011-01-13,54,False
2011-01-14,61,False
2011-01-15,75,False
2011-01-16,68,False
2011-01-17,56,False
2011-01-18,55,False
2011-01-19,56,False
2011-01-20,62,False
2011-01-21,62,False
2011-01-22,71,False
2011-01-23,70,False
2011-01-24,58,False
2011-01-25,61,False
2011-01-26,58,False
2011-01-27,58,False
2011-01-28,59,False
2011-01-29,69,False
2011-01-30,77,False
2011-01-31,59,False
2011-02-01,67,False
2011-02-02,60,False
2011-02-03,60,False
2011-02-04,60,False
2011-02-05,71,False
2011-02-06,74,False
2011-02-07,60,False
2011-02-08,55,False
2011-02-09,57,False
2011-02-10,59,False
2011-02-11,61,False
2011-02-12,70,False
2011-02-13,70,False
2011-02-14,54,False
2011-02-15,55,False
2011-02-16,59,False
2011-02-17,58,False
2011-02-18,60,False
2011-02-19,65,False
2011-02-20,63,False
2011-02-21,53,False
2011-02-22,50,False
2011-02-23,55,False
2011-02-24,52,False
2011-02-25,59,False
2011-02-26,74,False
2011-02-27,69,False
2011-02-28,53,False
2011-03-01,60,False
2011-03-02,55,False
2011-03-03,54,False
2011-03-04,61,False
2011-03-05,76,False
2011-03-06,67,False
2011-03-07,52,False
2011-03-08,52,False
2011-03-09,49,False
2011-03-10,50,False
2011-03-11,55,False
2011-03-12,68,False
2011-03-13,65,False
2011-03-14,56,False
2011-03-15,50,False
2011-03-16,51,False
2011-03-17,49,False
2011-03-18,57,False
2011-03-19,74,False
2011-03-20,62,False
2011-03-21,50,False
2011-03-22,52,False
2011-03-23,50,False
2011-03-24,47,False
2011-03-25,56,False
2011-03-26,75,False
2011-03-27,70,False
2011-03-28,49,False
2011-03-29,47,False
2011-03-30,51,False
2011-03-31,48,False
2011-04-01,53,False
2011-04-02,70,False
2011-04-03,62,False
2011-04-04,53,False
2011-04-05,52,False
2011-04-06,51,False
2011-04-07,51,False
2011-04-08,57,False
2011-04-09,68,False
2011-04-10,63,False
2011-04-11,47,False
2011-04-12,46,False
2011-04-13,46,False
2011-04-14,49,False
2011-04-15,55,False
2011-04-16,64,False
2011-04-17,63,False
2011-04-18,46,False
2011-04-19,48,False
2011-04-20,49,False
2011-04-21,49,False
2011-04-22,59,False
2011-04-23,69,False
2011-04-24,63,False
2011-04-25,50,False
2011-04-26,46,False
2011-04-27,46,False
2011-04-28,45,False
2011-04-29,56,False
2011-04-30,67,False
2011-05-01,65,False
2011-05-02,49,False
2011-05-03,50,False
2011-05-04,45,False
2011-05-05,47,False
2011-05-06,50,False
2011-05-07,63,False
2011-05-08,61,False
2011-05-09,46,False
2011-05-10,47,False
2011-05-11,44,False
2011-05-12,47,False
2011-05-13,49,False
2011-05-14,63,False
2011-05-15,60,False
2011-05-16,47,False
2011-05-17,47,False
2011-05-18,44,False
2011-05-19,45,False
2011-05-20,54,False
2011-05-21,65,False
2011-05-22,59,False
2011-05-23,44,False
2011-05-24,45,False
2011-05-25,43,False
2011-05-26,46,False
2011-05-27,50,False
2011-05-28,65,False
2011-05-29,61,False
2011-05-30,48,False
2011-05-31,46,False
2011-06-01,45,False
2011-06-02,48,False
2011-06-03,57,False
2011-06-04,62,False
2011-06-05,57,False
2011-06-06,48,False
2011-06-07,48,False
2011-06-08,46,False
2011-06-09,44,False
2011-06-10,53,False
2011-06-11,65,False
2011-06-12,64,False
2011-06-13,47,False
2011-06-14,44,False
2011-06-15,47,False
2011-06-16,45,False
2011-06-17,53,False
2011-06-18,66,False
2011-06-19,57,False
2011-06-20,49,False
2011-06-21,49,False
2011-06-22,46,False
2011-06-23,50,False
2011-06-24,56,False
2011-06-25,65,False
2011-06-26,61,False
2011-06-27,50,False
2011-06-28,51,False
2011-06-29,48,False
2011-06-30,55,False
2011-07-01,52,False
2011-07-02,61,False
2011-07-03,63,False
2011-07-04,53,False
2011-07-05,52,False
2011-07-06,52,False
2011-07-07,55,False
2011-07-08,54,False
2011-07-09,62,False
2011-07-10,68,False
2011-07-11,56,False
2011-07-12,53,False
2011-07-13,52,False
2011-07-14,51,False
2011-07-15,59,False
2011-07-16,62,False
2011-07-17,63,False
2011-07-18,51,False
2011-07-19,49,False
2011-07-20,52,False
2011-07-21,53,False
2011-07-22,54,False
2011-07-23,67,False
2011-07-24,65,False
2011-07-25,52,False
2011-07-26,52,False
2011-07-27,50,False
2011-07-28,51,False
2011-07-29,56,False
2011-07-30,64,False
2011-07-31,58,False
2011-08-01,54,False
2011-08-02,54,False
2011-08-03,53,False
2011-08-04,49,False
2011-08-05,55,False
2011-08-06,61,False
2011-08-07,61,False
2011-08-08,49,False
2011-08-09,52,False
2011-08-10,51,False
2011-08-11,50,False
2011-08-12,55,False
2011-08-13,63,False
2011-08-14,60,False
2011-08-15,54,False
2011-08-16,53,False
2011-08-17,51,False
2011-08-18,59,False
2011-08-19,59,False
2011-08-20,68,False
2011-08-21,63,False
2011-08-22,57,False
2011-08-23,52,False
2011-08-24,55,False
2011-08-25,56,False
2011-08-26,62,False
2011-08-27,69,False
2011-08-28,63,False
2011-08-29,58,False
2011-08-30,58,False
2011-08-31,55,False
2011-09-01,56,False
2011-09-02,61,False
2011-09-03,69,False
2011-09-04,68,False
2011-09-05,55,False
2011-09-06,53,False
2011-09-07,51,False
2011-09-08,49,False
2011-09-09,56,False
2011-09-10,63,False
2011-09-11,65,False
2011-09-12,48,False
2011-09-13,48,False
2011-09-14,49,False
2011-09-15,48,False
2011-09-16,52,False
2011-09-17,66,False
2011-09-18,60,False
