date,HOLX stock
2015-12-26,0
2015-12-27,55
2015-12-28,0
2015-12-29,0
2015-12-30,49
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,95
2016-01-05,47
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-10,51
2016-01-11,0
2016-01-12,46
2016-01-13,47
2016-01-14,46
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,46
2016-01-20,47
2016-01-21,0
2016-01-22,49
2016-01-23,54
2016-01-24,0
2016-01-25,92
2016-01-26,46
2016-01-27,46
2016-01-28,47
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,92
2016-02-02,92
2016-02-03,69
2016-02-04,47
2016-02-05,48
2016-02-06,55
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,45
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,48
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,45
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,46
2016-03-15,0
2016-03-16,0
2016-03-17,46
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,47
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,96
2016-03-29,91
2016-03-30,46
2016-03-31,0
2016-04-01,0
2016-04-02,52
2016-04-03,0
2016-04-04,46
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,93
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,46
2016-04-20,0
2016-04-21,0
2016-04-22,48
2016-04-23,0
2016-04-24,52
2016-04-25,0
2016-04-26,90
2016-04-27,46
2016-04-28,70
2016-04-29,0
2016-04-30,55
2016-05-01,0
2016-05-02,47
2016-05-03,0
2016-05-04,47
2016-05-05,0
2016-05-06,49
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,46
2016-05-11,0
2016-05-12,0
2016-05-13,48
2016-05-14,0
2016-05-15,0
2016-05-16,46
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,69
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,55
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,47
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,46
2016-06-15,47
2016-06-16,46
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,46
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,48
2016-07-01,50
2016-07-02,57
2016-07-03,0
2016-07-04,0
2016-07-05,100
2016-07-06,0
2016-07-07,51
2016-07-08,0
2016-07-09,58
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,49
2016-07-19,0
2016-07-20,49
2016-07-21,0
2016-07-22,0
2016-07-23,58
2016-07-24,0
2016-07-25,0
2016-07-26,49
2016-07-27,0
2016-07-28,99
2016-07-29,0
2016-07-30,58
2016-07-31,0
2016-08-01,0
2016-08-02,49
2016-08-03,49
2016-08-04,0
2016-08-05,53
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,53
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,51
2016-08-24,50
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,48
2016-08-30,0
2016-08-31,0
2016-09-01,49
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,56
