date,HOLX stock
2018-02-13,88
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,87
2018-02-21,87
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,86
2018-02-28,86
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,100
2018-03-11,0
2018-03-12,86
2018-03-13,0
2018-03-14,0
2018-03-15,88
2018-03-16,90
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,0
2018-03-21,86
2018-03-22,89
2018-03-23,91
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,89
2018-03-28,0
2018-03-29,94
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,93
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
