date,HOLX stock
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,34
2017-10-10,34
2017-10-11,34
2017-10-12,0
2017-10-13,36
2017-10-14,0
2017-10-15,0
2017-10-16,34
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,36
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,34
2017-10-25,34
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,35
2017-11-01,35
2017-11-02,0
2017-11-03,35
2017-11-04,0
2017-11-05,0
2017-11-06,33
2017-11-07,0
2017-11-08,34
2017-11-09,33
2017-11-10,35
2017-11-11,0
2017-11-12,0
2017-11-13,33
2017-11-14,0
2017-11-15,33
2017-11-16,0
2017-11-17,0
2017-11-18,77
2017-11-19,0
2017-11-20,0
2017-11-21,33
2017-11-22,33
2017-11-23,0
2017-11-24,35
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,33
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,33
2017-12-07,0
2017-12-08,0
2017-12-09,78
2017-12-10,0
2017-12-11,97
2017-12-12,0
2017-12-13,33
2017-12-14,68
2017-12-15,0
2017-12-16,39
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,41
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,68
2018-01-06,0
2018-01-07,0
2018-01-08,33
2018-01-09,32
2018-01-10,0
2018-01-11,0
2018-01-12,34
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,32
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,64
2018-01-30,32
2018-01-31,0
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,32
2018-02-06,0
2018-02-07,0
2018-02-08,65
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,0
2018-02-13,33
2018-02-14,0
2018-02-15,33
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,100
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,32
2018-02-28,0
2018-03-01,32
2018-03-02,33
2018-03-03,0
2018-03-04,0
2018-03-05,31
2018-03-06,0
2018-03-07,32
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,31
2018-03-13,63
2018-03-14,0
2018-03-15,64
2018-03-16,33
2018-03-17,0
2018-03-18,0
2018-03-19,32
2018-03-20,32
2018-03-21,32
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,37
2018-03-26,65
2018-03-27,33
2018-03-28,0
2018-03-29,34
2018-03-30,37
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
