date,INTU stock
2015-04-10,43
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,43
2015-04-18,48
2015-04-19,0
2015-04-20,0
2015-04-21,41
2015-04-22,82
2015-04-23,41
2015-04-24,43
2015-04-25,0
2015-04-26,0
2015-04-27,60
2015-04-28,0
2015-04-29,0
2015-04-30,84
2015-05-01,0
2015-05-02,48
2015-05-03,0
2015-05-04,41
2015-05-05,81
2015-05-06,0
2015-05-07,0
2015-05-08,0
2015-05-09,49
2015-05-10,49
2015-05-11,41
2015-05-12,0
2015-05-13,0
2015-05-14,42
2015-05-15,0
2015-05-16,48
2015-05-17,0
2015-05-18,0
2015-05-19,40
2015-05-20,40
2015-05-21,41
2015-05-22,43
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,40
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,42
2015-06-05,43
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,41
2015-06-11,0
2015-06-12,42
2015-06-13,0
2015-06-14,48
2015-06-15,0
2015-06-16,60
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,49
2015-06-22,0
2015-06-23,0
2015-06-24,40
2015-06-25,41
2015-06-26,42
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,40
2015-07-01,41
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,79
2015-07-07,40
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,41
2015-07-15,41
2015-07-16,41
2015-07-17,43
2015-07-18,53
2015-07-19,0
2015-07-20,43
2015-07-21,0
2015-07-22,0
2015-07-23,41
2015-07-24,42
2015-07-25,0
2015-07-26,0
2015-07-27,40
2015-07-28,40
2015-07-29,0
2015-07-30,41
2015-07-31,0
2015-08-01,0
2015-08-02,49
2015-08-03,82
2015-08-04,0
2015-08-05,82
2015-08-06,41
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,40
2015-08-12,0
2015-08-13,0
2015-08-14,42
2015-08-15,48
2015-08-16,0
2015-08-17,40
2015-08-18,0
2015-08-19,0
2015-08-20,40
2015-08-21,83
2015-08-22,48
2015-08-23,47
2015-08-24,97
2015-08-25,59
2015-08-26,40
2015-08-27,100
2015-08-28,83
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,39
2015-09-02,39
2015-09-03,80
2015-09-04,0
2015-09-05,47
2015-09-06,0
2015-09-07,0
2015-09-08,39
2015-09-09,39
2015-09-10,39
2015-09-11,0
2015-09-12,0
2015-09-13,45
2015-09-14,38
2015-09-15,77
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,76
2015-09-22,38
2015-09-23,39
2015-09-24,0
2015-09-25,41
2015-09-26,0
2015-09-27,0
2015-09-28,37
2015-09-29,38
2015-09-30,57
2015-10-01,0
2015-10-02,40
2015-10-03,0
2015-10-04,0
2015-10-05,38
2015-10-06,0
2015-10-07,0
2015-10-08,38
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,39
2015-10-13,56
2015-10-14,0
2015-10-15,0
2015-10-16,79
2015-10-17,44
2015-10-18,0
2015-10-19,38
2015-10-20,37
2015-10-21,37
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,43
2015-10-26,0
2015-10-27,75
2015-10-28,0
2015-10-29,0
2015-10-30,40
2015-10-31,0
2015-11-01,45
2015-11-02,0
2015-11-03,38
2015-11-04,37
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,37
2015-11-10,0
2015-11-11,77
2015-11-12,39
2015-11-13,0
2015-11-14,43
2015-11-15,0
2015-11-16,37
2015-11-17,0
2015-11-18,38
2015-11-19,38
2015-11-20,39
2015-11-21,0
2015-11-22,0
2015-11-23,37
2015-11-24,0
2015-11-25,0
2015-11-26,39
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,37
2015-12-01,0
2015-12-02,74
2015-12-03,0
2015-12-04,0
2015-12-05,45
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,40
2015-12-18,42
2015-12-19,0
2015-12-20,46
2015-12-21,40
2015-12-22,0
2015-12-23,43
2015-12-24,48
2015-12-25,0
2015-12-26,0
