date,INTU stock
2017-10-06,20
2017-10-07,0
2017-10-08,22
2017-10-09,19
2017-10-10,0
2017-10-11,19
2017-10-12,0
2017-10-13,30
2017-10-14,22
2017-10-15,0
2017-10-16,19
2017-10-17,58
2017-10-18,0
2017-10-19,39
2017-10-20,41
2017-10-21,22
2017-10-22,0
2017-10-23,48
2017-10-24,28
2017-10-25,19
2017-10-26,38
2017-10-27,40
2017-10-28,0
2017-10-29,22
2017-10-30,19
2017-10-31,39
2017-11-01,29
2017-11-02,0
2017-11-03,20
2017-11-04,0
2017-11-05,0
2017-11-06,37
2017-11-07,37
2017-11-08,19
2017-11-09,19
2017-11-10,29
2017-11-11,22
2017-11-12,64
2017-11-13,19
2017-11-14,19
2017-11-15,19
2017-11-16,37
2017-11-17,29
2017-11-18,21
2017-11-19,0
2017-11-20,65
2017-11-21,84
2017-11-22,76
2017-11-23,39
2017-11-24,29
2017-11-25,21
2017-11-26,21
2017-11-27,0
2017-11-28,37
2017-11-29,37
2017-11-30,29
2017-12-01,39
2017-12-02,33
2017-12-03,21
2017-12-04,28
2017-12-05,28
2017-12-06,65
2017-12-07,29
2017-12-08,20
2017-12-09,22
2017-12-10,0
2017-12-11,37
2017-12-12,19
2017-12-13,38
2017-12-14,19
2017-12-15,20
2017-12-16,22
2017-12-17,0
2017-12-18,38
2017-12-19,19
2017-12-20,59
2017-12-21,30
2017-12-22,43
2017-12-23,23
2017-12-24,24
2017-12-25,0
2017-12-26,42
2017-12-27,0
2017-12-28,20
2017-12-29,21
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,20
2018-01-03,38
2018-01-04,19
2018-01-05,58
2018-01-06,0
2018-01-07,21
2018-01-08,37
2018-01-09,18
2018-01-10,18
2018-01-11,28
2018-01-12,19
2018-01-13,0
2018-01-14,0
2018-01-15,18
2018-01-16,18
2018-01-17,18
2018-01-18,0
2018-01-19,57
2018-01-20,0
2018-01-21,0
2018-01-22,36
2018-01-23,18
2018-01-24,36
2018-01-25,36
2018-01-26,0
2018-01-27,21
2018-01-28,21
2018-01-29,18
2018-01-30,36
2018-01-31,27
2018-02-01,36
2018-02-02,28
2018-02-03,21
2018-02-04,21
2018-02-05,27
2018-02-06,36
2018-02-07,18
2018-02-08,36
2018-02-09,19
2018-02-10,0
2018-02-11,21
2018-02-12,37
2018-02-13,37
2018-02-14,37
2018-02-15,19
2018-02-16,38
2018-02-17,0
2018-02-18,21
2018-02-19,37
2018-02-20,0
2018-02-21,36
2018-02-22,100
2018-02-23,47
2018-02-24,21
2018-02-25,20
2018-02-26,18
2018-02-27,18
2018-02-28,36
2018-03-01,44
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,71
2018-03-07,0
2018-03-08,18
2018-03-09,38
2018-03-10,21
2018-03-11,0
2018-03-12,26
2018-03-13,27
2018-03-14,0
2018-03-15,18
2018-03-16,28
2018-03-17,21
2018-03-18,0
2018-03-19,27
2018-03-20,36
2018-03-21,36
2018-03-22,55
2018-03-23,37
2018-03-24,0
2018-03-25,0
2018-03-26,18
2018-03-27,18
2018-03-28,19
2018-03-29,19
2018-03-30,21
2018-03-31,0
2018-04-01,0
2018-04-02,19
2018-04-03,0
2018-04-04,18
2018-04-05,28
2018-04-06,19
2018-04-07,0
2018-04-08,0
2018-04-09,36
