date,INTU stock
2017-05-29,44
2017-05-30,21
2017-05-31,42
2017-06-01,44
2017-06-02,45
2017-06-03,50
2017-06-04,0
2017-06-05,64
2017-06-06,21
2017-06-07,21
2017-06-08,21
2017-06-09,66
2017-06-10,51
2017-06-11,0
2017-06-12,21
2017-06-13,41
2017-06-14,42
2017-06-15,22
2017-06-16,0
2017-06-17,52
2017-06-18,0
2017-06-19,21
2017-06-20,41
2017-06-21,20
2017-06-22,21
2017-06-23,43
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,66
2017-06-30,45
2017-07-01,0
2017-07-02,0
2017-07-03,22
2017-07-04,0
2017-07-05,22
2017-07-06,22
2017-07-07,23
2017-07-08,0
2017-07-09,0
2017-07-10,22
2017-07-11,0
2017-07-12,0
2017-07-13,22
2017-07-14,22
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,0
2017-07-19,22
2017-07-20,22
2017-07-21,23
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,21
2017-07-27,32
2017-07-28,0
2017-07-29,0
2017-07-30,0
2017-07-31,0
2017-08-01,41
2017-08-02,0
2017-08-03,21
2017-08-04,22
2017-08-05,0
2017-08-06,0
2017-08-07,21
2017-08-08,0
2017-08-09,21
2017-08-10,21
2017-08-11,22
2017-08-12,24
2017-08-13,0
2017-08-14,0
2017-08-15,43
2017-08-16,42
2017-08-17,42
2017-08-18,43
2017-08-19,24
2017-08-20,0
2017-08-21,0
2017-08-22,63
2017-08-23,73
2017-08-24,64
2017-08-25,100
2017-08-26,37
2017-08-27,24
2017-08-28,42
2017-08-29,21
2017-08-30,31
2017-08-31,21
2017-09-01,44
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,41
2017-09-06,20
2017-09-07,21
2017-09-08,21
2017-09-09,24
2017-09-10,0
2017-09-11,0
2017-09-12,20
2017-09-13,40
2017-09-14,0
2017-09-15,21
2017-09-16,24
2017-09-17,0
2017-09-18,31
2017-09-19,20
2017-09-20,21
2017-09-21,20
2017-09-22,22
2017-09-23,24
2017-09-24,23
2017-09-25,40
2017-09-26,41
2017-09-27,20
2017-09-28,21
2017-09-29,65
2017-09-30,0
2017-10-01,0
2017-10-02,20
2017-10-03,0
2017-10-04,20
2017-10-05,20
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,42
2017-10-14,24
2017-10-15,0
2017-10-16,41
2017-10-17,0
2017-10-18,20
2017-10-19,21
2017-10-20,43
2017-10-21,24
2017-10-22,0
2017-10-23,20
2017-10-24,20
2017-10-25,50
2017-10-26,40
2017-10-27,31
2017-10-28,23
2017-10-29,23
2017-10-30,40
2017-10-31,20
2017-11-01,42
2017-11-02,41
2017-11-03,21
2017-11-04,0
2017-11-05,22
2017-11-06,20
2017-11-07,39
2017-11-08,40
2017-11-09,20
2017-11-10,21
2017-11-11,23
2017-11-12,45
2017-11-13,20
2017-11-14,59
2017-11-15,29
2017-11-16,79
2017-11-17,31
2017-11-18,23
2017-11-19,22
2017-11-20,59
2017-11-21,69
2017-11-22,99
2017-11-23,20
2017-11-24,31
2017-11-25,0
2017-11-26,22
2017-11-27,0
2017-11-28,39
2017-11-29,49
2017-11-30,20
2017-12-01,72
2017-12-02,45
2017-12-03,22
2017-12-04,39
2017-12-05,39
2017-12-06,39
2017-12-07,40
2017-12-08,21
2017-12-09,23
2017-12-10,0
2017-12-11,19
2017-12-12,20
2017-12-13,39
2017-12-14,20
2017-12-15,31
2017-12-16,23
2017-12-17,0
2017-12-18,30
2017-12-19,31
2017-12-20,31
2017-12-21,53
2017-12-22,0
2017-12-23,0
2017-12-24,25
2017-12-25,0
2017-12-26,22
2017-12-27,0
2017-12-28,0
2017-12-29,22
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,62
2018-01-03,40
2018-01-04,20
2018-01-05,61
2018-01-06,0
2018-01-07,22
2018-01-08,29
2018-01-09,19
2018-01-10,19
2018-01-11,29
2018-01-12,40
2018-01-13,0
2018-01-14,0
2018-01-15,19
2018-01-16,19
2018-01-17,38
2018-01-18,19
2018-01-19,20
2018-01-20,0
2018-01-21,0
2018-01-22,38
2018-01-23,28
2018-01-24,19
2018-01-25,38
2018-01-26,20
2018-01-27,22
2018-01-28,22
2018-01-29,19
2018-01-30,19
2018-01-31,47
2018-02-01,58
2018-02-02,40
2018-02-03,0
2018-02-04,43
2018-02-05,28
2018-02-06,57
2018-02-07,19
2018-02-08,19
2018-02-09,20
2018-02-10,22
2018-02-11,0
2018-02-12,0
2018-02-13,0
