date,INTU stock
2018-02-13,24
2018-02-14,74
2018-02-15,0
2018-02-16,25
2018-02-17,0
2018-02-18,0
2018-02-19,24
2018-02-20,48
2018-02-21,48
2018-02-22,72
2018-02-23,50
2018-02-24,0
2018-02-25,27
2018-02-26,0
2018-02-27,24
2018-02-28,71
2018-03-01,23
2018-03-02,50
2018-03-03,0
2018-03-04,0
2018-03-05,47
2018-03-06,47
2018-03-07,24
2018-03-08,24
2018-03-09,51
2018-03-10,0
2018-03-11,0
2018-03-12,47
2018-03-13,0
2018-03-14,24
2018-03-15,48
2018-03-16,25
2018-03-17,0
2018-03-18,27
2018-03-19,0
2018-03-20,0
2018-03-21,24
2018-03-22,49
2018-03-23,100
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,49
2018-03-28,0
2018-03-29,0
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,51
2018-04-03,0
2018-04-04,24
2018-04-05,25
2018-04-06,51
2018-04-07,0
2018-04-08,0
2018-04-09,0
