date,Skyworks,isPartial
2015-08-18,18,False
2015-08-19,16,False
2015-08-20,16,False
2015-08-21,16,False
2015-08-22,5,False
2015-08-23,4,False
2015-08-24,17,False
2015-08-25,15,False
2015-08-26,14,False
2015-08-27,9,False
2015-08-28,6,False
2015-08-29,6,False
2015-08-30,4,False
2015-08-31,11,False
2015-09-01,11,False
2015-09-02,11,False
2015-09-03,9,False
2015-09-04,6,False
2015-09-05,2,False
2015-09-06,4,False
2015-09-07,8,False
2015-09-08,11,False
2015-09-09,12,False
2015-09-10,10,False
2015-09-11,12,False
2015-09-12,8,False
2015-09-13,6,False
2015-09-14,9,False
2015-09-15,9,False
2015-09-16,11,False
2015-09-17,9,False
2015-09-18,10,False
2015-09-19,4,False
2015-09-20,4,False
2015-09-21,8,False
2015-09-22,9,False
2015-09-23,12,False
2015-09-24,9,False
2015-09-25,10,False
2015-09-26,4,False
2015-09-27,6,False
2015-09-28,11,False
2015-09-29,10,False
2015-09-30,10,False
2015-10-01,9,False
2015-10-02,10,False
2015-10-03,6,False
2015-10-04,5,False
2015-10-05,7,False
2015-10-06,40,False
2015-10-07,24,False
2015-10-08,15,False
2015-10-09,11,False
2015-10-10,10,False
2015-10-11,7,False
2015-10-12,13,False
2015-10-13,11,False
2015-10-14,15,False
2015-10-15,9,False
2015-10-16,11,False
2015-10-17,5,False
2015-10-18,5,False
2015-10-19,13,False
2015-10-20,13,False
2015-10-21,8,False
2015-10-22,14,False
2015-10-23,11,False
2015-10-24,3,False
2015-10-25,5,False
2015-10-26,13,False
2015-10-27,15,False
2015-10-28,12,False
2015-10-29,13,False
2015-10-30,13,False
2015-10-31,4,False
2015-11-01,8,False
2015-11-02,11,False
2015-11-03,13,False
2015-11-04,12,False
2015-11-05,14,False
2015-11-06,19,False
2015-11-07,7,False
2015-11-08,6,False
2015-11-09,12,False
2015-11-10,10,False
2015-11-11,9,False
2015-11-12,10,False
2015-11-13,7,False
2015-11-14,6,False
2015-11-15,3,False
2015-11-16,9,False
2015-11-17,13,False
2015-11-18,9,False
2015-11-19,15,False
2015-11-20,12,False
2015-11-21,2,False
2015-11-22,2,False
2015-11-23,10,False
2015-11-24,14,False
2015-11-25,11,False
2015-11-26,6,False
2015-11-27,4,False
2015-11-28,3,False
2015-11-29,5,False
2015-11-30,9,False
2015-12-01,10,False
2015-12-02,10,False
2015-12-03,12,False
2015-12-04,8,False
2015-12-05,4,False
2015-12-06,5,False
2015-12-07,10,False
2015-12-08,10,False
2015-12-09,11,False
2015-12-10,11,False
2015-12-11,11,False
2015-12-12,2,False
2015-12-13,4,False
2015-12-14,9,False
2015-12-15,10,False
2015-12-16,11,False
2015-12-17,6,False
2015-12-18,8,False
2015-12-19,3,False
2015-12-20,4,False
2015-12-21,5,False
2015-12-22,7,False
2015-12-23,9,False
2015-12-24,9,False
2015-12-25,3,False
2015-12-26,2,False
2015-12-27,6,False
2015-12-28,7,False
2015-12-29,6,False
2015-12-30,9,False
2015-12-31,5,False
2016-01-01,6,False
2016-01-02,7,False
2016-01-03,4,False
2016-01-04,9,False
2016-01-05,12,False
2016-01-06,10,False
2016-01-07,14,False
2016-01-08,10,False
2016-01-09,4,False
2016-01-10,3,False
2016-01-11,7,False
2016-01-12,12,False
2016-01-13,8,False
2016-01-14,10,False
2016-01-15,10,False
2016-01-16,4,False
2016-01-17,4,False
2016-01-18,11,False
2016-01-19,9,False
2016-01-20,15,False
2016-01-21,12,False
2016-01-22,9,False
2016-01-23,8,False
2016-01-24,11,False
2016-01-25,18,False
2016-01-26,100,False
2016-01-27,16,False
2016-01-28,15,False
2016-01-29,16,False
2016-01-30,2,False
2016-01-31,3,False
2016-02-01,9,False
2016-02-02,9,False
2016-02-03,8,False
2016-02-04,10,False
2016-02-05,7,False
2016-02-06,2,False
2016-02-07,4,False
2016-02-08,5,False
2016-02-09,10,False
2016-02-10,13,False
2016-02-11,11,False
2016-02-12,10,False
2016-02-13,3,False
2016-02-14,2,False
2016-02-15,6,False
2016-02-16,9,False
2016-02-17,11,False
2016-02-18,11,False
2016-02-19,7,False
2016-02-20,5,False
2016-02-21,4,False
2016-02-22,9,False
2016-02-23,16,False
2016-02-24,9,False
2016-02-25,9,False
2016-02-26,9,False
2016-02-27,4,False
2016-02-28,3,False
2016-02-29,7,False
2016-03-01,9,False
2016-03-02,10,False
2016-03-03,12,False
2016-03-04,10,False
2016-03-05,3,False
2016-03-06,4,False
2016-03-07,7,False
2016-03-08,7,False
2016-03-09,11,False
2016-03-10,7,False
2016-03-11,7,False
2016-03-12,4,False
2016-03-13,2,False
2016-03-14,6,False
2016-03-15,9,False
2016-03-16,7,False
2016-03-17,8,False
2016-03-18,5,False
2016-03-19,5,False
2016-03-20,6,False
2016-03-21,10,False
2016-03-22,8,False
2016-03-23,9,False
2016-03-24,7,False
2016-03-25,7,False
2016-03-26,2,False
2016-03-27,2,False
2016-03-28,7,False
2016-03-29,11,False
2016-03-30,9,False
2016-03-31,12,False
2016-04-01,6,False
2016-04-02,6,False
2016-04-03,4,False
2016-04-04,8,False
2016-04-05,9,False
2016-04-06,10,False
2016-04-07,11,False
2016-04-08,5,False
2016-04-09,6,False
2016-04-10,6,False
2016-04-11,9,False
2016-04-12,10,False
2016-04-13,10,False
2016-04-14,8,False
2016-04-15,8,False
2016-04-16,6,False
2016-04-17,4,False
2016-04-18,6,False
2016-04-19,7,False
2016-04-20,8,False
2016-04-21,11,False
2016-04-22,10,False
2016-04-23,4,False
2016-04-24,3,False
2016-04-25,7,False
2016-04-26,7,False
2016-04-27,9,False
2016-04-28,13,False
2016-04-29,13,False
2016-04-30,5,False
2016-05-01,4,False
2016-05-02,8,False
2016-05-03,9,False
2016-05-04,11,False
