date,Skyworks,isPartial
2010-08-24,10,False
2010-08-25,8,False
2010-08-26,4,False
2010-08-27,4,False
2010-08-28,0,False
2010-08-29,8,False
2010-08-30,2,False
2010-08-31,6,False
2010-09-01,12,False
2010-09-02,2,False
2010-09-03,4,False
2010-09-04,3,False
2010-09-05,8,False
2010-09-06,4,False
2010-09-07,4,False
2010-09-08,10,False
2010-09-09,2,False
2010-09-10,6,False
2010-09-11,0,False
2010-09-12,2,False
2010-09-13,9,False
2010-09-14,17,False
2010-09-15,4,False
2010-09-16,6,False
2010-09-17,10,False
2010-09-18,7,False
2010-09-19,2,False
2010-09-20,9,False
2010-09-21,6,False
2010-09-22,4,False
2010-09-23,2,False
2010-09-24,2,False
2010-09-25,5,False
2010-09-26,5,False
2010-09-27,5,False
2010-09-28,15,False
2010-09-29,7,False
2010-09-30,6,False
2010-10-01,6,False
2010-10-02,7,False
2010-10-03,0,False
2010-10-04,6,False
2010-10-05,2,False
2010-10-06,4,False
2010-10-07,8,False
2010-10-08,8,False
2010-10-09,2,False
2010-10-10,5,False
2010-10-11,6,False
2010-10-12,6,False
2010-10-13,4,False
2010-10-14,4,False
2010-10-15,8,False
2010-10-16,2,False
2010-10-17,0,False
2010-10-18,16,False
2010-10-19,7,False
2010-10-20,4,False
2010-10-21,7,False
2010-10-22,8,False
2010-10-23,2,False
2010-10-24,2,False
2010-10-25,2,False
2010-10-26,9,False
2010-10-27,2,False
2010-10-28,15,False
2010-10-29,8,False
2010-10-30,5,False
2010-10-31,2,False
2010-11-01,11,False
2010-11-02,7,False
2010-11-03,7,False
2010-11-04,21,False
2010-11-05,13,False
2010-11-06,7,False
2010-11-07,2,False
2010-11-08,12,False
2010-11-09,9,False
2010-11-10,14,False
2010-11-11,7,False
2010-11-12,9,False
2010-11-13,7,False
2010-11-14,7,False
2010-11-15,11,False
2010-11-16,7,False
2010-11-17,9,False
2010-11-18,4,False
2010-11-19,8,False
2010-11-20,0,False
2010-11-21,4,False
2010-11-22,14,False
2010-11-23,7,False
2010-11-24,5,False
2010-11-25,2,False
2010-11-26,2,False
2010-11-27,2,False
2010-11-28,2,False
2010-11-29,3,False
2010-11-30,16,False
2010-12-01,5,False
2010-12-02,9,False
2010-12-03,4,False
2010-12-04,2,False
2010-12-05,4,False
2010-12-06,9,False
2010-12-07,5,False
2010-12-08,9,False
2010-12-09,9,False
2010-12-10,9,False
2010-12-11,7,False
2010-12-12,2,False
2010-12-13,7,False
2010-12-14,7,False
2010-12-15,4,False
2010-12-16,9,False
2010-12-17,2,False
2010-12-18,5,False
2010-12-19,0,False
2010-12-20,9,False
2010-12-21,7,False
2010-12-22,13,False
2010-12-23,10,False
2010-12-24,2,False
2010-12-25,3,False
2010-12-26,2,False
2010-12-27,0,False
2010-12-28,4,False
2010-12-29,2,False
2010-12-30,8,False
2010-12-31,2,False
2011-01-01,3,False
2011-01-02,5,False
2011-01-03,9,False
2011-01-04,2,False
2011-01-05,3,False
2011-01-06,5,False
2011-01-07,7,False
2011-01-08,4,False
2011-01-09,4,False
2011-01-10,5,False
2011-01-11,12,False
2011-01-12,7,False
2011-01-13,14,False
2011-01-14,11,False
2011-01-15,0,False
2011-01-16,2,False
2011-01-17,13,False
2011-01-18,12,False
2011-01-19,7,False
2011-01-20,20,False
2011-01-21,16,False
2011-01-22,6,False
2011-01-23,2,False
2011-01-24,11,False
2011-01-25,30,False
2011-01-26,100,False
2011-01-27,13,False
2011-01-28,3,False
2011-01-29,4,False
2011-01-30,8,False
2011-01-31,2,False
2011-02-01,8,False
2011-02-02,9,False
2011-02-03,11,False
2011-02-04,12,False
2011-02-05,6,False
2011-02-06,4,False
2011-02-07,6,False
2011-02-08,11,False
2011-02-09,15,False
2011-02-10,12,False
2011-02-11,3,False
2011-02-12,4,False
2011-02-13,4,False
2011-02-14,2,False
2011-02-15,11,False
2011-02-16,11,False
2011-02-17,7,False
2011-02-18,12,False
2011-02-19,8,False
2011-02-20,2,False
2011-02-21,10,False
2011-02-22,8,False
2011-02-23,11,False
2011-02-24,5,False
2011-02-25,3,False
2011-02-26,6,False
2011-02-27,8,False
2011-02-28,9,False
2011-03-01,6,False
2011-03-02,11,False
2011-03-03,18,False
2011-03-04,12,False
2011-03-05,2,False
2011-03-06,4,False
2011-03-07,3,False
2011-03-08,8,False
2011-03-09,3,False
2011-03-10,8,False
2011-03-11,8,False
2011-03-12,8,False
2011-03-13,6,False
2011-03-14,8,False
2011-03-15,8,False
2011-03-16,5,False
2011-03-17,13,False
2011-03-18,7,False
2011-03-19,4,False
2011-03-20,2,False
2011-03-21,11,False
2011-03-22,10,False
2011-03-23,11,False
2011-03-24,7,False
2011-03-25,7,False
2011-03-26,6,False
2011-03-27,6,False
2011-03-28,9,False
2011-03-29,6,False
2011-03-30,14,False
2011-03-31,10,False
2011-04-01,13,False
2011-04-02,6,False
2011-04-03,0,False
2011-04-04,9,False
2011-04-05,8,False
2011-04-06,10,False
2011-04-07,13,False
2011-04-08,10,False
2011-04-09,6,False
2011-04-10,6,False
2011-04-11,14,False
2011-04-12,6,False
2011-04-13,10,False
2011-04-14,7,False
2011-04-15,12,False
2011-04-16,8,False
2011-04-17,4,False
2011-04-18,5,False
2011-04-19,7,False
2011-04-20,7,False
2011-04-21,12,False
2011-04-22,10,False
2011-04-23,2,False
2011-04-24,4,False
2011-04-25,5,False
2011-04-26,10,False
2011-04-27,6,False
2011-04-28,3,False
2011-04-29,9,False
2011-04-30,8,False
2011-05-01,4,False
2011-05-02,11,False
2011-05-03,6,False
2011-05-04,5,False
2011-05-05,6,False
2011-05-06,5,False
2011-05-07,4,False
2011-05-08,0,False
2011-05-09,17,False
2011-05-10,6,False
2011-05-11,6,False
