date,Lam Research,isPartial
2018-02-13,28,False
2018-02-14,43,False
2018-02-15,65,False
2018-02-16,50,False
2018-02-17,26,False
2018-02-18,6,False
2018-02-19,20,False
2018-02-20,42,False
2018-02-21,34,False
2018-02-22,45,False
2018-02-23,55,False
2018-02-24,23,False
2018-02-25,12,False
2018-02-26,44,False
2018-02-27,49,False
2018-02-28,30,False
2018-03-01,44,False
2018-03-02,38,False
2018-03-03,32,False
2018-03-04,16,False
2018-03-05,24,False
2018-03-06,49,False
2018-03-07,64,False
2018-03-08,51,False
2018-03-09,79,False
2018-03-10,16,False
2018-03-11,19,False
2018-03-12,60,False
2018-03-13,56,False
2018-03-14,50,False
2018-03-15,36,False
2018-03-16,40,False
2018-03-17,32,False
2018-03-18,13,False
2018-03-19,53,False
2018-03-20,47,False
2018-03-21,45,False
2018-03-22,54,False
2018-03-23,26,False
2018-03-24,7,False
2018-03-25,13,False
2018-03-26,45,False
2018-03-27,34,False
2018-03-28,49,False
2018-03-29,45,False
2018-03-30,13,False
2018-03-31,13,False
2018-04-01,17,False
2018-04-02,42,False
2018-04-03,23,False
2018-04-04,31,False
2018-04-05,52,False
2018-04-06,53,False
2018-04-07,20,False
2018-04-08,13,False
2018-04-09,37,False
2018-04-10,39,False
2018-04-11,39,False
2018-04-12,45,False
2018-04-13,29,False
2018-04-14,23,False
2018-04-15,22,False
2018-04-16,22,False
2018-04-17,100,False
2018-04-18,93,False
2018-04-19,57,False
2018-04-20,73,False
2018-04-21,13,False
2018-04-22,10,False
2018-04-23,30,False
2018-04-24,25,False
2018-04-25,25,False
2018-04-26,42,False
2018-04-27,51,False
2018-04-28,17,False
2018-04-29,13,False
2018-04-30,46,False
2018-05-01,35,False
2018-05-02,28,False
2018-05-03,45,False
2018-05-04,26,False
2018-05-05,33,False
2018-05-06,7,False
2018-05-07,40,False
2018-05-08,48,False
2018-05-09,39,False
2018-05-10,31,False
2018-05-11,32,False
2018-05-12,20,False
2018-05-13,13,False
2018-05-14,42,False
2018-05-15,36,False
2018-05-16,31,False
2018-05-17,29,False
2018-05-18,51,False
2018-05-19,10,False
2018-05-20,20,False
2018-05-21,29,False
2018-05-22,42,False
2018-05-23,42,False
2018-05-24,29,False
2018-05-25,9,False
2018-05-26,17,False
2018-05-27,10,False
2018-05-28,17,False
2018-05-29,34,False
2018-05-30,34,False
2018-05-31,6,False
2018-06-01,51,False
2018-06-02,3,False
2018-06-03,13,False
2018-06-04,42,False
2018-06-05,31,False
2018-06-06,34,False
2018-06-07,82,False
2018-06-08,62,False
2018-06-09,13,False
2018-06-10,13,False
2018-06-11,30,False
2018-06-12,60,False
2018-06-13,63,False
2018-06-14,39,False
2018-06-15,24,False
2018-06-16,17,False
2018-06-17,10,False
2018-06-18,39,False
2018-06-19,34,False
2018-06-20,28,False
2018-06-21,31,False
2018-06-22,35,False
2018-06-23,13,False
2018-06-24,6,False
2018-06-25,30,False
2018-06-26,50,False
2018-06-27,31,False
2018-06-28,28,False
