date,Lam Research,isPartial
2011-01-01,0,False
2011-01-02,37,False
2011-01-03,44,False
2011-01-04,28,False
2011-01-05,43,False
2011-01-06,73,False
2011-01-07,30,False
2011-01-08,17,False
2011-01-09,17,False
2011-01-10,55,False
2011-01-11,27,False
2011-01-12,41,False
2011-01-13,14,False
2011-01-14,100,False
2011-01-15,51,False
2011-01-16,50,False
2011-01-17,27,False
2011-01-18,14,False
2011-01-19,0,False
2011-01-20,27,False
2011-01-21,42,False
2011-01-22,0,False
2011-01-23,0,False
2011-01-24,13,False
2011-01-25,53,False
2011-01-26,54,False
2011-01-27,27,False
2011-01-28,71,False
2011-01-29,0,False
2011-01-30,48,False
2011-01-31,38,False
2011-02-01,13,False
2011-02-02,39,False
2011-02-03,0,False
2011-02-04,14,False
2011-02-05,16,False
2011-02-06,16,False
2011-02-07,26,False
2011-02-08,66,False
2011-02-09,66,False
2011-02-10,68,False
2011-02-11,43,False
2011-02-12,17,False
2011-02-13,16,False
2011-02-14,40,False
2011-02-15,39,False
2011-02-16,13,False
2011-02-17,54,False
2011-02-18,28,False
2011-02-19,33,False
2011-02-20,32,False
2011-02-21,13,False
2011-02-22,13,False
2011-02-23,0,False
2011-02-24,40,False
2011-02-25,14,False
2011-02-26,16,False
2011-02-27,0,False
2011-02-28,52,False
2011-03-01,26,False
2011-03-02,39,False
2011-03-03,54,False
2011-03-04,56,False
2011-03-05,0,False
2011-03-06,0,False
2011-03-07,14,False
2011-03-08,27,False
2011-03-09,13,False
2011-03-10,0,False
2011-03-11,13,False
2011-03-12,34,False
2011-03-13,17,False
2011-03-14,27,False
2011-03-15,66,False
2011-03-16,39,False
2011-03-17,27,False
2011-03-18,70,False
2011-03-19,33,False
2011-03-20,16,False
2011-03-21,52,False
2011-03-22,26,False
2011-03-23,26,False
2011-03-24,0,False
2011-03-25,0,False
2011-03-26,0,False
2011-03-27,33,False
2011-03-28,39,False
2011-03-29,26,False
2011-03-30,13,False
2011-03-31,13,False
2011-04-01,0,False
2011-04-02,17,False
2011-04-03,16,False
2011-04-04,64,False
2011-04-05,13,False
2011-04-06,13,False
2011-04-07,40,False
2011-04-08,42,False
2011-04-09,17,False
2011-04-10,0,False
2011-04-11,13,False
2011-04-12,52,False
2011-04-13,66,False
2011-04-14,13,False
2011-04-15,0,False
2011-04-16,34,False
2011-04-17,0,False
2011-04-18,27,False
2011-04-19,40,False
2011-04-20,14,False
2011-04-21,15,False
2011-04-22,0,False
2011-04-23,0,False
2011-04-24,54,False
2011-04-25,29,False
2011-04-26,26,False
2011-04-27,65,False
2011-04-28,26,False
2011-04-29,28,False
2011-04-30,0,False
2011-05-01,17,False
2011-05-02,13,False
2011-05-03,13,False
2011-05-04,13,False
2011-05-05,27,False
2011-05-06,42,False
2011-05-07,0,False
2011-05-08,17,False
2011-05-09,39,False
2011-05-10,39,False
2011-05-11,26,False
2011-05-12,39,False
2011-05-13,69,False
2011-05-14,17,False
2011-05-15,16,False
2011-05-16,38,False
2011-05-17,26,False
2011-05-18,26,False
2011-05-19,0,False
2011-05-20,14,False
2011-05-21,34,False
2011-05-22,0,False
2011-05-23,63,False
2011-05-24,26,False
2011-05-25,13,False
2011-05-26,26,False
2011-05-27,41,False
2011-05-28,17,False
2011-05-29,0,False
2011-05-30,14,False
2011-05-31,0,False
2011-06-01,78,False
2011-06-02,14,False
2011-06-03,56,False
2011-06-04,0,False
2011-06-05,16,False
2011-06-06,13,False
2011-06-07,38,False
2011-06-08,39,False
2011-06-09,13,False
2011-06-10,55,False
2011-06-11,0,False
2011-06-12,34,False
2011-06-13,26,False
2011-06-14,26,False
2011-06-15,39,False
2011-06-16,26,False
2011-06-17,28,False
2011-06-18,0,False
2011-06-19,17,False
2011-06-20,50,False
2011-06-21,26,False
2011-06-22,39,False
2011-06-23,27,False
2011-06-24,14,False
2011-06-25,17,False
2011-06-26,34,False
2011-06-27,26,False
2011-06-28,26,False
2011-06-29,13,False
2011-06-30,13,False
2011-07-01,28,False
2011-07-02,17,False
2011-07-03,0,False
2011-07-04,55,False
2011-07-05,40,False
2011-07-06,13,False
2011-07-07,39,False
2011-07-08,83,False
2011-07-09,0,False
2011-07-10,17,False
2011-07-11,39,False
2011-07-12,78,False
2011-07-13,79,False
2011-07-14,27,False
2011-07-15,70,False
2011-07-16,17,False
2011-07-17,0,False
2011-07-18,39,False
2011-07-19,0,False
2011-07-20,26,False
2011-07-21,53,False
2011-07-22,0,False
2011-07-23,0,False
2011-07-24,33,False
2011-07-25,51,False
2011-07-26,38,False
2011-07-27,52,False
2011-07-28,53,False
2011-07-29,14,False
2011-07-30,0,False
2011-07-31,0,False
2011-08-01,39,False
2011-08-02,66,False
2011-08-03,27,False
2011-08-04,13,False
2011-08-05,27,False
2011-08-06,16,False
2011-08-07,32,False
2011-08-08,25,False
2011-08-09,63,False
2011-08-10,38,False
2011-08-11,39,False
2011-08-12,41,False
2011-08-13,16,False
2011-08-14,0,False
2011-08-15,67,False
2011-08-16,51,False
2011-08-17,26,False
2011-08-18,13,False
2011-08-19,53,False
2011-08-20,0,False
2011-08-21,0,False
2011-08-22,13,False
2011-08-23,37,False
2011-08-24,38,False
2011-08-25,12,False
2011-08-26,13,False
2011-08-27,47,False
2011-08-28,0,False
2011-08-29,62,False
2011-08-30,37,False
2011-08-31,37,False
2011-09-01,39,False
2011-09-02,26,False
2011-09-03,31,False
2011-09-04,15,False
2011-09-05,0,False
2011-09-06,60,False
2011-09-07,24,False
2011-09-08,36,False
2011-09-09,50,False
2011-09-10,15,False
2011-09-11,0,False
2011-09-12,36,False
2011-09-13,24,False
2011-09-14,36,False
2011-09-15,24,False
2011-09-16,13,False
2011-09-17,0,False
2011-09-18,0,False
