date,CERN stock
2013-06-29,25
2013-06-30,0
2013-07-01,60
2013-07-02,79
2013-07-03,0
2013-07-04,0
2013-07-05,22
2013-07-06,0
2013-07-07,0
2013-07-08,40
2013-07-09,20
2013-07-10,20
2013-07-11,20
2013-07-12,0
2013-07-13,25
2013-07-14,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,83
2013-07-19,43
2013-07-20,0
2013-07-21,0
2013-07-22,20
2013-07-23,20
2013-07-24,20
2013-07-25,0
2013-07-26,21
2013-07-27,0
2013-07-28,0
2013-07-29,20
2013-07-30,20
2013-07-31,0
2013-08-01,0
2013-08-02,21
2013-08-03,50
2013-08-04,25
2013-08-05,20
2013-08-06,60
2013-08-07,21
2013-08-08,21
2013-08-09,0
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,20
2013-08-14,40
2013-08-15,43
2013-08-16,21
2013-08-17,24
2013-08-18,0
2013-08-19,60
2013-08-20,20
2013-08-21,40
2013-08-22,60
2013-08-23,21
2013-08-24,0
2013-08-25,0
2013-08-26,97
2013-08-27,19
2013-08-28,19
2013-08-29,19
2013-08-30,20
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,57
2013-09-04,0
2013-09-05,20
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,19
2013-09-10,0
2013-09-11,19
2013-09-12,38
2013-09-13,0
2013-09-14,0
2013-09-15,22
2013-09-16,75
2013-09-17,19
2013-09-18,19
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,38
2013-09-25,19
2013-09-26,39
2013-09-27,100
2013-09-28,0
2013-09-29,22
2013-09-30,0
2013-10-01,0
2013-10-02,19
2013-10-03,0
2013-10-04,40
2013-10-05,22
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,38
2013-10-10,57
2013-10-11,40
2013-10-12,0
2013-10-13,0
2013-10-14,38
2013-10-15,19
2013-10-16,0
2013-10-17,19
2013-10-18,20
2013-10-19,0
2013-10-20,0
2013-10-21,55
2013-10-22,37
2013-10-23,56
2013-10-24,37
2013-10-25,20
2013-10-26,22
2013-10-27,22
2013-10-28,0
2013-10-29,37
2013-10-30,19
2013-10-31,19
2013-11-01,0
2013-11-02,22
2013-11-03,22
2013-11-04,0
2013-11-05,0
2013-11-06,18
2013-11-07,19
2013-11-08,0
2013-11-09,22
2013-11-10,0
2013-11-11,18
2013-11-12,18
2013-11-13,0
2013-11-14,19
2013-11-15,0
2013-11-16,0
2013-11-17,0
2013-11-18,0
2013-11-19,36
2013-11-20,0
2013-11-21,0
2013-11-22,19
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,36
2013-11-27,0
2013-11-28,0
2013-11-29,20
2013-11-30,22
2013-12-01,20
2013-12-02,0
2013-12-03,18
2013-12-04,0
2013-12-05,0
2013-12-06,19
2013-12-07,0
2013-12-08,21
2013-12-09,35
2013-12-10,36
2013-12-11,18
2013-12-12,56
2013-12-13,0
2013-12-14,22
2013-12-15,0
2013-12-16,18
2013-12-17,19
2013-12-18,0
2013-12-19,19
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,20
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,20
2013-12-28,0
2013-12-29,22
2013-12-30,0
2013-12-31,67
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,21
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,36
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,17
2014-01-14,0
2014-01-15,36
2014-01-16,18
2014-01-17,37
2014-01-18,0
2014-01-19,0
2014-01-20,18
2014-01-21,35
2014-01-22,34
2014-01-23,0
2014-01-24,18
2014-01-25,0
2014-01-26,20
2014-01-27,0
2014-01-28,0
2014-01-29,17
2014-01-30,0
2014-01-31,0
2014-02-01,0
2014-02-02,20
2014-02-03,0
2014-02-04,17
2014-02-05,52
2014-02-06,48
2014-02-07,60
2014-02-08,20
2014-02-09,20
2014-02-10,17
2014-02-11,0
2014-02-12,17
2014-02-13,35
2014-02-14,18
2014-02-15,0
2014-02-16,0
2014-02-17,18
2014-02-18,17
2014-02-19,35
2014-02-20,18
2014-02-21,73
2014-02-22,20
2014-02-23,20
2014-02-24,34
2014-02-25,0
2014-02-26,68
2014-02-27,0
2014-02-28,0
2014-03-01,21
2014-03-02,0
2014-03-03,17
2014-03-04,18
2014-03-05,18
2014-03-06,0
2014-03-07,0
2014-03-08,21
2014-03-09,21
2014-03-10,0
2014-03-11,17
2014-03-12,0
2014-03-13,0
2014-03-14,37
2014-03-15,0
2014-03-16,20
