date,CERN stock
2015-08-18,30
2015-08-19,75
2015-08-20,0
2015-08-21,62
2015-08-22,18
2015-08-23,17
2015-08-24,58
2015-08-25,29
2015-08-26,89
2015-08-27,15
2015-08-28,16
2015-08-29,17
2015-08-30,0
2015-08-31,14
2015-09-01,57
2015-09-02,15
2015-09-03,29
2015-09-04,46
2015-09-05,0
2015-09-06,34
2015-09-07,30
2015-09-08,100
2015-09-09,29
2015-09-10,44
2015-09-11,45
2015-09-12,0
2015-09-13,0
2015-09-14,56
2015-09-15,71
2015-09-16,0
2015-09-17,0
2015-09-18,30
2015-09-19,0
2015-09-20,0
2015-09-21,42
2015-09-22,85
2015-09-23,29
2015-09-24,30
2015-09-25,76
2015-09-26,0
2015-09-27,0
2015-09-28,28
2015-09-29,28
2015-09-30,56
2015-10-01,0
2015-10-02,60
2015-10-03,33
2015-10-04,16
2015-10-05,0
2015-10-06,14
2015-10-07,29
2015-10-08,14
2015-10-09,29
2015-10-10,0
2015-10-11,17
2015-10-12,29
2015-10-13,28
2015-10-14,69
2015-10-15,14
2015-10-16,15
2015-10-17,16
2015-10-18,0
2015-10-19,28
2015-10-20,0
2015-10-21,14
2015-10-22,42
2015-10-23,15
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,14
2015-10-28,14
2015-10-29,28
2015-10-30,58
2015-10-31,0
2015-11-01,0
2015-11-02,28
2015-11-03,14
2015-11-04,69
2015-11-05,42
2015-11-06,44
2015-11-07,16
2015-11-08,0
2015-11-09,0
2015-11-10,14
2015-11-11,14
2015-11-12,0
2015-11-13,0
2015-11-14,16
2015-11-15,0
2015-11-16,14
2015-11-17,14
2015-11-18,28
2015-11-19,14
2015-11-20,29
2015-11-21,0
2015-11-22,0
2015-11-23,14
2015-11-24,0
2015-11-25,14
2015-11-26,15
2015-11-27,15
2015-11-28,16
2015-11-29,0
2015-11-30,27
2015-12-01,14
2015-12-02,14
2015-12-03,14
2015-12-04,14
2015-12-05,0
2015-12-06,16
2015-12-07,14
2015-12-08,14
2015-12-09,0
2015-12-10,28
2015-12-11,44
2015-12-12,0
2015-12-13,0
2015-12-14,14
2015-12-15,0
2015-12-16,0
2015-12-17,15
2015-12-18,0
2015-12-19,17
2015-12-20,0
2015-12-21,29
2015-12-22,15
2015-12-23,32
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,15
2015-12-29,15
2015-12-30,16
2015-12-31,0
2016-01-01,19
2016-01-02,17
2016-01-03,0
2016-01-04,45
2016-01-05,30
2016-01-06,0
2016-01-07,30
2016-01-08,46
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,15
2016-01-14,29
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,15
2016-01-19,15
2016-01-20,29
2016-01-21,30
2016-01-22,0
2016-01-23,0
2016-01-24,33
2016-01-25,0
2016-01-26,15
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,15
2016-02-02,29
2016-02-03,0
2016-02-04,30
2016-02-05,0
2016-02-06,0
2016-02-07,17
2016-02-08,45
2016-02-09,30
2016-02-10,0
2016-02-11,0
2016-02-12,30
2016-02-13,17
2016-02-14,17
2016-02-15,29
2016-02-16,14
2016-02-17,58
2016-02-18,0
2016-02-19,15
2016-02-20,17
2016-02-21,0
2016-02-22,14
2016-02-23,14
2016-02-24,0
2016-02-25,15
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,14
2016-03-03,0
2016-03-04,15
2016-03-05,0
2016-03-06,0
2016-03-07,14
2016-03-08,43
2016-03-09,0
2016-03-10,44
2016-03-11,15
2016-03-12,0
2016-03-13,0
2016-03-14,14
2016-03-15,0
2016-03-16,43
2016-03-17,60
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,15
2016-03-22,29
2016-03-23,15
2016-03-24,0
2016-03-25,0
2016-03-26,17
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,14
2016-03-31,15
2016-04-01,0
2016-04-02,34
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,15
2016-04-08,15
2016-04-09,0
2016-04-10,0
2016-04-11,29
2016-04-12,14
2016-04-13,0
2016-04-14,15
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,59
2016-04-19,14
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,17
2016-04-24,33
2016-04-25,14
2016-04-26,29
2016-04-27,0
2016-04-28,29
2016-04-29,15
2016-04-30,0
2016-05-01,0
2016-05-02,15
2016-05-03,14
2016-05-04,29
