date,CERN stock
2017-01-19,43
2017-01-20,33
2017-01-21,12
2017-01-22,12
2017-01-23,21
2017-01-24,11
2017-01-25,32
2017-01-26,11
2017-01-27,0
2017-01-28,0
2017-01-29,12
2017-01-30,42
2017-01-31,42
2017-02-01,21
2017-02-02,0
2017-02-03,11
2017-02-04,0
2017-02-05,0
2017-02-06,31
2017-02-07,10
2017-02-08,10
2017-02-09,0
2017-02-10,44
2017-02-11,12
2017-02-12,0
2017-02-13,0
2017-02-14,10
2017-02-15,11
2017-02-16,21
2017-02-17,0
2017-02-18,12
2017-02-19,0
2017-02-20,11
2017-02-21,10
2017-02-22,52
2017-02-23,11
2017-02-24,22
2017-02-25,12
2017-02-26,0
2017-02-27,10
2017-02-28,20
2017-03-01,20
2017-03-02,10
2017-03-03,21
2017-03-04,24
2017-03-05,0
2017-03-06,20
2017-03-07,0
2017-03-08,31
2017-03-09,10
2017-03-10,32
2017-03-11,0
2017-03-12,0
2017-03-13,20
2017-03-14,10
2017-03-15,0
2017-03-16,53
2017-03-17,22
2017-03-18,0
2017-03-19,23
2017-03-20,21
2017-03-21,10
2017-03-22,10
2017-03-23,53
2017-03-24,11
2017-03-25,0
2017-03-26,0
2017-03-27,31
2017-03-28,73
2017-03-29,11
2017-03-30,43
2017-03-31,33
2017-04-01,0
2017-04-02,12
2017-04-03,41
2017-04-04,21
2017-04-05,0
2017-04-06,11
2017-04-07,11
2017-04-08,12
2017-04-09,0
2017-04-10,10
2017-04-11,32
2017-04-12,21
2017-04-13,34
2017-04-14,0
2017-04-15,0
2017-04-16,25
2017-04-17,11
2017-04-18,21
2017-04-19,0
2017-04-20,0
2017-04-21,44
2017-04-22,0
2017-04-23,12
2017-04-24,52
2017-04-25,62
2017-04-26,0
2017-04-27,74
2017-04-28,76
2017-04-29,12
2017-04-30,12
2017-05-01,11
2017-05-02,21
2017-05-03,0
2017-05-04,21
2017-05-05,22
2017-05-06,0
2017-05-07,0
2017-05-08,21
2017-05-09,31
2017-05-10,0
2017-05-11,21
2017-05-12,0
2017-05-13,12
2017-05-14,12
2017-05-15,0
2017-05-16,11
2017-05-17,56
2017-05-18,11
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,22
2017-05-24,23
2017-05-25,23
2017-05-26,0
2017-05-27,13
2017-05-28,0
2017-05-29,12
2017-05-30,11
2017-05-31,11
2017-06-01,11
2017-06-02,24
2017-06-03,0
2017-06-04,0
2017-06-05,100
2017-06-06,44
2017-06-07,33
2017-06-08,22
2017-06-09,23
2017-06-10,0
2017-06-11,0
2017-06-12,22
2017-06-13,22
2017-06-14,0
2017-06-15,23
2017-06-16,0
2017-06-17,13
2017-06-18,0
2017-06-19,22
2017-06-20,43
2017-06-21,32
2017-06-22,0
2017-06-23,11
2017-06-24,0
2017-06-25,13
2017-06-26,11
2017-06-27,0
2017-06-28,0
2017-06-29,12
2017-06-30,12
2017-07-01,0
2017-07-02,0
2017-07-03,12
2017-07-04,12
2017-07-05,0
2017-07-06,0
2017-07-07,12
2017-07-08,13
2017-07-09,0
2017-07-10,56
2017-07-11,22
2017-07-12,34
2017-07-13,0
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,34
2017-07-18,45
2017-07-19,11
2017-07-20,22
2017-07-21,12
2017-07-22,0
2017-07-23,13
2017-07-24,11
2017-07-25,11
2017-07-26,11
2017-07-27,34
2017-07-28,23
2017-07-29,13
2017-07-30,0
2017-07-31,33
2017-08-01,11
2017-08-02,10
2017-08-03,33
2017-08-04,0
2017-08-05,13
2017-08-06,0
2017-08-07,21
2017-08-08,10
2017-08-09,11
2017-08-10,22
2017-08-11,0
2017-08-12,0
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,0
2017-08-17,11
2017-08-18,11
2017-08-19,13
2017-08-20,12
2017-08-21,0
2017-08-22,11
2017-08-23,0
2017-08-24,33
2017-08-25,12
2017-08-26,0
2017-08-27,0
2017-08-28,33
2017-08-29,0
2017-08-30,0
2017-08-31,22
2017-09-01,34
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,21
2017-09-06,21
2017-09-07,22
2017-09-08,34
2017-09-09,0
2017-09-10,0
2017-09-11,42
2017-09-12,11
2017-09-13,11
2017-09-14,11
2017-09-15,22
2017-09-16,0
2017-09-17,0
2017-09-18,21
2017-09-19,21
2017-09-20,53
2017-09-21,32
2017-09-22,0
2017-09-23,12
2017-09-24,12
2017-09-25,0
2017-09-26,21
2017-09-27,11
2017-09-28,11
2017-09-29,11
2017-09-30,0
2017-10-01,0
2017-10-02,11
2017-10-03,43
2017-10-04,32
2017-10-05,0
2017-10-06,0
