date,CERN stock
2014-12-01,15
2014-12-02,15
2014-12-03,60
2014-12-04,0
2014-12-05,16
2014-12-06,0
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,15
2014-12-11,15
2014-12-12,32
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,16
2014-12-18,47
2014-12-19,17
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,0
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,16
2014-12-31,18
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,15
2015-01-06,30
2015-01-07,15
2015-01-08,15
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,29
2015-01-13,0
2015-01-14,0
2015-01-15,15
2015-01-16,15
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,29
2015-01-21,14
2015-01-22,14
2015-01-23,30
2015-01-24,34
2015-01-25,17
2015-01-26,14
2015-01-27,14
2015-01-28,14
2015-01-29,43
2015-01-30,15
2015-01-31,0
2015-02-01,16
2015-02-02,0
2015-02-03,14
2015-02-04,0
2015-02-05,14
2015-02-06,30
2015-02-07,0
2015-02-08,0
2015-02-09,14
2015-02-10,14
2015-02-11,43
2015-02-12,59
2015-02-13,45
2015-02-14,0
2015-02-15,0
2015-02-16,15
2015-02-17,30
2015-02-18,29
2015-02-19,0
2015-02-20,15
2015-02-21,17
2015-02-22,0
2015-02-23,14
2015-02-24,0
2015-02-25,42
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,29
2015-03-05,0
2015-03-06,30
2015-03-07,17
2015-03-08,0
2015-03-09,43
2015-03-10,0
2015-03-11,14
2015-03-12,14
2015-03-13,29
2015-03-14,0
2015-03-15,16
2015-03-16,28
2015-03-17,28
2015-03-18,0
2015-03-19,28
2015-03-20,0
2015-03-21,0
2015-03-22,16
2015-03-23,28
2015-03-24,28
2015-03-25,0
2015-03-26,33
2015-03-27,0
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,29
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,31
2015-04-07,14
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,43
2015-04-14,28
2015-04-15,14
2015-04-16,14
2015-04-17,30
2015-04-18,0
2015-04-19,17
2015-04-20,0
2015-04-21,14
2015-04-22,14
2015-04-23,29
2015-04-24,15
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,14
2015-04-29,0
2015-04-30,29
2015-05-01,32
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,14
2015-05-06,0
2015-05-07,43
2015-05-08,45
2015-05-09,0
2015-05-10,17
2015-05-11,0
2015-05-12,42
2015-05-13,14
2015-05-14,14
2015-05-15,30
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,56
2015-05-21,14
2015-05-22,0
2015-05-23,17
2015-05-24,0
2015-05-25,0
2015-05-26,14
2015-05-27,14
2015-05-28,14
2015-05-29,15
2015-05-30,0
2015-05-31,0
2015-06-01,28
2015-06-02,28
2015-06-03,0
2015-06-04,0
2015-06-05,45
2015-06-06,0
2015-06-07,0
2015-06-08,56
2015-06-09,42
2015-06-10,28
2015-06-11,0
2015-06-12,45
2015-06-13,0
2015-06-14,0
2015-06-15,14
2015-06-16,14
2015-06-17,0
2015-06-18,0
2015-06-19,45
2015-06-20,17
2015-06-21,0
2015-06-22,0
2015-06-23,14
2015-06-24,0
2015-06-25,0
2015-06-26,30
2015-06-27,0
2015-06-28,0
2015-06-29,14
2015-06-30,14
2015-07-01,43
2015-07-02,0
2015-07-03,15
2015-07-04,18
2015-07-05,0
2015-07-06,28
2015-07-07,28
2015-07-08,14
2015-07-09,29
2015-07-10,60
2015-07-11,0
2015-07-12,0
2015-07-13,14
2015-07-14,14
2015-07-15,14
2015-07-16,29
2015-07-17,0
2015-07-18,55
2015-07-19,18
2015-07-20,15
2015-07-21,29
2015-07-22,0
2015-07-23,29
2015-07-24,15
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,14
2015-07-29,71
2015-07-30,100
2015-07-31,74
2015-08-01,0
2015-08-02,0
2015-08-03,28
2015-08-04,0
2015-08-05,86
2015-08-06,29
2015-08-07,15
2015-08-08,0
2015-08-09,17
2015-08-10,14
2015-08-11,14
2015-08-12,0
2015-08-13,0
2015-08-14,15
2015-08-15,0
2015-08-16,0
2015-08-17,28
2015-08-18,14
