date,CERN stock
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,36
2012-10-17,0
2012-10-18,0
2012-10-19,38
2012-10-20,0
2012-10-21,0
2012-10-22,36
2012-10-23,0
2012-10-24,0
2012-10-25,37
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,38
2012-11-02,39
2012-11-03,43
2012-11-04,42
2012-11-05,0
2012-11-06,36
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,72
2012-11-14,36
2012-11-15,0
2012-11-16,37
2012-11-17,42
2012-11-18,0
2012-11-19,35
2012-11-20,0
2012-11-21,36
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,35
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,34
2012-12-05,35
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,69
2012-12-11,0
2012-12-12,35
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,42
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,77
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,34
2013-01-09,34
2013-01-10,0
2013-01-11,35
2013-01-12,0
2013-01-13,0
2013-01-14,33
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,40
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,68
2013-01-25,35
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,33
2013-01-30,33
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,99
2013-02-06,100
2013-02-07,0
2013-02-08,69
2013-02-09,40
2013-02-10,0
2013-02-11,0
2013-02-12,34
2013-02-13,34
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,34
2013-02-23,78
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,33
2013-03-01,68
2013-03-02,0
2013-03-03,0
2013-03-04,32
2013-03-05,65
2013-03-06,0
2013-03-07,67
2013-03-08,34
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,32
2013-03-13,0
2013-03-14,0
2013-03-15,67
2013-03-16,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,32
2013-03-21,0
2013-03-22,33
2013-03-23,76
2013-03-24,0
2013-03-25,0
2013-03-26,32
2013-03-27,33
2013-03-28,34
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,33
2013-04-02,0
2013-04-03,65
2013-04-04,0
2013-04-05,100
2013-04-06,76
2013-04-07,38
2013-04-08,31
2013-04-09,0
2013-04-10,32
2013-04-11,33
2013-04-12,33
2013-04-13,0
2013-04-14,0
2013-04-15,32
2013-04-16,64
2013-04-17,97
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,66
2013-04-26,34
2013-04-27,39
2013-04-28,38
2013-04-29,0
2013-04-30,66
2013-05-01,0
2013-05-02,33
2013-05-03,34
2013-05-04,39
2013-05-05,39
2013-05-06,66
2013-05-07,32
2013-05-08,0
2013-05-09,0
2013-05-10,34
2013-05-11,0
2013-05-12,39
2013-05-13,0
2013-05-14,31
2013-05-15,0
2013-05-16,32
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,32
2013-05-21,0
2013-05-22,31
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,39
2013-05-27,0
2013-05-28,31
2013-05-29,63
2013-05-30,32
2013-05-31,34
2013-06-01,0
2013-06-02,0
2013-06-03,31
2013-06-04,32
2013-06-05,0
2013-06-06,0
2013-06-07,100
2013-06-08,39
2013-06-09,0
2013-06-10,31
2013-06-11,94
2013-06-12,64
2013-06-13,0
2013-06-14,0
2013-06-15,39
2013-06-16,0
2013-06-17,32
2013-06-18,63
2013-06-19,32
2013-06-20,0
2013-06-21,34
2013-06-22,0
2013-06-23,0
2013-06-24,32
2013-06-25,63
2013-06-26,32
2013-06-27,0
2013-06-28,34
2013-06-29,0
