date,XLNX stock
2018-02-13,33
2018-02-14,0
2018-02-15,34
2018-02-16,69
2018-02-17,0
2018-02-18,0
2018-02-19,33
2018-02-20,0
2018-02-21,98
2018-02-22,66
2018-02-23,34
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,32
2018-02-28,65
2018-03-01,32
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,32
2018-03-06,32
2018-03-07,33
2018-03-08,66
2018-03-09,69
2018-03-10,0
2018-03-11,37
2018-03-12,97
2018-03-13,98
2018-03-14,32
2018-03-15,66
2018-03-16,68
2018-03-17,0
2018-03-18,36
2018-03-19,98
2018-03-20,0
2018-03-21,65
2018-03-22,33
2018-03-23,68
2018-03-24,38
2018-03-25,0
2018-03-26,67
2018-03-27,100
2018-03-28,0
2018-03-29,35
2018-03-30,37
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,33
2018-04-04,0
2018-04-05,34
2018-04-06,69
2018-04-07,0
2018-04-08,0
2018-04-09,0
