date,CTSH stock
2015-08-18,10
2015-08-19,42
2015-08-20,10
2015-08-21,44
2015-08-22,0
2015-08-23,12
2015-08-24,30
2015-08-25,81
2015-08-26,61
2015-08-27,41
2015-08-28,22
2015-08-29,0
2015-08-30,0
2015-08-31,10
2015-09-01,10
2015-09-02,30
2015-09-03,10
2015-09-04,21
2015-09-05,12
2015-09-06,0
2015-09-07,0
2015-09-08,10
2015-09-09,40
2015-09-10,40
2015-09-11,21
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,100
2015-09-16,40
2015-09-17,30
2015-09-18,42
2015-09-19,12
2015-09-20,0
2015-09-21,49
2015-09-22,10
2015-09-23,50
2015-09-24,20
2015-09-25,21
2015-09-26,12
2015-09-27,0
2015-09-28,19
2015-09-29,19
2015-09-30,20
2015-10-01,20
2015-10-02,62
2015-10-03,0
2015-10-04,0
2015-10-05,20
2015-10-06,10
2015-10-07,49
2015-10-08,49
2015-10-09,0
2015-10-10,0
2015-10-11,12
2015-10-12,50
2015-10-13,0
2015-10-14,19
2015-10-15,29
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,19
2015-10-20,9
2015-10-21,29
2015-10-22,49
2015-10-23,51
2015-10-24,12
2015-10-25,11
2015-10-26,19
2015-10-27,39
2015-10-28,38
2015-10-29,29
2015-10-30,31
2015-10-31,0
2015-11-01,12
2015-11-02,19
2015-11-03,29
2015-11-04,87
2015-11-05,19
2015-11-06,41
2015-11-07,22
2015-11-08,11
2015-11-09,10
2015-11-10,29
2015-11-11,20
2015-11-12,30
2015-11-13,41
2015-11-14,34
2015-11-15,0
2015-11-16,29
2015-11-17,28
2015-11-18,19
2015-11-19,10
2015-11-20,30
2015-11-21,11
2015-11-22,0
2015-11-23,19
2015-11-24,19
2015-11-25,10
2015-11-26,0
2015-11-27,10
2015-11-28,23
2015-11-29,0
2015-11-30,19
2015-12-01,19
2015-12-02,29
2015-12-03,19
2015-12-04,20
2015-12-05,11
2015-12-06,11
2015-12-07,10
2015-12-08,19
2015-12-09,19
2015-12-10,0
2015-12-11,30
2015-12-12,11
2015-12-13,0
2015-12-14,19
2015-12-15,90
2015-12-16,10
2015-12-17,10
2015-12-18,32
2015-12-19,0
2015-12-20,12
2015-12-21,52
2015-12-22,63
2015-12-23,22
2015-12-24,12
2015-12-25,27
2015-12-26,12
2015-12-27,0
2015-12-28,11
2015-12-29,32
2015-12-30,11
2015-12-31,24
2016-01-01,0
2016-01-02,12
2016-01-03,0
2016-01-04,0
2016-01-05,21
2016-01-06,11
2016-01-07,53
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,40
2016-01-12,41
2016-01-13,71
2016-01-14,30
2016-01-15,43
2016-01-16,0
2016-01-17,23
2016-01-18,31
2016-01-19,41
2016-01-20,41
2016-01-21,21
2016-01-22,0
2016-01-23,35
2016-01-24,0
2016-01-25,30
2016-01-26,20
2016-01-27,10
2016-01-28,41
2016-01-29,21
2016-01-30,0
2016-01-31,0
2016-02-01,61
2016-02-02,20
2016-02-03,20
2016-02-04,21
2016-02-05,11
2016-02-06,12
2016-02-07,12
2016-02-08,62
2016-02-09,31
2016-02-10,30
2016-02-11,20
2016-02-12,21
2016-02-13,34
2016-02-14,11
2016-02-15,10
2016-02-16,30
2016-02-17,10
2016-02-18,30
2016-02-19,21
2016-02-20,23
2016-02-21,0
2016-02-22,20
2016-02-23,30
2016-02-24,20
2016-02-25,31
2016-02-26,21
2016-02-27,12
2016-02-28,11
2016-02-29,10
2016-03-01,30
2016-03-02,20
2016-03-03,30
2016-03-04,42
2016-03-05,11
2016-03-06,0
2016-03-07,40
2016-03-08,40
2016-03-09,40
2016-03-10,10
2016-03-11,21
2016-03-12,23
2016-03-13,11
2016-03-14,30
2016-03-15,70
2016-03-16,40
2016-03-17,10
2016-03-18,32
2016-03-19,0
2016-03-20,0
2016-03-21,30
2016-03-22,20
2016-03-23,21
2016-03-24,22
2016-03-25,11
2016-03-26,0
2016-03-27,12
2016-03-28,11
2016-03-29,40
2016-03-30,20
2016-03-31,51
2016-04-01,63
2016-04-02,12
2016-04-03,0
2016-04-04,20
2016-04-05,20
2016-04-06,40
2016-04-07,31
2016-04-08,0
2016-04-09,23
2016-04-10,0
2016-04-11,10
2016-04-12,20
2016-04-13,51
2016-04-14,21
2016-04-15,43
2016-04-16,0
2016-04-17,0
2016-04-18,20
2016-04-19,10
2016-04-20,20
2016-04-21,0
2016-04-22,22
2016-04-23,0
2016-04-24,0
2016-04-25,30
2016-04-26,10
2016-04-27,30
2016-04-28,0
2016-04-29,21
2016-04-30,0
2016-05-01,12
2016-05-02,0
2016-05-03,50
2016-05-04,0
