date,CTSH stock
2014-12-01,0
2014-12-02,37
2014-12-03,38
2014-12-04,10
2014-12-05,20
2014-12-06,11
2014-12-07,11
2014-12-08,29
2014-12-09,9
2014-12-10,29
2014-12-11,10
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,10
2014-12-16,19
2014-12-17,0
2014-12-18,10
2014-12-19,11
2014-12-20,0
2014-12-21,0
2014-12-22,10
2014-12-23,32
2014-12-24,12
2014-12-25,0
2014-12-26,23
2014-12-27,0
2014-12-28,0
2014-12-29,10
2014-12-30,10
2014-12-31,35
2015-01-01,12
2015-01-02,11
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,10
2015-01-07,0
2015-01-08,19
2015-01-09,10
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,9
2015-01-14,0
2015-01-15,18
2015-01-16,19
2015-01-17,0
2015-01-18,11
2015-01-19,9
2015-01-20,28
2015-01-21,27
2015-01-22,9
2015-01-23,10
2015-01-24,21
2015-01-25,0
2015-01-26,0
2015-01-27,27
2015-01-28,9
2015-01-29,18
2015-01-30,10
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,9
2015-02-04,36
2015-02-05,46
2015-02-06,19
2015-02-07,11
2015-02-08,0
2015-02-09,9
2015-02-10,18
2015-02-11,0
2015-02-12,19
2015-02-13,29
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,18
2015-02-19,28
2015-02-20,19
2015-02-21,0
2015-02-22,11
2015-02-23,18
2015-02-24,27
2015-02-25,9
2015-02-26,9
2015-02-27,9
2015-02-28,0
2015-03-01,10
2015-03-02,18
2015-03-03,45
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,27
2015-03-10,18
2015-03-11,0
2015-03-12,9
2015-03-13,0
2015-03-14,11
2015-03-15,0
2015-03-16,36
2015-03-17,9
2015-03-18,27
2015-03-19,9
2015-03-20,0
2015-03-21,0
2015-03-22,10
2015-03-23,27
2015-03-24,9
2015-03-25,13
2015-03-26,0
2015-03-27,9
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,27
2015-04-01,18
2015-04-02,0
2015-04-03,21
2015-04-04,11
2015-04-05,11
2015-04-06,19
2015-04-07,18
2015-04-08,27
2015-04-09,36
2015-04-10,19
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,27
2015-04-15,27
2015-04-16,0
2015-04-17,0
2015-04-18,22
2015-04-19,11
2015-04-20,9
2015-04-21,9
2015-04-22,9
2015-04-23,18
2015-04-24,29
2015-04-25,0
2015-04-26,11
2015-04-27,9
2015-04-28,9
2015-04-29,36
2015-04-30,0
2015-05-01,20
2015-05-02,11
2015-05-03,11
2015-05-04,45
2015-05-05,45
2015-05-06,53
2015-05-07,0
2015-05-08,29
2015-05-09,11
2015-05-10,0
2015-05-11,9
2015-05-12,0
2015-05-13,27
2015-05-14,19
2015-05-15,38
2015-05-16,0
2015-05-17,0
2015-05-18,18
2015-05-19,18
2015-05-20,44
2015-05-21,55
2015-05-22,19
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,35
2015-05-27,9
2015-05-28,54
2015-05-29,19
2015-05-30,0
2015-05-31,0
2015-06-01,18
2015-06-02,45
2015-06-03,9
2015-06-04,9
2015-06-05,19
2015-06-06,0
2015-06-07,11
2015-06-08,18
2015-06-09,18
2015-06-10,9
2015-06-11,9
2015-06-12,28
2015-06-13,0
2015-06-14,11
2015-06-15,0
2015-06-16,18
2015-06-17,18
2015-06-18,18
2015-06-19,0
2015-06-20,11
2015-06-21,0
2015-06-22,27
2015-06-23,36
2015-06-24,9
2015-06-25,28
2015-06-26,19
2015-06-27,0
2015-06-28,11
2015-06-29,27
2015-06-30,27
2015-07-01,18
2015-07-02,46
2015-07-03,10
2015-07-04,11
2015-07-05,0
2015-07-06,53
2015-07-07,18
2015-07-08,18
2015-07-09,28
2015-07-10,9
2015-07-11,0
2015-07-12,11
2015-07-13,18
2015-07-14,27
2015-07-15,45
2015-07-16,0
2015-07-17,10
2015-07-18,12
2015-07-19,0
2015-07-20,19
2015-07-21,0
2015-07-22,46
2015-07-23,9
2015-07-24,38
2015-07-25,11
2015-07-26,0
2015-07-27,0
2015-07-28,9
2015-07-29,27
2015-07-30,9
2015-07-31,19
2015-08-01,0
2015-08-02,11
2015-08-03,36
2015-08-04,27
2015-08-05,100
2015-08-06,46
2015-08-07,57
2015-08-08,11
2015-08-09,11
2015-08-10,9
2015-08-11,27
2015-08-12,37
2015-08-13,0
2015-08-14,28
2015-08-15,11
2015-08-16,21
2015-08-17,72
2015-08-18,0
