date,CTSH stock
2017-10-06,14
2017-10-07,11
2017-10-08,11
2017-10-09,51
2017-10-10,32
2017-10-11,23
2017-10-12,48
2017-10-13,44
2017-10-14,11
2017-10-15,11
2017-10-16,51
2017-10-17,23
2017-10-18,23
2017-10-19,28
2017-10-20,24
2017-10-21,0
2017-10-22,10
2017-10-23,28
2017-10-24,32
2017-10-25,18
2017-10-26,23
2017-10-27,39
2017-10-28,16
2017-10-29,31
2017-10-30,32
2017-10-31,85
2017-11-01,66
2017-11-02,66
2017-11-03,62
2017-11-04,21
2017-11-05,20
2017-11-06,36
2017-11-07,63
2017-11-08,59
2017-11-09,41
2017-11-10,43
2017-11-11,10
2017-11-12,0
2017-11-13,23
2017-11-14,41
2017-11-15,23
2017-11-16,27
2017-11-17,47
2017-11-18,31
2017-11-19,10
2017-11-20,36
2017-11-21,41
2017-11-22,27
2017-11-23,9
2017-11-24,19
2017-11-25,10
2017-11-26,0
2017-11-27,26
2017-11-28,18
2017-11-29,13
2017-11-30,37
2017-12-01,42
2017-12-02,0
2017-12-03,0
2017-12-04,31
2017-12-05,36
2017-12-06,45
2017-12-07,18
2017-12-08,53
2017-12-09,11
2017-12-10,0
2017-12-11,44
2017-12-12,23
2017-12-13,23
2017-12-14,23
2017-12-15,48
2017-12-16,21
2017-12-17,0
2017-12-18,18
2017-12-19,19
2017-12-20,58
2017-12-21,29
2017-12-22,20
2017-12-23,33
2017-12-24,0
2017-12-25,12
2017-12-26,41
2017-12-27,24
2017-12-28,39
2017-12-29,35
2017-12-30,11
2017-12-31,17
2018-01-01,22
2018-01-02,61
2018-01-03,45
2018-01-04,27
2018-01-05,23
2018-01-06,20
2018-01-07,20
2018-01-08,31
2018-01-09,44
2018-01-10,44
2018-01-11,27
2018-01-12,28
2018-01-13,20
2018-01-14,0
2018-01-15,22
2018-01-16,48
2018-01-17,52
2018-01-18,57
2018-01-19,37
2018-01-20,20
2018-01-21,15
2018-01-22,35
2018-01-23,48
2018-01-24,44
2018-01-25,70
2018-01-26,41
2018-01-27,0
2018-01-28,20
2018-01-29,22
2018-01-30,31
2018-01-31,65
2018-02-01,31
2018-02-02,36
2018-02-03,10
2018-02-04,15
2018-02-05,44
2018-02-06,61
2018-02-07,78
2018-02-08,44
2018-02-09,46
2018-02-10,10
2018-02-11,10
2018-02-12,62
2018-02-13,71
2018-02-14,67
2018-02-15,63
2018-02-16,83
2018-02-17,20
2018-02-18,30
2018-02-19,22
2018-02-20,52
2018-02-21,69
2018-02-22,53
2018-02-23,41
2018-02-24,20
2018-02-25,20
2018-02-26,65
2018-02-27,55
2018-02-28,30
2018-03-01,90
2018-03-02,40
2018-03-03,25
2018-03-04,0
2018-03-05,38
2018-03-06,34
2018-03-07,43
2018-03-08,48
2018-03-09,78
2018-03-10,15
2018-03-11,10
2018-03-12,68
2018-03-13,60
2018-03-14,78
2018-03-15,100
2018-03-16,72
2018-03-17,25
2018-03-18,20
2018-03-19,52
2018-03-20,65
2018-03-21,43
2018-03-22,26
2018-03-23,45
2018-03-24,20
2018-03-25,20
2018-03-26,61
2018-03-27,93
2018-03-28,54
2018-03-29,47
2018-03-30,40
2018-03-31,21
2018-04-01,10
2018-04-02,56
2018-04-03,35
2018-04-04,57
2018-04-05,22
2018-04-06,69
2018-04-07,20
2018-04-08,10
2018-04-09,43
