date,CTSH stock
2016-09-11,7
2016-09-12,26
2016-09-13,28
2016-09-14,6
2016-09-15,23
2016-09-16,23
2016-09-17,0
2016-09-18,11
2016-09-19,19
2016-09-20,6
2016-09-21,22
2016-09-22,19
2016-09-23,23
2016-09-24,0
2016-09-25,0
2016-09-26,9
2016-09-27,19
2016-09-28,6
2016-09-29,13
2016-09-30,88
2016-10-01,43
2016-10-02,14
2016-10-03,90
2016-10-04,56
2016-10-05,9
2016-10-06,19
2016-10-07,29
2016-10-08,18
2016-10-09,0
2016-10-10,31
2016-10-11,41
2016-10-12,25
2016-10-13,28
2016-10-14,39
2016-10-15,14
2016-10-16,21
2016-10-17,25
2016-10-18,12
2016-10-19,31
2016-10-20,19
2016-10-21,16
2016-10-22,7
2016-10-23,7
2016-10-24,15
2016-10-25,18
2016-10-26,31
2016-10-27,13
2016-10-28,20
2016-10-29,7
2016-10-30,0
2016-10-31,16
2016-11-01,16
2016-11-02,31
2016-11-03,21
2016-11-04,26
2016-11-05,21
2016-11-06,7
2016-11-07,54
2016-11-08,54
2016-11-09,64
2016-11-10,37
2016-11-11,23
2016-11-12,22
2016-11-13,7
2016-11-14,24
2016-11-15,21
2016-11-16,21
2016-11-17,34
2016-11-18,29
2016-11-19,0
2016-11-20,14
2016-11-21,30
2016-11-22,42
2016-11-23,24
2016-11-24,6
2016-11-25,6
2016-11-26,7
2016-11-27,0
2016-11-28,32
2016-11-29,43
2016-11-30,53
2016-12-01,9
2016-12-02,31
2016-12-03,13
2016-12-04,0
2016-12-05,38
2016-12-06,29
2016-12-07,32
2016-12-08,39
2016-12-09,15
2016-12-10,7
2016-12-11,7
2016-12-12,23
2016-12-13,23
2016-12-14,21
2016-12-15,42
2016-12-16,29
2016-12-17,14
2016-12-18,0
2016-12-19,18
2016-12-20,15
2016-12-21,6
2016-12-22,19
2016-12-23,10
2016-12-24,8
2016-12-25,0
2016-12-26,27
2016-12-27,16
2016-12-28,13
2016-12-29,6
2016-12-30,17
2016-12-31,7
2017-01-01,15
2017-01-02,19
2017-01-03,24
2017-01-04,24
2017-01-05,39
2017-01-06,12
2017-01-07,7
2017-01-08,0
2017-01-09,26
2017-01-10,14
2017-01-11,29
2017-01-12,12
2017-01-13,24
2017-01-14,0
2017-01-15,0
2017-01-16,6
2017-01-17,9
2017-01-18,11
2017-01-19,14
2017-01-20,21
2017-01-21,0
2017-01-22,0
2017-01-23,39
2017-01-24,20
2017-01-25,29
2017-01-26,23
2017-01-27,6
2017-01-28,7
2017-01-29,0
2017-01-30,31
2017-01-31,37
2017-02-01,36
2017-02-02,20
2017-02-03,27
2017-02-04,0
2017-02-05,6
2017-02-06,28
2017-02-07,28
2017-02-08,65
2017-02-09,74
2017-02-10,36
2017-02-11,26
2017-02-12,13
2017-02-13,45
2017-02-14,28
2017-02-15,40
2017-02-16,54
2017-02-17,31
2017-02-18,10
2017-02-19,13
2017-02-20,14
2017-02-21,28
2017-02-22,45
2017-02-23,52
2017-02-24,35
2017-02-25,6
2017-02-26,6
2017-02-27,39
2017-02-28,31
2017-03-01,41
2017-03-02,33
2017-03-03,37
2017-03-04,0
2017-03-05,9
2017-03-06,21
2017-03-07,13
2017-03-08,22
2017-03-09,11
2017-03-10,29
2017-03-11,13
2017-03-12,6
2017-03-13,26
2017-03-14,33
2017-03-15,34
2017-03-16,34
2017-03-17,18
2017-03-18,13
2017-03-19,0
2017-03-20,34
2017-03-21,14
2017-03-22,31
2017-03-23,29
2017-03-24,21
2017-03-25,0
2017-03-26,7
2017-03-27,28
2017-03-28,11
2017-03-29,11
2017-03-30,20
2017-03-31,27
2017-04-01,7
2017-04-02,0
2017-04-03,20
2017-04-04,22
2017-04-05,39
2017-04-06,17
2017-04-07,32
2017-04-08,13
2017-04-09,7
2017-04-10,8
2017-04-11,29
2017-04-12,14
2017-04-13,24
2017-04-14,13
2017-04-15,7
2017-04-16,0
2017-04-17,29
2017-04-18,22
2017-04-19,22
2017-04-20,6
2017-04-21,24
2017-04-22,7
2017-04-23,6
2017-04-24,17
2017-04-25,17
2017-04-26,17
2017-04-27,34
2017-04-28,27
2017-04-29,13
2017-04-30,0
2017-05-01,21
2017-05-02,31
2017-05-03,22
2017-05-04,23
2017-05-05,100
2017-05-06,13
2017-05-07,13
2017-05-08,53
2017-05-09,70
2017-05-10,70
2017-05-11,29
2017-05-12,24
2017-05-13,7
2017-05-14,7
2017-05-15,27
2017-05-16,33
2017-05-17,48
2017-05-18,30
2017-05-19,50
2017-05-20,7
2017-05-21,14
2017-05-22,39
2017-05-23,27
2017-05-24,46
2017-05-25,37
2017-05-26,46
2017-05-27,15
2017-05-28,7
2017-05-29,6
