date,CTSH stock
2017-01-19,16
2017-01-20,22
2017-01-21,7
2017-01-22,7
2017-01-23,25
2017-01-24,25
2017-01-25,37
2017-01-26,25
2017-01-27,10
2017-01-28,15
2017-01-29,0
2017-01-30,37
2017-01-31,44
2017-02-01,33
2017-02-02,25
2017-02-03,23
2017-02-04,11
2017-02-05,7
2017-02-06,30
2017-02-07,34
2017-02-08,55
2017-02-09,69
2017-02-10,45
2017-02-11,28
2017-02-12,0
2017-02-13,43
2017-02-14,21
2017-02-15,41
2017-02-16,55
2017-02-17,37
2017-02-18,7
2017-02-19,7
2017-02-20,12
2017-02-21,24
2017-02-22,28
2017-02-23,53
2017-02-24,35
2017-02-25,7
2017-02-26,7
2017-02-27,39
2017-02-28,30
2017-03-01,50
2017-03-02,41
2017-03-03,44
2017-03-04,7
2017-03-05,7
2017-03-06,29
2017-03-07,35
2017-03-08,24
2017-03-09,24
2017-03-10,32
2017-03-11,14
2017-03-12,7
2017-03-13,37
2017-03-14,34
2017-03-15,33
2017-03-16,40
2017-03-17,22
2017-03-18,14
2017-03-19,0
2017-03-20,27
2017-03-21,9
2017-03-22,27
2017-03-23,22
2017-03-24,25
2017-03-25,7
2017-03-26,7
2017-03-27,15
2017-03-28,28
2017-03-29,15
2017-03-30,19
2017-03-31,22
2017-04-01,0
2017-04-02,0
2017-04-03,18
2017-04-04,18
2017-04-05,37
2017-04-06,28
2017-04-07,29
2017-04-08,7
2017-04-09,7
2017-04-10,19
2017-04-11,22
2017-04-12,16
2017-04-13,30
2017-04-14,14
2017-04-15,7
2017-04-16,0
2017-04-17,26
2017-04-18,18
2017-04-19,33
2017-04-20,28
2017-04-21,23
2017-04-22,0
2017-04-23,7
2017-04-24,15
2017-04-25,24
2017-04-26,15
2017-04-27,34
2017-04-28,19
2017-04-29,14
2017-04-30,7
2017-05-01,20
2017-05-02,12
2017-05-03,37
2017-05-04,15
2017-05-05,100
2017-05-06,25
2017-05-07,18
2017-05-08,58
2017-05-09,48
2017-05-10,79
2017-05-11,44
2017-05-12,42
2017-05-13,0
2017-05-14,14
2017-05-15,42
2017-05-16,30
2017-05-17,30
2017-05-18,39
2017-05-19,62
2017-05-20,12
2017-05-21,8
2017-05-22,46
2017-05-23,32
2017-05-24,57
2017-05-25,30
2017-05-26,50
2017-05-27,12
2017-05-28,0
2017-05-29,10
2017-05-30,23
2017-05-31,39
2017-06-01,47
2017-06-02,28
2017-06-03,8
2017-06-04,8
2017-06-05,42
2017-06-06,38
2017-06-07,22
2017-06-08,26
2017-06-09,34
2017-06-10,24
2017-06-11,8
2017-06-12,45
2017-06-13,44
2017-06-14,26
2017-06-15,33
2017-06-16,41
2017-06-17,8
2017-06-18,8
2017-06-19,26
2017-06-20,22
2017-06-21,25
2017-06-22,29
2017-06-23,26
2017-06-24,8
2017-06-25,8
2017-06-26,13
2017-06-27,20
2017-06-28,10
2017-06-29,20
2017-06-30,21
2017-07-01,8
2017-07-02,8
2017-07-03,17
2017-07-04,10
2017-07-05,24
2017-07-06,20
2017-07-07,21
2017-07-08,8
2017-07-09,8
2017-07-10,30
2017-07-11,10
2017-07-12,33
2017-07-13,20
2017-07-14,38
2017-07-15,23
2017-07-16,0
2017-07-17,27
2017-07-18,37
2017-07-19,20
2017-07-20,27
2017-07-21,10
2017-07-22,15
2017-07-23,8
2017-07-24,30
2017-07-25,23
2017-07-26,33
2017-07-27,30
2017-07-28,21
2017-07-29,0
2017-07-30,8
2017-07-31,19
2017-08-01,47
2017-08-02,37
2017-08-03,48
2017-08-04,37
2017-08-05,8
2017-08-06,8
2017-08-07,28
2017-08-08,58
2017-08-09,22
2017-08-10,49
2017-08-11,74
2017-08-12,15
2017-08-13,11
2017-08-14,20
2017-08-15,33
2017-08-16,29
2017-08-17,42
2017-08-18,17
2017-08-19,7
2017-08-20,22
2017-08-21,32
2017-08-22,10
2017-08-23,26
2017-08-24,19
2017-08-25,27
2017-08-26,8
2017-08-27,0
2017-08-28,19
2017-08-29,28
2017-08-30,29
2017-08-31,13
2017-09-01,24
2017-09-02,8
2017-09-03,7
2017-09-04,13
2017-09-05,37
2017-09-06,37
2017-09-07,35
2017-09-08,26
2017-09-09,7
2017-09-10,7
2017-09-11,41
2017-09-12,62
2017-09-13,40
2017-09-14,25
2017-09-15,26
2017-09-16,11
2017-09-17,7
2017-09-18,22
2017-09-19,25
2017-09-20,19
2017-09-21,19
2017-09-22,33
2017-09-23,14
2017-09-24,0
2017-09-25,6
2017-09-26,19
2017-09-27,12
2017-09-28,13
2017-09-29,20
2017-09-30,0
2017-10-01,0
2017-10-02,12
2017-10-03,28
2017-10-04,31
2017-10-05,22
2017-10-06,19
