date,CTSH stock
2014-03-16,14
2014-03-17,12
2014-03-18,25
2014-03-19,12
2014-03-20,25
2014-03-21,26
2014-03-22,0
2014-03-23,0
2014-03-24,24
2014-03-25,24
2014-03-26,12
2014-03-27,12
2014-03-28,26
2014-03-29,0
2014-03-30,0
2014-03-31,12
2014-04-01,24
2014-04-02,12
2014-04-03,25
2014-04-04,13
2014-04-05,15
2014-04-06,0
2014-04-07,12
2014-04-08,12
2014-04-09,0
2014-04-10,38
2014-04-11,13
2014-04-12,0
2014-04-13,15
2014-04-14,12
2014-04-15,37
2014-04-16,0
2014-04-17,26
2014-04-18,0
2014-04-19,0
2014-04-20,0
2014-04-21,13
2014-04-22,0
2014-04-23,12
2014-04-24,12
2014-04-25,39
2014-04-26,0
2014-04-27,0
2014-04-28,12
2014-04-29,12
2014-04-30,12
2014-05-01,14
2014-05-02,26
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,0
2014-05-07,61
2014-05-08,37
2014-05-09,13
2014-05-10,0
2014-05-11,14
2014-05-12,48
2014-05-13,12
2014-05-14,12
2014-05-15,0
2014-05-16,13
2014-05-17,15
2014-05-18,0
2014-05-19,12
2014-05-20,24
2014-05-21,0
2014-05-22,41
2014-05-23,28
2014-05-24,17
2014-05-25,0
2014-05-26,14
2014-05-27,13
2014-05-28,27
2014-05-29,0
2014-05-30,14
2014-05-31,0
2014-06-01,0
2014-06-02,55
2014-06-03,27
2014-06-04,0
2014-06-05,0
2014-06-06,29
2014-06-07,0
2014-06-08,17
2014-06-09,28
2014-06-10,55
2014-06-11,27
2014-06-12,14
2014-06-13,14
2014-06-14,17
2014-06-15,0
2014-06-16,14
2014-06-17,27
2014-06-18,28
2014-06-19,0
2014-06-20,29
2014-06-21,0
2014-06-22,0
2014-06-23,28
2014-06-24,14
2014-06-25,41
2014-06-26,0
2014-06-27,59
2014-06-28,34
2014-06-29,0
2014-06-30,14
2014-07-01,14
2014-07-02,14
2014-07-03,29
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,41
2014-07-08,41
2014-07-09,42
2014-07-10,14
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,17
2014-07-20,0
2014-07-21,0
2014-07-22,14
2014-07-23,28
2014-07-24,28
2014-07-25,15
2014-07-26,0
2014-07-27,0
2014-07-28,14
2014-07-29,0
2014-07-30,14
2014-07-31,42
2014-08-01,15
2014-08-02,0
2014-08-03,0
2014-08-04,14
2014-08-05,27
2014-08-06,28
2014-08-07,100
2014-08-08,59
2014-08-09,0
2014-08-10,33
2014-08-11,28
2014-08-12,27
2014-08-13,27
2014-08-14,0
2014-08-15,59
2014-08-16,33
2014-08-17,33
2014-08-18,14
2014-08-19,41
2014-08-20,55
2014-08-21,14
2014-08-22,0
2014-08-23,16
2014-08-24,0
2014-08-25,14
2014-08-26,53
2014-08-27,27
2014-08-28,0
2014-08-29,14
2014-08-30,16
2014-08-31,0
2014-09-01,13
2014-09-02,13
2014-09-03,39
2014-09-04,26
2014-09-05,0
2014-09-06,16
2014-09-07,0
2014-09-08,13
2014-09-09,26
2014-09-10,0
2014-09-11,26
2014-09-12,14
2014-09-13,0
2014-09-14,0
2014-09-15,39
2014-09-16,26
2014-09-17,0
2014-09-18,13
2014-09-19,13
2014-09-20,16
2014-09-21,15
2014-09-22,51
2014-09-23,64
2014-09-24,39
2014-09-25,13
2014-09-26,14
2014-09-27,0
2014-09-28,15
2014-09-29,13
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,28
2014-10-04,0
2014-10-05,0
2014-10-06,26
2014-10-07,38
2014-10-08,0
2014-10-09,26
2014-10-10,67
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,26
2014-10-16,26
2014-10-17,0
2014-10-18,0
2014-10-19,15
2014-10-20,0
2014-10-21,0
2014-10-22,13
2014-10-23,13
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,25
2014-10-28,12
2014-10-29,0
2014-10-30,39
2014-10-31,14
2014-11-01,15
2014-11-02,0
2014-11-03,0
2014-11-04,25
2014-11-05,50
2014-11-06,50
2014-11-07,39
2014-11-08,0
2014-11-09,0
2014-11-10,25
2014-11-11,12
2014-11-12,0
2014-11-13,74
2014-11-14,0
2014-11-15,15
2014-11-16,0
2014-11-17,50
2014-11-18,13
2014-11-19,38
2014-11-20,38
2014-11-21,0
2014-11-22,0
2014-11-23,14
2014-11-24,12
2014-11-25,25
2014-11-26,50
2014-11-27,0
2014-11-28,13
2014-11-29,0
2014-11-30,0
2014-12-01,0
