date,EXPE stock
2017-01-19,0
2017-01-20,14
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,27
2017-01-25,14
2017-01-26,13
2017-01-27,28
2017-01-28,16
2017-01-29,15
2017-01-30,40
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,14
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,13
2017-02-08,13
2017-02-09,81
2017-02-10,84
2017-02-11,0
2017-02-12,0
2017-02-13,40
2017-02-14,0
2017-02-15,27
2017-02-16,66
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,13
2017-02-22,40
2017-02-23,54
2017-02-24,14
2017-02-25,0
2017-02-26,0
2017-02-27,13
2017-02-28,0
2017-03-01,38
2017-03-02,13
2017-03-03,41
2017-03-04,30
2017-03-05,15
2017-03-06,51
2017-03-07,13
2017-03-08,52
2017-03-09,26
2017-03-10,14
2017-03-11,0
2017-03-12,0
2017-03-13,75
2017-03-14,40
2017-03-15,53
2017-03-16,13
2017-03-17,0
2017-03-18,15
2017-03-19,0
2017-03-20,0
2017-03-21,13
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,15
2017-03-26,0
2017-03-27,0
2017-03-28,13
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,26
2017-04-04,13
2017-04-05,0
2017-04-06,13
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,27
2017-04-12,27
2017-04-13,14
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,28
2017-04-18,26
2017-04-19,0
2017-04-20,27
2017-04-21,28
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,13
2017-04-26,26
2017-04-27,53
2017-04-28,70
2017-04-29,0
2017-04-30,16
2017-05-01,29
2017-05-02,79
2017-05-03,13
2017-05-04,27
2017-05-05,0
2017-05-06,15
2017-05-07,0
2017-05-08,27
2017-05-09,13
2017-05-10,0
2017-05-11,0
2017-05-12,28
2017-05-13,16
2017-05-14,0
2017-05-15,0
2017-05-16,14
2017-05-17,14
2017-05-18,14
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,43
2017-05-23,14
2017-05-24,14
2017-05-25,15
2017-05-26,15
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,29
2017-06-02,15
2017-06-03,0
2017-06-04,33
2017-06-05,28
2017-06-06,14
2017-06-07,0
2017-06-08,14
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,27
2017-06-14,42
2017-06-15,0
2017-06-16,15
2017-06-17,17
2017-06-18,0
2017-06-19,14
2017-06-20,0
2017-06-21,27
2017-06-22,28
2017-06-23,0
2017-06-24,17
2017-06-25,0
2017-06-26,14
2017-06-27,0
2017-06-28,29
2017-06-29,15
2017-06-30,15
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,15
2017-07-05,0
2017-07-06,29
2017-07-07,0
2017-07-08,0
2017-07-09,17
2017-07-10,0
2017-07-11,0
2017-07-12,14
2017-07-13,30
2017-07-14,15
2017-07-15,17
2017-07-16,0
2017-07-17,0
2017-07-18,0
2017-07-19,43
2017-07-20,29
2017-07-21,15
2017-07-22,0
2017-07-23,16
2017-07-24,0
2017-07-25,14
2017-07-26,14
2017-07-27,100
2017-07-28,30
2017-07-29,0
2017-07-30,0
2017-07-31,42
2017-08-01,27
2017-08-02,27
2017-08-03,28
2017-08-04,29
2017-08-05,0
2017-08-06,0
2017-08-07,14
2017-08-08,40
2017-08-09,41
2017-08-10,42
2017-08-11,15
2017-08-12,0
2017-08-13,0
2017-08-14,28
2017-08-15,14
2017-08-16,0
2017-08-17,14
2017-08-18,29
2017-08-19,0
2017-08-20,0
2017-08-21,41
2017-08-22,41
2017-08-23,28
2017-08-24,28
2017-08-25,15
2017-08-26,0
2017-08-27,0
2017-08-28,98
2017-08-29,68
2017-08-30,42
2017-08-31,14
2017-09-01,0
2017-09-02,16
2017-09-03,0
2017-09-04,14
2017-09-05,0
2017-09-06,54
2017-09-07,28
2017-09-08,14
2017-09-09,0
2017-09-10,0
2017-09-11,14
2017-09-12,0
2017-09-13,13
2017-09-14,14
2017-09-15,0
2017-09-16,16
2017-09-17,15
2017-09-18,0
2017-09-19,27
2017-09-20,41
2017-09-21,27
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,14
2017-09-26,13
2017-09-27,14
2017-09-28,14
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,27
2017-10-04,0
2017-10-05,0
2017-10-06,0
