date,EXPE stock
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,27
2015-04-14,80
2015-04-15,0
2015-04-16,27
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,27
2015-04-22,27
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,27
2015-04-29,27
2015-04-30,28
2015-05-01,30
2015-05-02,0
2015-05-03,0
2015-05-04,27
2015-05-05,27
2015-05-06,0
2015-05-07,27
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,27
2015-05-21,0
2015-05-22,29
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,27
2015-06-04,0
2015-06-05,29
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,27
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,26
2015-06-17,0
2015-06-18,0
2015-06-19,29
2015-06-20,0
2015-06-21,33
2015-06-22,0
2015-06-23,27
2015-06-24,0
2015-06-25,0
2015-06-26,28
2015-06-27,0
2015-06-28,0
2015-06-29,27
2015-06-30,0
2015-07-01,0
2015-07-02,28
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,26
2015-07-07,54
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,27
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,29
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,86
2015-08-01,32
2015-08-02,0
2015-08-03,27
2015-08-04,0
2015-08-05,0
2015-08-06,28
2015-08-07,28
2015-08-08,32
2015-08-09,0
2015-08-10,27
2015-08-11,0
2015-08-12,27
2015-08-13,55
2015-08-14,0
2015-08-15,33
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,28
2015-08-22,0
2015-08-23,0
2015-08-24,52
2015-08-25,0
2015-08-26,53
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,26
2015-09-01,52
2015-09-02,26
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,27
2015-09-08,26
2015-09-09,77
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,25
2015-09-15,0
2015-09-16,52
2015-09-17,0
2015-09-18,27
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,25
2015-09-23,0
2015-09-24,0
2015-09-25,27
2015-09-26,0
2015-09-27,0
2015-09-28,25
2015-09-29,0
2015-09-30,0
2015-10-01,26
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,25
2015-10-07,0
2015-10-08,25
2015-10-09,0
2015-10-10,30
2015-10-11,0
2015-10-12,0
2015-10-13,25
2015-10-14,76
2015-10-15,0
2015-10-16,26
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,25
2015-10-22,0
2015-10-23,53
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,25
2015-10-28,0
2015-10-29,76
2015-10-30,80
2015-10-31,30
2015-11-01,0
2015-11-02,25
2015-11-03,50
2015-11-04,74
2015-11-05,100
2015-11-06,26
2015-11-07,29
2015-11-08,0
2015-11-09,25
2015-11-10,75
2015-11-11,51
2015-11-12,0
2015-11-13,27
2015-11-14,29
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,25
2015-11-19,0
2015-11-20,26
2015-11-21,58
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,28
2015-11-30,0
2015-12-01,25
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,25
2015-12-08,25
2015-12-09,0
2015-12-10,51
2015-12-11,26
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,26
2015-12-16,0
2015-12-17,0
2015-12-18,28
2015-12-19,0
2015-12-20,31
2015-12-21,27
2015-12-22,27
2015-12-23,0
2015-12-24,32
2015-12-25,0
2015-12-26,0
