date,EXPE stock
2017-05-29,0
2017-05-30,15
2017-05-31,0
2017-06-01,0
2017-06-02,8
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,7
2017-06-07,7
2017-06-08,15
2017-06-09,16
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,7
2017-06-14,46
2017-06-15,8
2017-06-16,16
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,15
2017-06-21,0
2017-06-22,0
2017-06-23,23
2017-06-24,0
2017-06-25,18
2017-06-26,8
2017-06-27,0
2017-06-28,16
2017-06-29,8
2017-06-30,16
2017-07-01,9
2017-07-02,0
2017-07-03,8
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,16
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,16
2017-07-13,8
2017-07-14,8
2017-07-15,0
2017-07-16,0
2017-07-17,16
2017-07-18,0
2017-07-19,8
2017-07-20,0
2017-07-21,8
2017-07-22,9
2017-07-23,0
2017-07-24,8
2017-07-25,15
2017-07-26,15
2017-07-27,8
2017-07-28,33
2017-07-29,0
2017-07-30,0
2017-07-31,8
2017-08-01,22
2017-08-02,22
2017-08-03,0
2017-08-04,8
2017-08-05,0
2017-08-06,0
2017-08-07,22
2017-08-08,0
2017-08-09,23
2017-08-10,8
2017-08-11,8
2017-08-12,9
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,0
2017-08-17,0
2017-08-18,16
2017-08-19,0
2017-08-20,0
2017-08-21,15
2017-08-22,15
2017-08-23,0
2017-08-24,8
2017-08-25,8
2017-08-26,0
2017-08-27,0
2017-08-28,45
2017-08-29,15
2017-08-30,30
2017-08-31,0
2017-09-01,16
2017-09-02,9
2017-09-03,0
2017-09-04,0
2017-09-05,7
2017-09-06,0
2017-09-07,8
2017-09-08,8
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,22
2017-09-13,7
2017-09-14,7
2017-09-15,0
2017-09-16,9
2017-09-17,0
2017-09-18,7
2017-09-19,22
2017-09-20,7
2017-09-21,7
2017-09-22,8
2017-09-23,0
2017-09-24,0
2017-09-25,7
2017-09-26,7
2017-09-27,7
2017-09-28,7
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,7
2017-10-03,15
2017-10-04,15
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,29
2017-10-11,15
2017-10-12,0
2017-10-13,8
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,7
2017-10-18,7
2017-10-19,0
2017-10-20,0
2017-10-21,9
2017-10-22,0
2017-10-23,14
2017-10-24,7
2017-10-25,7
2017-10-26,44
2017-10-27,97
2017-10-28,34
2017-10-29,8
2017-10-30,29
2017-10-31,15
2017-11-01,15
2017-11-02,44
2017-11-03,15
2017-11-04,8
2017-11-05,0
2017-11-06,14
2017-11-07,28
2017-11-08,36
2017-11-09,36
2017-11-10,30
2017-11-11,8
2017-11-12,8
2017-11-13,0
2017-11-14,7
2017-11-15,0
2017-11-16,21
2017-11-17,22
2017-11-18,8
2017-11-19,16
2017-11-20,14
2017-11-21,7
2017-11-22,14
2017-11-23,15
2017-11-24,0
2017-11-25,8
2017-11-26,0
2017-11-27,14
2017-11-28,0
2017-11-29,14
2017-11-30,14
2017-12-01,15
2017-12-02,0
2017-12-03,8
2017-12-04,14
2017-12-05,7
2017-12-06,7
2017-12-07,22
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,7
2017-12-14,0
2017-12-15,0
2017-12-16,8
2017-12-17,0
2017-12-18,7
2017-12-19,0
2017-12-20,0
2017-12-21,15
2017-12-22,41
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,0
2017-12-29,24
2017-12-30,17
2017-12-31,0
2018-01-01,9
2018-01-02,15
2018-01-03,0
2018-01-04,22
2018-01-05,15
2018-01-06,16
2018-01-07,8
2018-01-08,14
2018-01-09,21
2018-01-10,0
2018-01-11,21
2018-01-12,37
2018-01-13,24
2018-01-14,8
2018-01-15,7
2018-01-16,7
2018-01-17,14
2018-01-18,21
2018-01-19,7
2018-01-20,0
2018-01-21,8
2018-01-22,20
2018-01-23,7
2018-01-24,7
2018-01-25,35
2018-01-26,7
2018-01-27,8
2018-01-28,0
2018-01-29,7
2018-01-30,7
2018-01-31,7
2018-02-01,7
2018-02-02,7
2018-02-03,0
2018-02-04,8
2018-02-05,14
2018-02-06,7
2018-02-07,14
2018-02-08,62
2018-02-09,100
2018-02-10,8
2018-02-11,8
2018-02-12,21
2018-02-13,28
