date,EXPE stock
2018-02-13,30
2018-02-14,71
2018-02-15,51
2018-02-16,21
2018-02-17,23
2018-02-18,23
2018-02-19,0
2018-02-20,70
2018-02-21,69
2018-02-22,70
2018-02-23,0
2018-02-24,23
2018-02-25,23
2018-02-26,20
2018-02-27,100
2018-02-28,40
2018-03-01,0
2018-03-02,31
2018-03-03,23
2018-03-04,23
2018-03-05,19
2018-03-06,59
2018-03-07,70
2018-03-08,81
2018-03-09,63
2018-03-10,23
2018-03-11,23
2018-03-12,39
2018-03-13,40
2018-03-14,69
2018-03-15,50
2018-03-16,31
2018-03-17,0
2018-03-18,0
2018-03-19,20
2018-03-20,40
2018-03-21,80
2018-03-22,0
2018-03-23,42
2018-03-24,0
2018-03-25,23
2018-03-26,50
2018-03-27,51
2018-03-28,52
2018-03-29,43
2018-03-30,23
2018-03-31,0
2018-04-01,0
2018-04-02,21
2018-04-03,50
2018-04-04,30
2018-04-05,20
2018-04-06,21
2018-04-07,0
2018-04-08,0
2018-04-09,60
