date,EXPE stock
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,10
2017-10-10,5
2017-10-11,10
2017-10-12,0
2017-10-13,5
2017-10-14,0
2017-10-15,0
2017-10-16,10
2017-10-17,10
2017-10-18,0
2017-10-19,5
2017-10-20,0
2017-10-21,6
2017-10-22,0
2017-10-23,5
2017-10-24,5
2017-10-25,15
2017-10-26,36
2017-10-27,27
2017-10-28,29
2017-10-29,0
2017-10-30,35
2017-10-31,15
2017-11-01,26
2017-11-02,21
2017-11-03,26
2017-11-04,0
2017-11-05,6
2017-11-06,5
2017-11-07,15
2017-11-08,20
2017-11-09,25
2017-11-10,10
2017-11-11,6
2017-11-12,6
2017-11-13,10
2017-11-14,5
2017-11-15,0
2017-11-16,5
2017-11-17,21
2017-11-18,0
2017-11-19,0
2017-11-20,5
2017-11-21,10
2017-11-22,15
2017-11-23,10
2017-11-24,5
2017-11-25,0
2017-11-26,0
2017-11-27,14
2017-11-28,10
2017-11-29,5
2017-11-30,0
2017-12-01,10
2017-12-02,0
2017-12-03,6
2017-12-04,10
2017-12-05,5
2017-12-06,5
2017-12-07,20
2017-12-08,26
2017-12-09,6
2017-12-10,6
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,10
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,10
2017-12-20,5
2017-12-21,0
2017-12-22,6
2017-12-23,6
2017-12-24,6
2017-12-25,0
2017-12-26,11
2017-12-27,0
2017-12-28,0
2017-12-29,6
2017-12-30,0
2017-12-31,0
2018-01-01,6
2018-01-02,21
2018-01-03,5
2018-01-04,20
2018-01-05,10
2018-01-06,6
2018-01-07,0
2018-01-08,10
2018-01-09,0
2018-01-10,5
2018-01-11,10
2018-01-12,10
2018-01-13,6
2018-01-14,0
2018-01-15,5
2018-01-16,10
2018-01-17,5
2018-01-18,0
2018-01-19,10
2018-01-20,6
2018-01-21,0
2018-01-22,28
2018-01-23,0
2018-01-24,5
2018-01-25,0
2018-01-26,5
2018-01-27,0
2018-01-28,6
2018-01-29,10
2018-01-30,0
2018-01-31,10
2018-02-01,5
2018-02-02,10
2018-02-03,0
2018-02-04,0
2018-02-05,14
2018-02-06,24
2018-02-07,5
2018-02-08,53
2018-02-09,100
2018-02-10,11
2018-02-11,0
2018-02-12,10
2018-02-13,15
2018-02-14,15
2018-02-15,19
2018-02-16,5
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,14
2018-02-21,9
2018-02-22,19
2018-02-23,5
2018-02-24,0
2018-02-25,0
2018-02-26,5
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,10
2018-03-03,0
2018-03-04,0
2018-03-05,5
2018-03-06,14
2018-03-07,0
2018-03-08,14
2018-03-09,15
2018-03-10,5
2018-03-11,0
2018-03-12,5
2018-03-13,14
2018-03-14,24
2018-03-15,14
2018-03-16,10
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,14
2018-03-21,5
2018-03-22,5
2018-03-23,5
2018-03-24,0
2018-03-25,6
2018-03-26,24
2018-03-27,5
2018-03-28,10
2018-03-29,5
2018-03-30,5
2018-03-31,0
2018-04-01,0
2018-04-02,10
2018-04-03,5
2018-04-04,0
2018-04-05,5
2018-04-06,15
2018-04-07,0
2018-04-08,0
2018-04-09,5
