date,ORLY stock
2017-10-06,40
2017-10-07,15
2017-10-08,0
2017-10-09,0
2017-10-10,13
2017-10-11,65
2017-10-12,53
2017-10-13,27
2017-10-14,15
2017-10-15,15
2017-10-16,65
2017-10-17,39
2017-10-18,38
2017-10-19,52
2017-10-20,14
2017-10-21,0
2017-10-22,0
2017-10-23,13
2017-10-24,64
2017-10-25,39
2017-10-26,52
2017-10-27,27
2017-10-28,0
2017-10-29,0
2017-10-30,26
2017-10-31,26
2017-11-01,26
2017-11-02,13
2017-11-03,53
2017-11-04,0
2017-11-05,14
2017-11-06,25
2017-11-07,0
2017-11-08,25
2017-11-09,13
2017-11-10,0
2017-11-11,14
2017-11-12,14
2017-11-13,38
2017-11-14,76
2017-11-15,63
2017-11-16,25
2017-11-17,39
2017-11-18,29
2017-11-19,0
2017-11-20,74
2017-11-21,13
2017-11-22,25
2017-11-23,0
2017-11-24,26
2017-11-25,14
2017-11-26,0
2017-11-27,0
2017-11-28,37
2017-11-29,100
2017-11-30,52
2017-12-01,13
2017-12-02,15
2017-12-03,14
2017-12-04,74
2017-12-05,38
2017-12-06,13
2017-12-07,25
2017-12-08,80
2017-12-09,0
2017-12-10,0
2017-12-11,50
2017-12-12,50
2017-12-13,25
2017-12-14,26
2017-12-15,27
2017-12-16,15
2017-12-17,0
2017-12-18,25
2017-12-19,0
2017-12-20,52
2017-12-21,27
2017-12-22,14
2017-12-23,15
2017-12-24,0
2017-12-25,0
2017-12-26,14
2017-12-27,0
2017-12-28,41
2017-12-29,42
2017-12-30,30
2017-12-31,0
2018-01-01,0
2018-01-02,26
2018-01-03,50
2018-01-04,51
2018-01-05,39
2018-01-06,14
2018-01-07,0
2018-01-08,25
2018-01-09,12
2018-01-10,37
2018-01-11,38
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,12
2018-01-16,12
2018-01-17,36
2018-01-18,12
2018-01-19,38
2018-01-20,14
2018-01-21,14
2018-01-22,0
2018-01-23,85
2018-01-24,24
2018-01-25,37
2018-01-26,38
2018-01-27,0
2018-01-28,14
2018-01-29,48
2018-01-30,12
2018-01-31,61
2018-02-01,49
2018-02-02,38
2018-02-03,14
2018-02-04,0
2018-02-05,24
2018-02-06,73
2018-02-07,72
2018-02-08,61
2018-02-09,63
2018-02-10,14
2018-02-11,0
2018-02-12,25
2018-02-13,74
2018-02-14,37
2018-02-15,37
2018-02-16,51
2018-02-17,0
2018-02-18,0
2018-02-19,12
2018-02-20,24
2018-02-21,36
2018-02-22,24
2018-02-23,63
2018-02-24,14
2018-02-25,0
2018-02-26,36
2018-02-27,24
2018-02-28,72
2018-03-01,59
2018-03-02,0
2018-03-03,0
2018-03-04,14
2018-03-05,24
2018-03-06,48
2018-03-07,24
2018-03-08,12
2018-03-09,64
2018-03-10,14
2018-03-11,0
2018-03-12,36
2018-03-13,12
2018-03-14,24
2018-03-15,0
2018-03-16,38
2018-03-17,0
2018-03-18,0
2018-03-19,48
2018-03-20,12
2018-03-21,24
2018-03-22,37
2018-03-23,38
2018-03-24,0
2018-03-25,0
2018-03-26,61
2018-03-27,25
2018-03-28,38
2018-03-29,65
2018-03-30,0
2018-03-31,29
2018-04-01,0
2018-04-02,39
2018-04-03,24
2018-04-04,25
2018-04-05,25
2018-04-06,39
2018-04-07,0
2018-04-08,0
2018-04-09,36
