date,ORLY stock
2013-11-06,0
2013-11-07,28
2013-11-08,29
2013-11-09,33
2013-11-10,0
2013-11-11,28
2013-11-12,0
2013-11-13,0
2013-11-14,28
2013-11-15,0
2013-11-16,0
2013-11-17,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,56
2013-11-22,29
2013-11-23,32
2013-11-24,32
2013-11-25,27
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,80
2013-12-03,0
2013-12-04,27
2013-12-05,0
2013-12-06,58
2013-12-07,0
2013-12-08,0
2013-12-09,54
2013-12-10,54
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,28
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,34
2013-12-22,0
2013-12-23,31
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,100
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,27
2014-01-07,27
2014-01-08,0
2014-01-09,27
2014-01-10,28
2014-01-11,32
2014-01-12,0
2014-01-13,0
2014-01-14,52
2014-01-15,0
2014-01-16,0
2014-01-17,28
2014-01-18,32
2014-01-19,0
2014-01-20,0
2014-01-21,26
2014-01-22,26
2014-01-23,27
2014-01-24,55
2014-01-25,0
2014-01-26,30
2014-01-27,78
2014-01-28,0
2014-01-29,52
2014-01-30,0
2014-01-31,55
2014-02-01,62
2014-02-02,0
2014-02-03,26
2014-02-04,53
2014-02-05,52
2014-02-06,72
2014-02-07,89
2014-02-08,0
2014-02-09,0
2014-02-10,26
2014-02-11,26
2014-02-12,26
2014-02-13,53
2014-02-14,27
2014-02-15,0
2014-02-16,0
2014-02-17,78
2014-02-18,26
2014-02-19,0
2014-02-20,27
2014-02-21,0
2014-02-22,0
2014-02-23,61
2014-02-24,26
2014-02-25,26
2014-02-26,52
2014-02-27,26
2014-02-28,28
2014-03-01,0
2014-03-02,31
2014-03-03,0
2014-03-04,27
2014-03-05,52
2014-03-06,79
2014-03-07,27
2014-03-08,31
2014-03-09,31
2014-03-10,0
2014-03-11,78
2014-03-12,26
2014-03-13,26
2014-03-14,55
2014-03-15,0
2014-03-16,0
2014-03-17,26
2014-03-18,26
2014-03-19,51
2014-03-20,52
2014-03-21,0
2014-03-22,0
2014-03-23,59
2014-03-24,25
2014-03-25,25
2014-03-26,0
2014-03-27,26
2014-03-28,55
2014-03-29,31
2014-03-30,0
2014-03-31,26
2014-04-01,52
2014-04-02,0
2014-04-03,53
2014-04-04,0
2014-04-05,0
2014-04-06,0
2014-04-07,26
2014-04-08,26
2014-04-09,26
2014-04-10,26
2014-04-11,55
2014-04-12,0
2014-04-13,31
2014-04-14,26
2014-04-15,0
2014-04-16,0
2014-04-17,56
2014-04-18,0
2014-04-19,0
2014-04-20,0
2014-04-21,84
2014-04-22,0
2014-04-23,52
2014-04-24,53
2014-04-25,0
2014-04-26,0
2014-04-27,0
2014-04-28,52
2014-04-29,0
2014-04-30,0
2014-05-01,29
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,26
2014-05-06,26
2014-05-07,0
2014-05-08,26
2014-05-09,27
2014-05-10,0
2014-05-11,0
2014-05-12,77
2014-05-13,26
2014-05-14,0
2014-05-15,26
2014-05-16,27
2014-05-17,0
2014-05-18,0
2014-05-19,26
2014-05-20,0
2014-05-21,28
2014-05-22,29
2014-05-23,30
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,28
2014-05-28,29
2014-05-29,59
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,28
2014-06-05,29
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,0
2014-06-10,0
2014-06-11,29
2014-06-12,0
2014-06-13,0
2014-06-14,0
2014-06-15,35
2014-06-16,28
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,35
2014-06-23,0
2014-06-24,29
2014-06-25,0
2014-06-26,29
2014-06-27,31
2014-06-28,0
2014-06-29,0
2014-06-30,29
2014-07-01,0
2014-07-02,0
2014-07-03,31
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,29
2014-07-08,0
2014-07-09,29
2014-07-10,30
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,90
2014-07-17,30
2014-07-18,62
2014-07-19,0
2014-07-20,36
2014-07-21,0
2014-07-22,29
2014-07-23,91
2014-07-24,30
