date,ORLY stock
2015-08-18,14
2015-08-19,29
2015-08-20,29
2015-08-21,45
2015-08-22,0
2015-08-23,0
2015-08-24,28
2015-08-25,56
2015-08-26,100
2015-08-27,14
2015-08-28,0
2015-08-29,17
2015-08-30,0
2015-08-31,14
2015-09-01,28
2015-09-02,42
2015-09-03,14
2015-09-04,29
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,28
2015-09-09,41
2015-09-10,28
2015-09-11,29
2015-09-12,16
2015-09-13,0
2015-09-14,14
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,44
2015-09-19,0
2015-09-20,0
2015-09-21,14
2015-09-22,27
2015-09-23,28
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,17
2015-09-28,40
2015-09-29,27
2015-09-30,14
2015-10-01,14
2015-10-02,14
2015-10-03,0
2015-10-04,0
2015-10-05,14
2015-10-06,14
2015-10-07,0
2015-10-08,41
2015-10-09,14
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,13
2015-10-14,41
2015-10-15,41
2015-10-16,43
2015-10-17,0
2015-10-18,0
2015-10-19,27
2015-10-20,13
2015-10-21,14
2015-10-22,14
2015-10-23,14
2015-10-24,16
2015-10-25,0
2015-10-26,13
2015-10-27,54
2015-10-28,67
2015-10-29,55
2015-10-30,29
2015-10-31,0
2015-11-01,32
2015-11-02,27
2015-11-03,14
2015-11-04,13
2015-11-05,13
2015-11-06,28
2015-11-07,0
2015-11-08,0
2015-11-09,27
2015-11-10,27
2015-11-11,0
2015-11-12,41
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,13
2015-11-18,0
2015-11-19,27
2015-11-20,14
2015-11-21,0
2015-11-22,16
2015-11-23,0
2015-11-24,40
2015-11-25,0
2015-11-26,0
2015-11-27,14
2015-11-28,0
2015-11-29,31
2015-11-30,40
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,42
2015-12-05,0
2015-12-06,31
2015-12-07,27
2015-12-08,0
2015-12-09,27
2015-12-10,14
2015-12-11,57
2015-12-12,16
2015-12-13,0
2015-12-14,0
2015-12-15,28
2015-12-16,14
2015-12-17,14
2015-12-18,0
2015-12-19,0
2015-12-20,17
2015-12-21,14
2015-12-22,44
2015-12-23,15
2015-12-24,17
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,15
2015-12-29,15
2015-12-30,30
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,29
2016-01-05,59
2016-01-06,88
2016-01-07,44
2016-01-08,30
2016-01-09,0
2016-01-10,0
2016-01-11,14
2016-01-12,71
2016-01-13,14
2016-01-14,14
2016-01-15,59
2016-01-16,0
2016-01-17,0
2016-01-18,14
2016-01-19,28
2016-01-20,43
2016-01-21,44
2016-01-22,30
2016-01-23,0
2016-01-24,0
2016-01-25,42
2016-01-26,14
2016-01-27,100
2016-01-28,29
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,43
2016-02-02,56
2016-02-03,57
2016-02-04,44
2016-02-05,15
2016-02-06,0
2016-02-07,0
2016-02-08,43
2016-02-09,0
2016-02-10,70
2016-02-11,71
2016-02-12,44
2016-02-13,32
2016-02-14,16
2016-02-15,0
2016-02-16,42
2016-02-17,28
2016-02-18,14
2016-02-19,43
2016-02-20,16
2016-02-21,0
2016-02-22,28
2016-02-23,56
2016-02-24,0
2016-02-25,43
2016-02-26,44
2016-02-27,0
2016-02-28,0
2016-02-29,41
2016-03-01,28
2016-03-02,14
2016-03-03,28
2016-03-04,14
2016-03-05,0
2016-03-06,0
2016-03-07,41
2016-03-08,41
2016-03-09,14
2016-03-10,57
2016-03-11,29
2016-03-12,0
2016-03-13,16
2016-03-14,0
2016-03-15,28
2016-03-16,14
2016-03-17,14
2016-03-18,30
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,14
2016-03-24,30
2016-03-25,16
2016-03-26,17
2016-03-27,0
2016-03-28,29
2016-03-29,42
2016-03-30,28
2016-03-31,28
2016-04-01,29
2016-04-02,0
2016-04-03,0
2016-04-04,56
2016-04-05,0
2016-04-06,42
2016-04-07,29
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,14
2016-04-12,14
2016-04-13,14
2016-04-14,14
2016-04-15,45
2016-04-16,0
2016-04-17,0
2016-04-18,42
2016-04-19,28
2016-04-20,70
2016-04-21,0
2016-04-22,15
2016-04-23,0
2016-04-24,0
2016-04-25,14
2016-04-26,0
2016-04-27,0
2016-04-28,72
2016-04-29,44
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,14
2016-05-04,28
