date,ORLY stock
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,25
2012-10-16,25
2012-10-17,0
2012-10-18,0
2012-10-19,27
2012-10-20,31
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,28
2012-10-27,0
2012-10-28,0
2012-10-29,25
2012-10-30,0
2012-10-31,0
2012-11-01,27
2012-11-02,28
2012-11-03,0
2012-11-04,60
2012-11-05,25
2012-11-06,25
2012-11-07,25
2012-11-08,52
2012-11-09,27
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,25
2012-11-20,75
2012-11-21,26
2012-11-22,0
2012-11-23,54
2012-11-24,30
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,52
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,24
2012-12-05,25
2012-12-06,0
2012-12-07,27
2012-12-08,0
2012-12-09,0
2012-12-10,25
2012-12-11,0
2012-12-12,0
2012-12-13,25
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,49
2012-12-18,25
2012-12-19,0
2012-12-20,26
2012-12-21,27
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,27
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,26
2013-01-03,25
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,24
2013-01-11,100
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,47
2013-01-16,0
2013-01-17,0
2013-01-18,25
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,47
2013-01-24,24
2013-01-25,25
2013-01-26,0
2013-01-27,0
2013-01-28,23
2013-01-29,23
2013-01-30,23
2013-01-31,24
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,47
2013-02-05,0
2013-02-06,0
2013-02-07,48
2013-02-08,25
2013-02-09,29
2013-02-10,0
2013-02-11,71
2013-02-12,24
2013-02-13,47
2013-02-14,49
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,23
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,24
2013-02-23,0
2013-02-24,0
2013-02-25,23
2013-02-26,23
2013-02-27,0
2013-02-28,0
2013-03-01,24
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,23
2013-03-06,23
2013-03-07,23
2013-03-08,24
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,23
2013-03-13,0
2013-03-14,46
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,45
2013-03-19,0
2013-03-20,0
2013-03-21,23
2013-03-22,48
2013-03-23,0
2013-03-24,0
2013-03-25,23
2013-03-26,0
2013-03-27,0
2013-03-28,49
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,45
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,23
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,68
2013-04-17,45
2013-04-18,0
2013-04-19,24
2013-04-20,27
2013-04-21,0
2013-04-22,23
2013-04-23,23
2013-04-24,46
2013-04-25,24
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,23
2013-05-01,49
2013-05-02,47
2013-05-03,24
2013-05-04,28
2013-05-05,28
2013-05-06,0
2013-05-07,68
2013-05-08,0
2013-05-09,0
2013-05-10,72
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,23
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,23
2013-05-31,0
2013-06-01,0
2013-06-02,0
2013-06-03,44
2013-06-04,22
2013-06-05,0
2013-06-06,0
2013-06-07,24
2013-06-08,0
2013-06-09,55
2013-06-10,22
2013-06-11,0
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,23
2013-06-19,0
2013-06-20,69
2013-06-21,0
2013-06-22,0
2013-06-23,0
2013-06-24,0
2013-06-25,0
2013-06-26,23
2013-06-27,23
2013-06-28,0
2013-06-29,0
