date,ORLY stock
2017-05-29,0
2017-05-30,0
2017-05-31,5
2017-06-01,0
2017-06-02,0
2017-06-03,6
2017-06-04,0
2017-06-05,19
2017-06-06,19
2017-06-07,19
2017-06-08,42
2017-06-09,5
2017-06-10,0
2017-06-11,0
2017-06-12,14
2017-06-13,14
2017-06-14,9
2017-06-15,10
2017-06-16,20
2017-06-17,6
2017-06-18,0
2017-06-19,24
2017-06-20,9
2017-06-21,14
2017-06-22,5
2017-06-23,10
2017-06-24,0
2017-06-25,0
2017-06-26,15
2017-06-27,0
2017-06-28,5
2017-06-29,20
2017-06-30,5
2017-07-01,6
2017-07-02,0
2017-07-03,15
2017-07-04,0
2017-07-05,100
2017-07-06,59
2017-07-07,61
2017-07-08,0
2017-07-09,17
2017-07-10,34
2017-07-11,33
2017-07-12,19
2017-07-13,34
2017-07-14,25
2017-07-15,6
2017-07-16,11
2017-07-17,19
2017-07-18,24
2017-07-19,38
2017-07-20,39
2017-07-21,10
2017-07-22,0
2017-07-23,6
2017-07-24,10
2017-07-25,14
2017-07-26,66
2017-07-27,29
2017-07-28,5
2017-07-29,0
2017-07-30,6
2017-07-31,14
2017-08-01,14
2017-08-02,27
2017-08-03,14
2017-08-04,29
2017-08-05,0
2017-08-06,0
2017-08-07,14
2017-08-08,13
2017-08-09,18
2017-08-10,19
2017-08-11,15
2017-08-12,0
2017-08-13,11
2017-08-14,0
2017-08-15,10
2017-08-16,0
2017-08-17,9
2017-08-18,14
2017-08-19,5
2017-08-20,0
2017-08-21,9
2017-08-22,5
2017-08-23,14
2017-08-24,19
2017-08-25,25
2017-08-26,0
2017-08-27,5
2017-08-28,32
2017-08-29,32
2017-08-30,9
2017-08-31,0
2017-09-01,20
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,5
2017-09-06,18
2017-09-07,9
2017-09-08,19
2017-09-09,0
2017-09-10,0
2017-09-11,23
2017-09-12,23
2017-09-13,5
2017-09-14,28
2017-09-15,9
2017-09-16,0
2017-09-17,5
2017-09-18,9
2017-09-19,23
2017-09-20,14
2017-09-21,9
2017-09-22,29
2017-09-23,5
2017-09-24,10
2017-09-25,18
2017-09-26,22
2017-09-27,9
2017-09-28,18
2017-09-29,5
2017-09-30,5
2017-10-01,0
2017-10-02,14
2017-10-03,14
2017-10-04,14
2017-10-05,0
2017-10-06,5
2017-10-07,5
2017-10-08,0
2017-10-09,5
2017-10-10,13
2017-10-11,14
2017-10-12,5
2017-10-13,28
2017-10-14,0
2017-10-15,0
2017-10-16,9
2017-10-17,13
2017-10-18,5
2017-10-19,18
2017-10-20,14
2017-10-21,5
2017-10-22,0
2017-10-23,4
2017-10-24,27
2017-10-25,18
2017-10-26,23
2017-10-27,19
2017-10-28,5
2017-10-29,0
2017-10-30,9
2017-10-31,0
2017-11-01,9
2017-11-02,5
2017-11-03,14
2017-11-04,5
2017-11-05,5
2017-11-06,4
2017-11-07,0
2017-11-08,0
2017-11-09,4
2017-11-10,0
2017-11-11,5
2017-11-12,5
2017-11-13,13
2017-11-14,22
2017-11-15,17
2017-11-16,4
2017-11-17,9
2017-11-18,10
2017-11-19,0
2017-11-20,13
2017-11-21,4
2017-11-22,9
2017-11-23,0
2017-11-24,9
2017-11-25,0
2017-11-26,5
2017-11-27,4
2017-11-28,17
2017-11-29,35
2017-11-30,9
2017-12-01,9
2017-12-02,10
2017-12-03,0
2017-12-04,22
2017-12-05,9
2017-12-06,4
2017-12-07,4
2017-12-08,14
2017-12-09,0
2017-12-10,0
2017-12-11,21
2017-12-12,17
2017-12-13,22
2017-12-14,9
2017-12-15,23
2017-12-16,5
2017-12-17,0
2017-12-18,0
2017-12-19,14
2017-12-20,18
2017-12-21,0
2017-12-22,25
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,15
2017-12-27,0
2017-12-28,5
2017-12-29,20
2017-12-30,5
2017-12-31,0
2018-01-01,0
2018-01-02,9
2018-01-03,9
2018-01-04,18
2018-01-05,5
2018-01-06,5
2018-01-07,0
2018-01-08,13
2018-01-09,9
2018-01-10,13
2018-01-11,13
2018-01-12,9
2018-01-13,0
2018-01-14,0
2018-01-15,9
2018-01-16,17
2018-01-17,13
2018-01-18,9
2018-01-19,27
2018-01-20,5
2018-01-21,5
2018-01-22,0
2018-01-23,21
2018-01-24,4
2018-01-25,9
2018-01-26,13
2018-01-27,0
2018-01-28,0
2018-01-29,17
2018-01-30,17
2018-01-31,26
2018-02-01,13
2018-02-02,9
2018-02-03,10
2018-02-04,5
2018-02-05,13
2018-02-06,21
2018-02-07,13
2018-02-08,17
2018-02-09,13
2018-02-10,5
2018-02-11,0
2018-02-12,0
2018-02-13,26
