date,ORLY stock
2016-05-04,22
2016-05-05,11
2016-05-06,12
2016-05-07,0
2016-05-08,0
2016-05-09,22
2016-05-10,0
2016-05-11,21
2016-05-12,33
2016-05-13,34
2016-05-14,0
2016-05-15,12
2016-05-16,32
2016-05-17,0
2016-05-18,21
2016-05-19,21
2016-05-20,11
2016-05-21,0
2016-05-22,12
2016-05-23,42
2016-05-24,65
2016-05-25,33
2016-05-26,11
2016-05-27,12
2016-05-28,0
2016-05-29,0
2016-05-30,11
2016-05-31,22
2016-06-01,33
2016-06-02,11
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,22
2016-06-07,11
2016-06-08,55
2016-06-09,11
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,11
2016-06-14,22
2016-06-15,22
2016-06-16,0
2016-06-17,0
2016-06-18,13
2016-06-19,0
2016-06-20,11
2016-06-21,54
2016-06-22,11
2016-06-23,11
2016-06-24,46
2016-06-25,13
2016-06-26,0
2016-06-27,33
2016-06-28,33
2016-06-29,44
2016-06-30,22
2016-07-01,47
2016-07-02,13
2016-07-03,13
2016-07-04,0
2016-07-05,12
2016-07-06,23
2016-07-07,24
2016-07-08,37
2016-07-09,41
2016-07-10,0
2016-07-11,35
2016-07-12,23
2016-07-13,12
2016-07-14,0
2016-07-15,24
2016-07-16,0
2016-07-17,0
2016-07-18,35
2016-07-19,0
2016-07-20,12
2016-07-21,12
2016-07-22,35
2016-07-23,0
2016-07-24,0
2016-07-25,23
2016-07-26,23
2016-07-27,69
2016-07-28,70
2016-07-29,24
2016-07-30,0
2016-07-31,0
2016-08-01,11
2016-08-02,34
2016-08-03,23
2016-08-04,35
2016-08-05,37
2016-08-06,14
2016-08-07,0
2016-08-08,24
2016-08-09,12
2016-08-10,12
2016-08-11,24
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,13
2016-08-16,36
2016-08-17,12
2016-08-18,12
2016-08-19,13
2016-08-20,0
2016-08-21,14
2016-08-22,12
2016-08-23,36
2016-08-24,12
2016-08-25,23
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,11
2016-08-30,11
2016-08-31,44
2016-09-01,23
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,11
2016-09-07,0
2016-09-08,11
2016-09-09,12
2016-09-10,0
2016-09-11,0
2016-09-12,35
2016-09-13,0
2016-09-14,34
2016-09-15,46
2016-09-16,35
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,22
2016-09-21,0
2016-09-22,22
2016-09-23,12
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,11
2016-09-28,0
2016-09-29,11
2016-09-30,12
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,22
2016-10-05,11
2016-10-06,33
2016-10-07,11
2016-10-08,0
2016-10-09,0
2016-10-10,22
2016-10-11,55
2016-10-12,11
2016-10-13,22
2016-10-14,11
2016-10-15,0
2016-10-16,0
2016-10-17,11
2016-10-18,11
2016-10-19,22
2016-10-20,0
2016-10-21,34
2016-10-22,13
2016-10-23,0
2016-10-24,21
2016-10-25,33
2016-10-26,55
2016-10-27,100
2016-10-28,69
2016-10-29,13
2016-10-30,0
2016-10-31,11
2016-11-01,11
2016-11-02,11
2016-11-03,0
2016-11-04,34
2016-11-05,0
2016-11-06,12
2016-11-07,11
2016-11-08,11
2016-11-09,69
2016-11-10,0
2016-11-11,11
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,11
2016-11-17,22
2016-11-18,0
2016-11-19,0
2016-11-20,12
2016-11-21,11
2016-11-22,11
2016-11-23,21
2016-11-24,11
2016-11-25,22
2016-11-26,0
2016-11-27,12
2016-11-28,20
2016-11-29,21
2016-11-30,41
2016-12-01,21
2016-12-02,22
2016-12-03,0
2016-12-04,0
2016-12-05,10
2016-12-06,10
2016-12-07,42
2016-12-08,11
2016-12-09,11
2016-12-10,24
2016-12-11,0
2016-12-12,0
2016-12-13,31
2016-12-14,21
2016-12-15,43
2016-12-16,22
2016-12-17,0
2016-12-18,0
2016-12-19,11
2016-12-20,33
2016-12-21,11
2016-12-22,45
2016-12-23,12
2016-12-24,0
2016-12-25,0
2016-12-26,12
2016-12-27,11
2016-12-28,22
2016-12-29,0
2016-12-30,12
2016-12-31,13
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,32
2017-01-06,11
2017-01-07,0
2017-01-08,0
2017-01-09,20
2017-01-10,20
2017-01-11,10
2017-01-12,31
2017-01-13,10
2017-01-14,12
2017-01-15,0
2017-01-16,31
2017-01-17,30
2017-01-18,0
2017-01-19,10
